 November 2022,5,Great place to stay in Rabat,"Fabulous place to stay! Gorgeous grounds and pool. Room was very nice, quiet, comfortable. Waterfall shower! Ate at least 3 meals here (B, L, D) - food was outstanding, service also. If nice weather, eat in the outdoor area. Room had a little patio.",hotelName,city
 December 2015,4,Restful garden hotel to retreat to after a busy day touring,"Maybe not as glamorous as some, but quiet and comfortable. Lovely to stroll through the gardens or swim in the pool. We were here on New Year's eve and had a fantastic dinner in the restaurant here. The staff were cordial and responded to all our requests. Being able to walk out of our room onto the patio and then out into the gardens was the best.",Villa_Mandarine,Rabat
 March 2016,4,Beautiful hotel,"While on a tour of Morocco our first stop was here at Villa Mandarine. You have everything you need here in one spot. My room on the ground floor has a patio & garden Huge rooms with beautiful Berber rugs throughout. Large bathroom with amenities. Room has a Tv with English speaking stations, mini bar & safe. Very quiet hotel. Free wifi that actually works. Excellent restaurant & bar area. Friendly staff & helpful.",Villa_Mandarine,Rabat
 February 2016,5,Beautiful grounds,"Although a ways outside the main attractions of Rabat, Villa Mandarine is a beautiful retreat in a residential area. Once a private estate, the grounds are immaculately maintained. The rooms are quaint and very comfortable. Our first floor room had a private patio surrounded by orange trees and hibiscus. The staff was politely friendly and the food in the restaurant was very good.",Villa_Mandarine,Rabat
 March 2016,5,Moroccan Gem. 🇲🇦,"Beautiful gardens, Beautiful people. If you want peace and quiet and a truly Moroccan feel, this is the place to stay in Rabat. As you would expect from Morocco the food is to die for, full of spice and flavour. Highly recommended.",Villa_Mandarine,Rabat
 November 2015,2,Beautiful place but disappointed with the lack of responsiveness + customer service,"First thing's first: I haven't stayed at this villa. I visited this place with my fiance as we were trying to find suitable accommodation for our wedding guests, as we will be having our wedding in Rabat in April. We spoke with one of the French owners and agreed that I would contact him later with my needs and requirements. The place itself is beautiful, with a lot of space and lush garden atmosphere, and looks very peaceful and tranquil, with a few peacocks roaming around at leisure. We visited the rooms as well and each one was very quaint and nice. There was a pool available, but the problem was that it looked unkept and not clean, but I guess I can attribute it to the fact that it was October and not really swimming season? I would say the prices are a bit expensive for…",Villa_Mandarine,Rabat
 December 2015,5,A Charming Oasis to Relax and Unwind,"We recently traveled to Morocco where we explored this magnificent desert country from.our base in Rabat, Villa Mandarine provided a charming, relaxed and extremely comfortable base for us. The beautifully manicured gardens and appointed rooms provided for a very relaxing stay. Excellent restaurant, bar and internet wifi with a great pool area which our 3 children made the most of. The French and Moroccan staff are very welcoming and provide an excellent level of service, this place was a magnificent find for us...........",Villa_Mandarine,Rabat
 January 2016,5,Superb Hotel,A superb hotel set amongst a mandarine grove and lush gardens. This was our first visit to Rabat and we were recommended the Villa and it lived up to its excellent reputation. We were a family of three travelling with an adult daughter and felt as if we were coming home from the moment we stepped through the front doors. Our rooms were spacious and beautifully decorated. We ate in the restaurant a number of times and enjoyed excellent food and service. The Hamam experience is a must do. This family run hotel is very special.,Villa_Mandarine,Rabat
 November 2015,5,"Lovely, tranquil setting","We were with a small tour group, using a small bus, so the location was not a problem. But it is not located close to the downtown. But the hotel itself is a lovely accommodation, surrounded by lush gardens and trees. The restaurant is good, the bar is small and convivial, the pool is also nice. I enjoyed the quiet calmness of the place.",Villa_Mandarine,Rabat
 January 2016,5,"Tranquil, Spacious Boutique hotel set amid beautiful Mandarin gardins","Lovely boutique hotel. Hotel grounds (well-landscaped with pointsettas, fruit trees, and lush and gorgeous gardens) and public spaces (lush courtyards & dining areas with a mix of colonial era & traditional Moroccan decor) were an absolute delight. Rooms were simple but extremely comfortable. Breakfasts (included) & dinners were delicious.",Villa_Mandarine,Rabat
 December 2015,3,The hotel was nice but a bit dated,The hotel was nice but a bit dated. It was in a really interesting neighborhood with many embassys. We tried to go to the river or Salle but taxis were very very expensive to Salle so we went to the river and just walked around. I wouldn't necessarily tell people to go to Rabat. Hotel was “fine” but was too far from the center city so we felt too isolated. We had to order room service which was ok but not great.,Villa_Mandarine,Rabat
 December 2015,3,Nice garden setting; room could use a refresh,"We arrived at Villa Mandarine following a long flight from Los Angeles via Paris to Casablanca, so we were very happy to pull up to what looks like a lovely property. The gardens are quite nice; however our room was quite underwhelming with a bed that was on the older side. The bathroom also left a bit to be desired, including bathtub/ shower combo with small glass panel that is meant to keep water in the tub but doesn't. We were only here for one night before heading on to other sights, so it served its purpose. For those who are not used to being around smokers please be advised that there were several in the bar / restaurant area the night we arrived. But we would find that this was the case in most places throughout Morocco.",Villa_Mandarine,Rabat
 December 2015,4,"Very nice place to stay - cosy, quite","We staid here with my family in december. Great place to stay - nice pool, pingpong and ""boules"" game available, as well as a snooker. Very nice rooms and nice staff. It is far from the center of the city, so you'll need a car.",Villa_Mandarine,Rabat
 December 2015,5,It's got it all,"A great hotel in Rabat and relatively near most businesses, but quite secluded; you'll need a car to get around because there are no commercial establishments / restaurants nearby. I was there for a week on a UN Mission and this is where they recommended ... I confirmed it on Travel Adviser and it was as advertised ... Absolutely gorgeous gardens, a real paradise and refuge. Rooms are not large, at least the one I was in, but big enough, well appointed and with all the creature comforts / business necessities one could need. My room had a nice balcony as do most others that I saw. Just an FYI, it's cold this time of year so heating is a necessity as are warm clothes. Nice breakfast (included) and the food was great (I ate dinner there several nights) especially Pastille and…",Villa_Mandarine,Rabat
 December 2014,4,Old World Charm,"I love the attention to detail they put into the place. The attention is very personal as the owners are usually around. The gardens are lovely and well kept, the restaurant is excellent and the wine list very good. I would recommend this hotel to people stopping in Rabat, not only on business.",Villa_Mandarine,Rabat
 November 2015,4,Great place to transition into morrocco,This the perfect place to spend first night in morrocco. We flew into Casablanca. And after a short tour of that city were driven to Rabat and this lovely riad. It could best be described as a small inn. Room open to outside with small patio and enclosed garden. The restaurant was outstanding with the service by the locals best described as charming. The villa is westernized enough for a first night and a good intro into morrocco,Villa_Mandarine,Rabat
 October 2015,4,Beautiful Hotel with Lovely Gardens,"Only spent one night here and enjoyed our stay. Room had a good size terrace, small sitting area for 2 chairs and table which had fruit when we arrived, nice large entry area for suitcases, and comfortable beds. Beautifully decorated hotel and comfortable. Nice restaurant with very helpful staff.",Villa_Mandarine,Rabat
 October 2015,5,An oasis in the heart of Rabat,"We arrived at the Villa after a tiring flight and found a welcoming environment, friendly staff and lovely room. But the real key is the setting: beautiful, lush gardens surround you and you can find any one of a number of secluded spots to simply admire the foliage, collect your thoughts, read, swim, relax. The dining room is both indoors and outdoors and the menu is excellent, the food well-prepared and the staff helpful. Definitely a hotel to return to.",Villa_Mandarine,Rabat
 August 2015,4,Peaceful Accommodation,"After a hectic day of travel it was a delight to arrive at the Villa Mandarine.We arrived at the Villa Mandarine which was a drive through a lovely garden to a complex of terracotta Moroccan style buildings. The villa itself was so peaceful and calm and our welcome was genuine. We were shown to our room which was beautifully appointed with everything we needed and a lovely view to the garden. We strolled through the garden to look at the pool but didn't see the peacock supposedly roaming the grounds......but we did hear it later on. We changed for dinner and headed for the bar. And with G&T and a wine in hand, we sat on the patio and enjoyed the coolness beneath a moon tree! Our next move was dinner, in the same area, which turned out to be disappointing for me, but no…",Villa_Mandarine,Rabat
 October 2015,3,Beautiful but....,"When we first got there, we were very impressed by the room and the grounds- they are beautiful.However, French is the language spoken by most of the staff so communicating in English was a challenge except at the front desk. The wait staff at breakfast was in no hurry to offer coffee and we were the only ones there at the time.At one we called down to the desk and then after 2 hours went down to get more toilet paper- we were assured it was coming both times—but it never did. So if you are French speaking and don’t need toilet paper (or, I assume, much else) it’s pretty.",Villa_Mandarine,Rabat
 December 2014,4,"Very nice small, boutique hotel in Rabat","Villa Mandarine is most renown for its setting: a small riad in the middle of a gorgeous orchard, where peacocks roam free. The rooms are nice, but try and get one with a balcony. The service is impeccable and the restaurant is outstanding, if a bit pricey. Breakfast is usually included and provides a nice spread. Best of all is a drink in the garden in the summer, or a few beers while playing pool. VM is ideally located if you need to do business in Hay Riad. Taxis are hard to come by but the reception will gladly call one for you. All in all, a magical place.",Villa_Mandarine,Rabat
 August 2015,5,Paradise with Orange trees and Peacocks,"I had a privilege to stay several times at Villa Mandarine. Every time it was fantastic experience. You have a real villa transferred into a hotel by a family of French owners, who are there most of their time to control the quality. Rooms are very simple, decorated in traditional colours, very comfortable sleeping. Calm and quiet. Some have balcony with garden view. Swimming pool is available during summer season. Restaurant is excellent for long breakfast on the terrasse. Also good for a business lunch if you need a quiet place to invite somebody and discuss things. The only issue is location - tourists who want to walk straight fron the hotel could be disappointed - wherever you go you need a taxi, renat a car or driver. For me it was not an issue as I came with my car. …",Villa_Mandarine,Rabat
 September 2015,5,Excellent accommodation in garden setting with fine dining,"Riad located in beautiful garden setting, comfortable spacious rooms some with balcony overlooking well kept garden. Restaurant offers both Moroccan and International with extensive range of local and French wines.Perhaps only down side smoking appear to be permitted in lounge area near the bar.",Villa_Mandarine,Rabat
 July 2015,5,"Relaxing oasis, perfect start to Morocco trip","Our family of 4 arrived at Villa Mandarine after a long journey to Rabat; we were very happy to have a place to relax comfortably. We were shown to two rooms across the hall from each other, both with balconies overlooking the lovely garden. then the porter returned to open a lovely, cool sitting room connecting the two rooms! the beds were luxurious, bathroom large and well outfitted. We enjoyed massages at the spa (Very reasonable); and some time at the pool. When we called down for a dinner reservation, they said we could come at any time. We had a lovely Morrocan dinner on the patio, adjacent to the garden. Breakfast the next morning, in the same place, was even better. Wish we could have stayed another day-- its a drive into the city of Rabat, but worth it for this oasis.",Villa_Mandarine,Rabat
 August 2015,5,A lush riad just outside of the city of Rabat,"Villa Mandarine is located in a residential neighborhood of Rabat, about a 10-15 minute cab ride into the city. The Villa is beautifully appointed, with rooms surrounding magnificent gardens, and even a peacock strutting around. There's a small, but perfectly lovely pool, which is essential if you are traveling in Morocco in the summer. The restaurant offers a wide variety of dishes and the service is very good. The rooms are beautiful and spacious, with patios opening into the gardens and private lounge chairs for each room. The bathrooms are modern. Breakfast included both classic Moroccan dishes, as well as some Western choices. And to our surprise, a chicken jumped onto the empty table next to us. Ask for Moroccan pancakes - they were the best we had. Don't let the…",Villa_Mandarine,Rabat
 August 2015,5,A remarkable oasis,"This is a beautiful property with lovely gardens, literally an oasis from the hustle-bustle of downtown. We stayed in the family suite, which is a good deal because for only a little extra you get two rooms, a common living room, and balconies over the garden. The only drawback is that it is very far from the center of Rabat, being located in the diplomatic area. So unless you have your own car, it is quite a trek to get to any tourist sights. In our case, we had stayed in the medina at the start of our trip; we wanted to stay in a nice hotel our last night before going to the airport, so the distance did not matter.",Villa_Mandarine,Rabat
 December 2014,5,Wake me if I'm dreaming,"The first night in Morrocco after our flight from New York. How can anything be more beautiful than the Villa Mandarine. Situated in an orange grove and garden, this former estate has been impeccably transformed into a must stay hotel. Our room and huge bath were exquisite. The bar fun with gracious service, and the lavish breakfast buffet a gourmet delight. Do not miss their homemade ginger yogurt. We went swimming this first night . . . Fun . . . But unheated! We made up for this by warming ourselves at the bar. We loved everyone about this lovely spot.",Villa_Mandarine,Rabat
 July 2015,1,Lonely Bed & Breakfast,"We were disappointed with this hotel. Maybe our expectations were a little high with such good reviews. Service was non existent, the room was poorly decorated, and the hotel was so empty it felt lifeless. I would not come back and would not recommend it to any of my friends or family.",Villa_Mandarine,Rabat
 July 2015,4,A slice of paradise,"With its peace, tranquility and spacious rooms with gorgeous decor, you feel like you've truly gotten away at Villa Mandarine. A small but adequate pool, fully equipped spa and turn down servi complete the experience of feels-like-home luxury.",Villa_Mandarine,Rabat
 June 2015,5,"Very different, a blend of cultures and they got it just right","I arrived late in the evening, hot and sweaty and very tired, but the Villa Mandarine requires no effort, the check in was simple and quick the room was cool and welcoming the bed was underneath me when I fell back. Room service was quick and the menu selection was adequate for my needs, though the salt and pepper never materialised. However the food as very tasty, just what the weary traveller needs. Give yourself a treat and let the Villa Mandarine look after you next time you are in Rabat, you won't be disappointed.",Villa_Mandarine,Rabat
 May 2015,4,"Nice hotel, with very good food, lacks charm of some other hotels in Morocco.","The Villa Mandarine was the first hotel I stayed at on two week tour of Morocco. Upon check in, I was struck by the coldness of the welcome - no greeting, no welcome drink, no explanation of the hotel's layout or amenities, just an abrupt demand for a passport and a direction to my room. This might be the norm in a chain hotel in the US, but proved to be the exception in Morocco, where we were routinely welcome with welcome drinks, cold towels, and helpful orientations. Upon being shown to my room, I found it colorful and spacious, with a reasonably comfortable bed, good A/C, and a nice balcony looking out on flowering shrubs and trees. When I posted a picture of my room on FB, however, one of my friend's said that it looked like a Best Western from the Southwestern United…",Villa_Mandarine,Rabat
 May 2015,5,Beautiful Overnight Hotel,The Villa Mandarine is a beautiful property for an overnight stay at in Rabat. It is built around huge gardens .... very quiet .... very peaceful. It is a low rise 2 story property. The room and bath are good size. The feel of the place is very French and so are a lot of the guests. We had an excellent meal and breakfast at their restaurant. I highly recommend this property.,Villa_Mandarine,Rabat
 June 2015,5,Enchanting,"I stayed in this hotel last night, and decided to write a review while the place is still fresh in my mind. Villa Mandarine is set in a beautiful location, surrounded by lush gardens, detailed mosaics, and a blend of Mediterranean and Moorish architecture. The vivid colors and exotic fragrances immediately make you feel like you're in another world. The individual rooms are neat and tastefully designed, each with private backyards and expansive bathrooms (as well as a separate toilet and added urinal). The beautifully detailed decor centers on a mosaic fountain with rich surrounding greenery, as well as extensive flower gardens, a pool, and an open terrace. The good food combined with the relaxing and authentic atmosphere set this hotel apart from the rest. Many diplomats,…",Villa_Mandarine,Rabat
 September 2014,5,Excellent!,"Was there for 15 days, it was an amazing experience. The staff was great and very polite and helpful. The hotel was beautiful and really relaxing taking care of every need. Would recommend to anyone! I am hoping to visit again soon!",Villa_Mandarine,Rabat
 April 2015,4,Lovely Boutique in the Diplomatic District,"This boutique hotel is situated in the ambassadorial district of Rabat. It is expertly run, sophisticated and quite comfortable with a savvy crowd. Yet it is charming...the rooms and public spaces are decorated with artist's copies and unique Moroccan themes. The food is expertly prepared in the restaurant and the service impeccable. The front desk is singularly efficient and was responsible for providing us with driver and tour service that enhanced our Moroccan vacation by steering us to Fes, Meknes and Volubilis, on our way to Chefchaouen. I completely recommend this wonderful hotel to any travelers to Rabat...a venue that we found to be well worth the stop and a highltight to any tour of Morocco. Lastly, I would have give five glowing stars but for the overwhelming…",Villa_Mandarine,Rabat
 May 2015,5,Enchanting,"Stayed for two nights as part of a tour package. Pros: 1. Lovely garden. Peacocks, fragrant, well kept, citrus tree 2. Quiet area. Tranquil surrounding. 3. Comfy beds and high quality linen. 4. Great restaurant for meals. Good selection for breakfast. Homemade yogurt and jam, omelette, etc. 5. Good size swimming pool. Cons, 1. Far from downtown. Could be a pro also. Dependent on what you are looking for.",Villa_Mandarine,Rabat
 April 2015,5,Perfect Introduction to Moroccan Hospitality,"We spent the first night of our two-week Moroccan holiday in Room #1 at the Villa Mandarine, and found it absolutely charming. The room was spacious and cheerful and private, with a lovely little terrace, excellent bathroom and comfy bed. The room was great -- but the building itself and the surrounding grounds make exploring a real pleasure. There's a bar, a restaurant, a variety of lounges with fireplaces and sofas, tiled staircases, antiques and artwork, lush gardens with fruit trees and flowers, a pool . . . who could want for more? We wished we could have stayed longer. The food was excellent, as well, and this hotel made for a perfect introduction to what would be a series of lovely hotels and riads during our visit to Morocco. If there is a single drawback (for…",Villa_Mandarine,Rabat
 May 2015,4,Beautiful hotel in a quiet location,"We had one night in Rabat and after a full day of touring this hotel was perfect. Beautifully decorated, our room was bright blue and white with a connecting door to my sisters, warm tangerine room. Both rooms had a private patio overlooking the wonderful gardens. To top it all the restaurant at the hotel was 5 star! We had one of the best Moroccan meals here at a reasonable price.",Villa_Mandarine,Rabat
 April 2015,5,Beautiful quiet place,"We had one night in Rabat and are glad that we spent it at Villa Mandarine. It is very quiet, the room was spacious and comfortable, and everything was clean. We had a ground level room so could enjoy the view of the garden as well as a stroll in it. Both the room and the garden were clearly handled with care by the owners in designing them and the staff in maintaining them. The breakfast was very good. The location in the embassy district was fine for us as we had very limited time here, with an evening arrival and departure the next morning, but otherwise might be a drawback. But if you want a beautiful and peaceful introduction to Morocco, you could not do better than Villa Mandarine.",Villa_Mandarine,Rabat
 May 2015,4,Only just Very Good,"We have stayed at this establishment before - so we were return guests.That could not be said for many of the others - they were upscale tourists stopping over for a night in the Rabat area, as well as the occasional small party of business men. To start with: the Reception area, and attention there: they are agreeable, but pretty hopeless - on the phone, on the email, and even face to face; but everything gets sorted out eventually. And they are a good reference point for a car, a taxi, a restaurant, etc. Meals/restaurant: it is just a little bit better than OK. It could be better. Breakfast, which is included in the room rate (which is in itself substantial) is hardly 'Fine' - it is mediocre, but sort of adequate. Lunch - either in the restaurant, on the terrace, or outside…",Villa_Mandarine,Rabat
 April 2015,5,Excellent choice for Rabat,"We spent 1 nights at the Villa Mandarine in Rabat as part of a twelve day tour of Morocco. The room was excellent: spacious, light and well furnished. The hotel is set in quiet grounds and provided an excellent night’s sleep. WiFi is available and was good. The restaurant serves good food at a reasonable price. The only negative is that breakfast was slow to get moving and the full buffet selection was not available until a good 20 minutes after the scheduled start time. Overall, would definitely recommend.",Villa_Mandarine,Rabat
 April 2015,5,a refreshing surprise,"This is a property which is obviously cared about by its family of owners. Let's start with the gardens.... Just amazing, having been a former citrus orchard it's still full of beautiful fruit. I was able to just pick up a fallen grapefruit, peel it and enjoy its delicious juiciness. Someone loves this garden; it's also planted with flowers and flowering trees which release their fragrance at night. The angels' trumpets are a sea of apricot beauty. The room was spotless, absolutely fresh and sparkling. The net drapes were a delight (yes, I smell hotel curtains; it's a great indication of cleanliness).Try it sometime; you'll be surprised but not always pleasantly. I agree with some reviewers that the rooms have an 80's feel but they are spacious and beautifully maintained. The…",Villa_Mandarine,Rabat
 April 2015,4,Magical and exotic hotel for an amazing stay!,"I stayed for one night at Villa Mandarine with my mum. It was simply amazing! The hotel is well decorated and mixes Moroccan and Mediterannean. You could feel in South of France then you see a Moroccan living room at the corner that reminds you that you are in Rabat! We have requested a late checkout and we got it! We had an amazing breakfast buffet in the morning. Rooms are spacious and well maintained. Although the hotel is far away from the tourist trail we got easily to the centre. We also requested the reception to call a taxi for us. Overall, very good!! No wonder why it's a TripAdvisor travellers choice for 2015.",Villa_Mandarine,Rabat
 February 2015,5,Beautiful surprise in wonderful Rabat,"This place was such a wonderful surprise. After flying into Casablanca, we wanted to be on our way, so we went directly to Rabat for 2 nights here. It was lovely! The rooms (we had a suite, but the bedroom was the same as a standard room) were comfortable, the staff was friendly and efficient and the common rooms and garden spaces were beautiful - with warm fires in the fireplace, great food and wine in the bar, and a lovely restaurant.",Villa_Mandarine,Rabat
 September 2014,5,Excellent hideaway,"A small villa type hotel with beutiful gardens, inside and out. Makes you feel like staying at a private villa. Located in a quiet environment but not at all inconvenient. Operated by a family of friendly people.",Villa_Mandarine,Rabat
 January 2015,5,Quality art and gardens,The orange groves have turned into beautiful gardens. Room#5 is comfortable with a king bed. Service was excellent. Many of the rooms surround an internal courtyard filled with greenery. The hotel owner was an art professor and the entire complex is full of both original and high quality copies of the work of great artists. We slept under a Picasso. Dali and di Vinci were also present as well as other less familiar artists.,Villa_Mandarine,Rabat
 December 2014,5,"Clean, beautiful gardens and comfy beds",I LOVE that every hotel we stayed at in Morocco had a separte room with door for the toilet! Delicious breakfast and comfortable beds. Nice decor. I wish I had more time to walk around the beautiful gardens.,Villa_Mandarine,Rabat
 June 2014,4,Comfort in Rabat,"Delightful hotel with beautiful grounds and friendly service. It's colorful and comfortable in a quiet, lush setting. We enjoyed strolling the grounds and photographing the wide variety of flowers. It smelled heavenly. Our rooms were spotless and the beds were comfortable.",Villa_Mandarine,Rabat
 November 2014,5,Welcome to Morocco!,"This hotel was our first stop on a two week tour of Morocco - an outstanding place to rest and regroup after a LONG flight with stops in Minneapolis and Paris!. Everything was spotless; food appetizing and easily accepted by the ""western"" palate. Navigating the many internal hallways took a little practice - one could imagine secret doors and passageways. The surrounding gardens were lush and well kept. Understandably, this seemed a popular choice for business travelers to Rabat.",Villa_Mandarine,Rabat
 December 2014,4,Consistent quality over the years,"We have stayed here several times often in the winter and when it is raining. Not the best time to enjoy the lovely gardens but we keep coming back! The courtyard of rooms is removed from the main desk area but that makes it quiet. The rooms have a comfortable decor - somewhat Moroccan but with a yellow and white checked international flair. Sounds weird but works. Internet does not set any speed records so don't plan heavy business communication. And the restaraunt, bar and breakfast are all worth a visit.",Villa_Mandarine,Rabat
 November 2014,5,Wonderful place to stay in Rabat,Very nice boutique hotel. Located in a residential aerea of Rabat. The hotel is surrounded by citrus trees and beautiful gardens. The hotel decor is very pretty.breakfast is very good. It is located away from center town.,Villa_Mandarine,Rabat
 November 2014,5,A Gorgeous Oasis,"We spent several nights in this beautiful hotel. It has an intimate private villa feel to it without being claustrophobic. Wonderful grounds and gardens, gorgeous decor and art work. The restaurant was outstanding. As non smokers we much appreciated the large non-smoking section. The food was superb French cuisine complete with dessert soufflés. Our room was large and beautiful with a great balcony. The staff are friendly and helpful. Lovely pool area. The area is very quiet, settled amongst embassy villas. It was a treat.",Villa_Mandarine,Rabat
 July 2014,5,Unique experience,"I stayed 8 months in Villa Mandarine (July 2013-March 2014) while I was waiting to move to another country. The team helped us to feel like home during this long period. Rooms are really beautiful with a Moroccan touch that makes the difference. We tried different rooms, different floors and I can guarantee that all the rooms are different, have different touch but they are all beautiful. The hotel is really quiet and located in a really quite neighborhood. Villa Mandarine is also a cool place to chill. The bar and the restaurant are really nice. The yard is so beautiful, orange trees, beautiful flowers, peacoks! I really recommend this hotel and I am sure you will have no regrets!",Villa_Mandarine,Rabat
 October 2014,5,An excellent place to chill and stay,"Villa Mandarine is an excellent place to chill and stay - I only had two nights here but I intend to return for an extended holiday. The atmosphere of the Villa is quite exceptional. The room (30) included absolutely everything one would need to be comfortable. I am usually able to note the 'little things' missing in a standard chain hotel but that was the beauty of this place - nothing was missing !!! Power points are often difficult to locate or involve removing a bed-light socket, but at Villa Mandarine they even placed three sockets in a box on the desk - WOW !! The owners really know every little item that a person needs to be comfortable. The food is fabulous and the service first class. I will return !! A heartfelt thank you for your thoughtfulness!",Villa_Mandarine,Rabat
 October 2014,3,Basic lack of skills and/or training led to very unsatisfactory stay,"Basic lack of skills and/or training of middle management in this hotel led to a very unsatisfactory stay. After a long day travelling and sightseeing we arrived hot, tired and dusty at the Villa Mandarin in Rabat, only to find that the hotel had incorrectly reserved only one, rather than two, bedrooms for our party of two couples and the rather unpleasant 'reception manager' seemed more interested in 'prooving' it was not his fault (the hotel manager later admitted that it was) than in resolving the probem. We were told there were no bedrooms available and there was talk of one couple having to go to another hotel. My husband phoned booking.com, through which we had reserved the hotel, and their response was immediate and very, very efficient. They phoned the hotel and within…",Villa_Mandarine,Rabat
 September 2014,4,Nice quiet stay,"Spent a night here while traveling Morocco. The facility is wonderful, an old villa restored to a hotel. Sitting on our patio and looking at the gardens was delightful. The room was fine, no complaints. Breakfast was very good and included. Service was very good,a place we would stay again should we end in Rabat. The location is maybe not the best, a long ways from any shopping or anything of interest. As we did not need to go shopping and were seeing sights and had a driver it was no problem. Check in and out was easy and there is a small elevator should one be needed. A nice place but after Riad Kniza.",Villa_Mandarine,Rabat
 October 2014,5,Garden of delights!,"Only got to stay one night, and was very sad not to spend more time in the magnificent gardens surrounding the hotel. The rooms were lovely and the service excellent. Our room had it's own patio, perfect for sipping very good morning coffee. The breakfast buffet was fine and our dinner excellent. would return for a longer stay next time.",Villa_Mandarine,Rabat
 September 2014,3,Pleasant stay but could do with a facelift,"We stayed one night at Villa Mandarine and found the hotel to be very pleasant with good service, an excellent dinner and an adequate breakfast. It was also lovely to get away from city chaos and be surrounded by beautiful gardens (unfortunately we did not have time to use the pool or spend time in the garden). We did however find the hotel to be very tired in its decor, fixtures and fittings. Although spotlessly clean and spacious, the rooms are 70's style which gives it more of a 3 star feel. Our room on the ground floor had a lovely private patio/garden. If you want to be away from the chaos of the city with some peaceful respite and don't mind it's slightly remote location then this is the place for you. If you are looking for 5 star decor and amenities then this is not the…",Villa_Mandarine,Rabat
 October 2014,5,Home away from home,"Nested in the quiet diplomatic area of Rabat, once you cross the gate, you feel like you are in a ""peaceful haven"". Walking around the garden at night after dinner is like a walk in paradise. The orange smell is strong enough to send you to the 7th haven. I hope one day, I will have a miniature garden like the one in Villa Mandarine.",Villa_Mandarine,Rabat
 September 2014,5,Lovely Hotel,"Really lovely hotel with great use of colours and space in the rooms and public reception areas. We ate in the hotel restaurant for both lunch and dinner and the food was excellent on all occasions. The service at dinner on out first night was a little slow but I think they just had fewer staff on duty, but we were in no rush so just enjoyed the ambiance. It was a buffet breakfast that was absolutely fine with some of the usual suspects like boiled eggs, toast, cereal, fruit, etc. The location of this hotel does mean that you have to get a taxi into Rabat. We had to wait a while for this (nearly 50 mins) but it was a Monday morning so it could have busy with business traffic. Used the pool area a couple of times which was a very welcome break and you get towels and bathrobes…",Villa_Mandarine,Rabat
 September 2014,4,Quiet,"We enjoyed our stay at Villa Mandarine. It's in the quiet diplomatic area of Rabat, so you need a way of getting into the main tourist areas in the centre. It's too far to walk. Our room was comfortable - on the first floor around the central courtyard with it's palm trees, The gardens are fabulous with lots of lovely flowers and fruit trees. The food is also good. The Villa appears to have grown like topsy with a corridor linking the main bedroom areas with the main public areas. There's a slightly 70s feel to the new areas with the coloured roof tiles on the corridor adding to that feel. This combined with the quiet overall feel (which we liked) gives a slightly sad air. Overall we liked it and would stay there again.",Villa_Mandarine,Rabat
 September 2014,4,Very pleasant,"We spent a very pleasant evening at this hotel in Rabat. The staff were pleasant and our room was clean, spacious and comfortable. We ate dinner there too. It was very nice to feel safe after three nights in questionable riads.",Villa_Mandarine,Rabat
 September 2014,4,Dreamlike experience at a beautiful place,"Villa Mandarine was so beautiful, it felt as if you were in a private home, but with the convenience of a hotel. The idea that a family runs this place added to the great charm. The gardens were gorgeous, and just walking the property was a pleasure. The dining room and outdoor terraces were lovely. Our room had every possible thoughtful convenience. We had a little terrace off of our room, as well as a lovely split bath, which is of course highly convenient. This is a place you would want to linger, but we could not. We did not anticipate how lovely this would be. The sheets and towels were even monogrammed!! We had a driver, so I do not know about how easy it is to get to the sights of Rabat. If you want a magical experience in a low-key and charming way, this is the…",Villa_Mandarine,Rabat
 August 2014,4,Lovely visit,"Stayed here twice in our 2 week visit and really enjoyed our stay. More of a family hotel, pretty pool, excellent restaurant. Good service at the front desk. Very accommodating. We had a dinner party for 10 people and the service was excellent and the food was great!! We had drinks in their bar and were fascinated by the zebra skin hanging on the wall reminding us that yes, we were in Africa!!",Villa_Mandarine,Rabat
 August 2014,5,A beautiful oasis after a long flight and a hot day,"Villa Mandarine was our first stop on a tour of Morocco and came after a 24 hour trip from Melbourne. It was a great introduction to Morocco and a lovely place to get over our jet lag. Staff were very pleasant, our outdoor breakfast was a delight, and our Pamplemousse suite was spacious and colourful with beautiful views over luxuriant gardens. We were sorry we had only one night there.",Villa_Mandarine,Rabat
 June 2014,4,Such a stunning building .. but,"The hotel is such a gem: one of the best Boutique hotels in the capital. It's located in an isolated diplomatic area that is very far from the center - I think it's easy to find a taxi. The building is very beautiful with a gorgeous garden and a deep heated swimming pool where you can spend a day and relax. Our room was very clean and very comfortable with a big bathroom and a lovely terrace with sunbeds. An only downside is the curtains that gives you a feeling are not clean and very old. Our stay in this hotel was very nice, but it was only hampered by the extremely poor breakfast food and service throughout our 1 night stay.",Villa_Mandarine,Rabat
 July 2014,5,Gorgeous hotel,This was a beautifully decorated and lovely place to stay. We booked a standard room which was spacious as was the bathroom. Bathrobes are also supplied. There is a fabulous pool area but unfortunately we only stayed one night and did not have an opportunity to use it.,Villa_Mandarine,Rabat
