 December 2022,5,Fifth visit to Le Pietri - My home away from home,"Le Pietri is in a great location with very friendly helpful staff. The low floor street side rooms are a bit noisy at times. They have a nice variety and tasty breakfast and dinner menu with good wine options and a bar all in a comfortable space. We enjoyed an amazing jazz concert on a Saturday night. All in all a comfortable place to hang out with friends, be alone and get around the city. I will defiantly return.",hotelName,city
 December 2010,1,Had booked for January 2011 but,"Planning my holiday in Marocco for Christmas and New Year, I had book this hotel for the beginning of January 2011. The rate had been agreed and the booking confirmed directly with the hotel. A few days ago I received an e-mail stating that the rate agreed and confirmed was no longer valid. I was then informed that for the 2011 my room was going to cost 8 euros more per day (!!). I did not get the chance to stay at the hotel but, as result of this behavior, I cancelled immediately my booking and I reserved elsewhere. A bit annoying since most of the best rated hotels-riad by then were already full! If you have booked in 2010 for 2011 watch out the rates! I wanted to tell you because I do not want this to happen to other people.",Le_Pietri_Urban_Hotel,Rabat
 September 2010,5,Rabat and all that Jazz,"We have spent a great time at the Le Pietri Urban Hotel in Rabat. Nice air conditioned room, great bed and nice breakfast buffet at the terrasse. The restaurant serves a variety of Marrocain but also European dishes and we enjoyed having cocktails while listening to great life Jazz music! The Le Pietri is located close to the train station right in the middle of the center in Rabat. The souk in the medina, the nekropole Chellah and other sights are easy to be visited within walking distance (the hotel gave us a a map and explanation where to go to). The first days of our stay the elevator was busy all the time due to renovation works in the first floor, but luckily they were finished when we left... Everybody was very helpful and friendly and we really enjoyed or stay at the Le…",Le_Pietri_Urban_Hotel,Rabat
 September 2010,5,A Little Gem of a Hotel,"I traveled to Rabat with 11 other girlfriends, and we stayed at Le Pietri Hotel. The staff and afternoon desk clerk were friendly, warm, welcoming and a delight to interact with. The bathrooms seemed new. They were very accommodating with our very large group! The restaurant was in a lovely setting, and the food was excellent. I had fresh Calamari that was very tasty. I highly recommend this hotel for your stay in Rabat.",Le_Pietri_Urban_Hotel,Rabat
 September 2010,5,Wonderful Hotel and Hospitality,"Le Pietri Urban Hotel came through for us from the moment of booking. We started out with a two-room reservation, and little by little ,it swelled to six.. Each time we called to add a room, Bouchra, the lovely lady at the front desk, was willing to do whatever it took to accomodate us. Our rooms were clean and comfortable, and the staff amazing. Even though we arrived quite early in the day, they got our rooms ready as quickly as possible. We enjoyed a wonderful evening meal in the restaurant and a free breakfast as well. What a wonderful mini-vacation right in the center of Rabat for a modest price! We will definitely be returning to this hotel.",Le_Pietri_Urban_Hotel,Rabat
 April 2010,4,"Good hotel, value for money, central","This is a very nice and small hotel in Rabat. It is very central in the old french quarter of the city. Rabat's hotels are usually overpriced and quite luxurious, this one, Le Pietri, was just what we were looking for. A small, cosy hotel that is clean and friendly. This is what we got. The rooms are basic, yet clean. There is no double glazzing, so if you get a street-room, it migth get a littl noisy at night. Apart from that, can't say anything negative about the hotel. The restaurant was veryyy good, they have dinner-music evening which was very nice. Howevr, a couple of clashes with the restaurant staff that kind of had their noses stuck up when we went down and asked for a table. We felt a little unwanted for god knows what reason. Asked a waiter, said no sorry, asked…",Le_Pietri_Urban_Hotel,Rabat
 March 2010,4,"Trendy, clean, good hotel in great location","We stayed one night in Rabat en route to Fez, and were pleasantly surprised by the Pietri. I'd had problems getting in touch with them through their website and had to call them in the end to make our reservations, but was really glad I persisted. The staff were all friendly, and the hotel was very modern and well-appointed, with an excellent restaurant downstairs (they had a great breakfast, and some of the best tagine we ate the whole time.) The location was by far the best though -- a short, easy walk from the train station, which was great for a short stay. But still close enough to walk through the medina and up to the kasbah in less than an hour. Great location. My only complaint was that the A/C unit on the wall didn't work, it only produced heat. As our room was…",Le_Pietri_Urban_Hotel,Rabat
 March 2010,5,Great Hotel - Home away from home,"LePietri is a great hotel to stay at in Rabat. It has the friendliest staff and the best location in the middle of the city where all the action is. It is 3 blocks from the train station and from the main fountain in the promenade park in front of the parlement and the majlis. It is surrended by cafes, restauranrts, convenience stores. It is not far from the night clubs, the flower market, and several high class businesses. It's location makes it easy to get to the medina by foot at any time of the day or night. The staff (and I mean everyone) are the most friendly and helpful people that I have ever seen in a hotel. The small size of the hotel makes even more homy and more alert to customers' needs than the larger more expensive hotels. I was staying at LePietri Hotel…",Le_Pietri_Urban_Hotel,Rabat
 January 2010,4,Le Pietri - absolutely great!,"We stayed in this hotel with 12 friends. Rooms not very large, but very comfy. And very clean! The staff is very accurate and very friendly. There is also a nice bar/restaurant with very good live-music. Close to all the major attractions like medina and kasbah. I would recommend this hotel to everyone! Thanks for a wonderfull stay!",Le_Pietri_Urban_Hotel,Rabat
 January 2010,5,EXCELLENT ! GREAT VALUE FOR MONEY,"We spent 2 nights in this wonderful hotel . Le Pietri hotel is really the place to stay in Rabat, it offers GREAT value for money, we paid around 70 Euro per night and that includes wonderful breakfast, free WI FI internet inside our room for 24 hours. The rooms are clean, well organized and really offer comfortable sleep at night. I would CERTAINLY come back again to this hotel and would recommend it to all who want to stay in Rabat.",Le_Pietri_Urban_Hotel,Rabat
 November 2009,5,Perfect stay,perfect place for perfect rate.Near to the station and medina.,Le_Pietri_Urban_Hotel,Rabat
 November 2009,4,Nice Stay at the Pietri!,"The location of this is very convenient - very close to the Rabat Ville railway station and the soon to be opened tramway. It is also just a short walk to the Medina and the Kasbah as well as the tomb of the Moroccan kings. The rooms are all very stylish and comfortable. Very tiny TVs but otherwise, decent amount of space all things considered. Bathroom was good sized as well. Not a lot of room for sitting, but we didn't spent too much time in the room. The hotel restaurant was quite good for dinner and the complimentary breakfast was decent as well. The wifi in the hotel was there but it was hit or miss (never worked in the room and lobby was dodgy but signal usually worked in the restaurant).",Le_Pietri_Urban_Hotel,Rabat
 November 2009,1,The hotel had lost our reservation and was full!,The Pietri Hotel is not a hotel you can trust. Over one month before our arrival we made a reservation and received a confirmation from the hotel. At arrival the hotel was full and our reservation was gone. They couldn't even in the computer search and find the reservation name but had to look at _my_ email copies and finally they at least found the reservation. But for no use since the hotel was full... The guy in the reception wasn't even sorry... Lousy hotel!!! Bad impression!,Le_Pietri_Urban_Hotel,Rabat
 July 2009,5,The LePietri guarantees a perfect stay in Rabat.,"When we entered the reception area we were stunned by the high european standard of the hotel. The staff was very (very) friendly and helped us in any kind of situation. They were always available and spoke French and a quite well English, which is not common for Moroccan hotels. When we entered our rooms our expectations were exceeded again. They were very modern, stylish and clean and offered everything you would expect from a european hotel as well. Bed and bathroom were comfortable and the terrace was a highlight! Since i've been there with Friends, we wanted to go out in the evenings. But we didn't come very far, because the best club around is the in-house jazzclub/bar/restaurant of the pietri itself, which seems to be kind of a hot spot for moroccans of every age too. we…",Le_Pietri_Urban_Hotel,Rabat
 August 2009,3,Bland interrnational hotel,"The Lonely Planet describes Le Pietri Hotel as ""boutique"". It's not. We stopped off there on the way to Marrakech from Fes. We were please we did since Rabat is less busy and hot than either place. It's about a 10 minute walk from the station so was ideal from our point of view. The rooms need a bit of attention. But it's fine, without really having any character. What really put me off was the bar downstairs. It was full of incredibly drunk locals who were incredibly aggressive. It had live music that went on to about 1am, so don't expect an early night. Still, I guess you get what you pay for - £50 per night for a double room.",Le_Pietri_Urban_Hotel,Rabat
 June 2009,4,A comfortable hotel,"Stayed there for 2 days, attending the Jazz au Chellah festival. Clean and comfortable with a top quality restaurant too. Well located in the centre, it was just 10 minutes walk to the Medina.",Le_Pietri_Urban_Hotel,Rabat
 April 2009,5,"Good Location, Friendly Staff, Reasonable Price. Enjoyed our Stay","We stayed here twice on a recent trip to Morocco, on arrival and then again before departure. All of the staff were extremely helpful and friendly. We had to change reservations, dates and number of rooms, several times and the front desk was exceptionally accommodating and helpful in working with us. The only problem was availability as they do book up quickly. Additionally, we left a bag during our excursions around the country to pick it up on our return without a problem. The location was good, we easily walked to/from the train station pulling our bags, it was only three or four blocks. The breakfast was good and we had the best coffee during our visit here in this hotel. All of the workers there couldn't have been more friendly going out of their way to answer…",Le_Pietri_Urban_Hotel,Rabat
 May 2008,5,"Very nice and Modern, at a geat price","We stayed in this hotel for one night, on our way to Fes. About the hotel: I read the comments about the noise and, being a light sleeper, I decided to go for the room with a Terrace, all the way up. The reservation was fairly efficient. The only glitch I remember is that their price was about 100DH ($12-15$) higher than what is on their website. I inquired about the difference and was sort of told that that was the price, without further explanation. It did throw a bit of a cold as a fist contact but that was the only glitch. The room and hotel were very nice. Quite modern. A bit of a boutique hotel style feel, but not quite there. The restaurant is nice too. Didn't have dinner there but breakfast presentation has a bit of a different touch. A bit on the light side but…",Le_Pietri_Urban_Hotel,Rabat
 March 2009,5,"Modern, Chic, Affordable, Well-located hotel",The staff were gracious. The room was comfortable. I wish I had planned for a longer stay in than one day and night in Rabat,Le_Pietri_Urban_Hotel,Rabat
 January 2009,4,Central and welcoming,"Plus : calm, central, welcoming staff, good food (thanks for a great range of soups – couldn’t believe it could be so cold in Morocco), free internet working great (which is not always the case in African countries) Minus : had to pull out all my rusty french – receptionists only speak little english",Le_Pietri_Urban_Hotel,Rabat
 December 2008,4,Quirky modern hotel,"We only stayed one night at this hotel. Its location is convenient, about 5 minute walk from the Rabat train station. There are plenty of restaurants all around, with a place to check the internet just down the street. The lobby and the rooms are all furnished in a modern and quirky style, and the bathroom beautiful. I would've expected a hair dryer but there wasn't - and as someone had mentioned, the tv is laughingly tiny. The included breakfast was decent. For its value, the only downside really was the lack of able English speakers at the front desk. There really only seemed to be one that spoke good English. We had experienced an unfortunate incident in Rabat, and we had asked the front desk if they would be able to help us by allowing us to make collect calls to the US. He…",Le_Pietri_Urban_Hotel,Rabat
 December 2008,5,Great music – comfy sleep,"I came to spend some time with friends spread over Morocco. When I told them to meet up in Rabat, they laughed and wanted to gather in Casablanca, persued that it was the best city for going out. Le pietri proved them wrong. We spent a lovely weekend with live bands and great food right at the hotel. Got the chance to meet the manager, who seemed to have a great time himself listening to the group he booked. No wonder the sessions are so enjoyable. The location of the hotel in the center of the town is also very practical for visiting Rabat. We did most of it just walking. To recommend absolutely – especially for short stays and weekends.",Le_Pietri_Urban_Hotel,Rabat
 December 2008,5,Loved it,"Rent the top floor suite that can accomodate 3 people and you will have a terrace garden, internet access, free breakfast, warm showers, clean rooms and an excellent service. I was impressed with Hicham, the helpful and smiling front desk manager who helped me fix my laptop which was having trouble getting on the internet. There is no wifi in rooms, only wired access but the hotel will loan you ethernet cables. Breakfast had boiled eggs, crepes, orange juice, breads, jam and butter. Nothing extraordinary but pretty good. Although located about 15 min walk from the train station it is a bit difficult to find. It is walking distance to the Medina and other tourist attractions.",Le_Pietri_Urban_Hotel,Rabat
 July 2008,4,"Good location, nice rooms","Pro's: We stayed here two nights, Good location: just a short walk from train station and city centre Nice rooms with airco and well designed rooms/ good shower Cons: Reception can only speak french",Le_Pietri_Urban_Hotel,Rabat
 May 2008,4,"Comtemporary, Attractive and Comfortable","I had 2 nights at Le Pietri Hotel and would have been happy to stay longer. Its spotless newly refurbished, well-designed rooms and bathrooms were a nice contemporary variation from the medina riads (which are lovely) I stayed at in the other cities I visited in Morocco. Le Pietri has a good location within walking distance to the main part of Rabat. The staff is friendly and gracious; although the front desk person was multi-tasking much of the time and spoke little English, they were still very nice and helpful. Breakfast was a slight disappointment, however as they served bread, jam, croissant and danish. Too many bread items and too many sweet things. I did order eggs one morning for 20 dirhams, they were quite good and they did have fresh orange juice. Without…",Le_Pietri_Urban_Hotel,Rabat
 March 2008,2,Noisy and inefficient,"Found some positive comments on Tripadvisor about the Hotel, and booked confidently. The place is pretty clean, and it does have an excellent (if a bit pricey - say 15 to 20 Euros for a meal) restaurant, but one normally wants a hotel to sleep in and this is definitely difficult at Le Pietri. The windows are not soundproofed and the rooms on the street are noisy as you can hear people talking, the traffic going by and at four in the morning the dustbins being gathered. The rooms on the courtyard are very quiet except on ....Tuesdays, Fridays and Saturdays when the Hotel runs lively and very noisy parties with plenty of booze and music until 12.30 a.m. I saw a few other customers leave in a huff in the early hours of the morning complaining about this: on my side, having…",Le_Pietri_Urban_Hotel,Rabat
 January 2008,4,Clean and a good night's sleep!,"Hotel Le Pietri is very close to the train station so that's good and off the main drag. The rooms were sparkling clean and the bathroom too. Definitely worth the money although we were a little disappointed to find that our stay from Dec 31st to January incurred an extra 100 dirham per night into the new year and nobody bothered to tell us so we were left with a bigger bill than expected. Once our booking had been taken by email our further emails were not replied and we were left somewhat puzzled as to whether they wanted our credit card details or not and if we actually had a reservation but it all worked out fine in the end. Breakfast was French style so very bread-orientated but good-looking young, friendly staff added to the charm of this modern hotel.",Le_Pietri_Urban_Hotel,Rabat
 July 2007,4,Love the friendly place,"I just returned back to Singapore after stayed in Le Pietri Hotel Rabat from 25 July to 7 Aug 07. We have 14 people staying at the hotel and also occupied thier meeting rooms for a week workshop. The hotel was clean and very comfortable with a very reasonable price. The hotel owner offered very warm welcome and wonderful hospitality during our entire stay, with nice and friendly staff which he captioned well. They have done their best to accommodate our request. The restaurant offered very good food (Excellent Chef) and also we enjoyed their live music band at night. Overall this hotel has exceeded my expectation, a hotel I would like to check in again.",Le_Pietri_Urban_Hotel,Rabat
