 December 2022,5,Warm and welcoming - Reflective of the great Moroccan culture! Highly recommended.,"Abdallah (hotel manager), Hamdi, Yassine and the entire Hyatt team at Casablanca made us feel like coming back home after long hours of travel. This is my 5-6th stay with the Casablanca Hyatt over 15 years and I cannot recommend it higher. They took care of everything!",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,hotelName,city
 August 2015,4,"Ok location, Ok hotel...","Located in the heart of the city, the hotel is ok. rooms are large and clean. The ambiance is nice... Moroccan food obviously good.. the staff are friendly and helpful.. the metro/city monorail is just right outside... the soux/market is also nearby..",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 February 2016,4,Hyatt!,"Standard business hotel with a conference going on to complete the effect. Large lobby, piano bar, lots of activity, and people; busy, busy, busy. Rooms standard and comfortable. Provided a box breakfast because we left so early that was pretty standard, had coffee and tea along with it.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 March 2016,4,Luxury comfortable hotel,"We stayed at the hotel twice within a week, for a total of 3 nights. The staff is great all around, the hotel is clean and has a nice decor. The wifi in the hotel is good too. Both times we were upgraded to a suite, which were very nice. The executive suite especially is wonderful and big. Both suites were comfy, with amazing beds, new flat screen TVs, safe, and Nespresso machine. The automated minibar is annoying though (especially with a kid and if I just want to store some of my own drinks). Also, the furniture/fixtures in the rooms are mostly old and need refurbishment. The airco/heating works fine for cold air but didn't provide heat as we experienced some of the colder days in Casablanca at the end of winter. We ate once at the buffet breakfast and it's amazing. Lots of…",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 March 2016,5,"great staff, great location, great hotel","For the second time in a row, I had a wonderful stay at this hotel. The staff was helpful and friendly, and the hotel is located near most major attractions. I will definitely go back again when I get a chance to do so..",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 March 2016,5,Probably the best Hotel in Casablanca,"Always a pleasure to be a guest in this Hyatt Regency. People are very friendly and polite. Quality and details are respected. Well desreved 5 star ranking. The hotel is central and very well located in fact public transport is also just in front of the door. Rooms are spacious and very clean, good comfort. The restaurant M has good foodand staff is very professinal.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 February 2016,5,If only all hotels were this good,"Upon arrival you feel this is going to be good. An exclusive approach we were met by attentive staff, and we hadn't entered the building.Inside a luxurious lobby with lots of flowers and space. Check in was perfect. We had a late super in the bar nothing was too much trouble. Every department at this hotel was as it should be. Reception,house keeping,the concierge service was above and beyond. Food and beverage again superb. An excellent breakfast starts your day, we also had perfect lunches and an evening in their moroccan restaurant delicious! Our room was spotless,spacious,quiet,good bathroom and amazing view. We will return.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 February 2016,4,In the heart of the city,"Wonderful clean place with very good service and lovely hotel in the downtown CASABLANCA . Food is of very good quality especially the desserts . Staff are very helpful and always smiling . The view was on the center of the city and the room was very clean . The problem was only that the wc was away from the bathroom , very rare to see in any hotel I visited.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 January 2016,1,Very Bad experience,"after I stayed in Hyatt Regency for the 1st time in November 2015 and wrote a nice review, in the 2nd visit I was very disappointed. my reservation was done through my company and upon check in. the front disk asked my for a deposit 100 Euro/night. i said that i don`t have enough Euros to pay this deposit so she told me that i can just pay 150 Euro for the 5 nights. i payed and upon check out she payed me back the remaining money in Moroccan Dirham which make my lost a lot in currency exchange. all this happened despite i had a company guarantee that makes me did n`t need to pay any deposit. and the Hotel front disk should know that i don`t need to pay and take advantage of my unawareness. it is my last time to stay there and all my friends have been told about this bad…",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 February 2016,4,Restaurant,I had an amazing business lunch in Hyatt Regency. The service and the food was excellent. The service was quick enough. Waiters were polite and ready to help us in any arising question we had. I would highly recommend it to anyone else.,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 February 2016,4,Great hotel but pity about the 'don't walk outside' warning!,"After a series of flights I arrived in this famed city. Keen to walk outside and explore at about 9pm. The hotel front desk said' no go'. Retired to my room sadly. Again the next day i asked and was told 'dont go'. Sad. My room was great, well appointed, good soaps etc. Internet was quite fast.Breakfast was adequate if unremarkable. A casual dinner (remember I could not explore) was tasty, well priced and served in the casual lounge. Service was generally very good. So, I enjoyed the hotel in every respect and the unsafe areas was not of their making so overall no groups and would recommend the hotel.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 February 2016,5,Casablanca Hyatt Regency,Comfortable stay at the hotel. The restraunts are amazing specifically the Moroccan restaurant at the hotel. Will definitely come back here. Highly recommended for long stay as well. If you are a club member then the evening hour devours are excellent.,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 February 2016,3,"Nice rooms and friendly staff, but the whole place could do with a renovation...","Location not that great. Building in relatively poor state = not great impression upon arrival at the hotel. Reception at arrival OK but not very friendly. Rooms very good, even though rooms on the road side are quite noisy. Did not try the restaurant and bar, so cannot judge. VIP Lounge very good, mainly due to the super nice and effective team there. All in all good but not very good.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 February 2016,3,2 days in Casablanca,"First time to visit Casablanca, the hotel was nice, its location is not the best area in Casablanca. The food was average, the bed was very nice and comfortable. Meeting rooms and facilities were good but the ac in the meeting rooms Is either too hot or too cold!!",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 January 2016,4,"Nice Hotel, Noisy Night of Sleep","Nice hotel surrounded by a sketchy neighborhood in the middle of Casablanca. Nice room, but booming music kept me awake all night. Need better sound proofing in rooms. Staff who speak better English would have made it a more comfortable place for an American who speaks no French or Arabic.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 January 2016,5,Business Trip,"Great hotel, the lounge is first class with great service , good bar but small gym , friendly staff, located in the centre of the city and close to the water and restaurants- no complaints, will come back again.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 December 2015,4,Luxury at a top location,This Hyatt hotel offers everything an experienced traveller would require. The setting is in the very heart of the city close to the new Casaport railway station offering the possibility to use the train to explore other cities. Rooms are spacious and the restaurant were breakfast is served is fabulous. Maybe a little expensive but worth while. Excellent for business as well as for pleasure.,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 January 2016,4,Good hotel in central Casablanca,"I was there for business and spent 4 nights there. This is a very well located hotel. Should you are doing business in the twin towers, you can reach the spot in 15 minutes by foot. The hotel is in front of a tramway station, very convenient to reach the technopark. It's also close to the railway station Casa Port. Casablanca's souks are very close and you will find a good choice of nice restaurant in the area. My room was large very clean and furnished in an elegant style. Everyday 2 bottles of water were delivered. Bathroom was spacious with a shower and a separated tub. You will find in the room everything that you would wait for like a safety looker and some good quality bath accessories. I've taken the breakfast only twice during my stay but it's a real breakfast with…",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 January 2016,5,A luxurious treat and great location for short stay,"- Rooms are well maintained and well furnished. Was delighted to enjoy a plate of oranges and macarons when we entered (better than any oranges we purchased ourselves in various souks). - Big bath, big separate shower. Toilet was in a separate little room, far from the rest of the room, so a lot more privacy from each other than we had in any riad earlier in the week! Nice amenities. - Lobby is tastefully done and we enjoyed a glass of wine one night. Reasonably priced. - Good wifi. - Walking distance to the smaller train station. Probably even walking distance to Hassan II Mosque (maybe 20+ minutes), but it was raining, so we cabbed it. - The area is a bit seedy in terms of restaurants, etc - but we found a decent local place within a few minutes walking of the hotel.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 January 2016,5,Hyatt Regency Casablanca,Top adress in Casablanca. The hotel is in the best aera in the middle of the city. It is the second time I was in the Hyatt Regency Casablanca. The comfort is on top level. The staff very friendly and the management as alwas very efficient.,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 December 2015,4,Hyatt Regency Casablanca,Well located hotel with a nice view of the medina in the old city. Attentive staff inside the hotel. Rooms need a fresh look to reflect the 21st century. Hotel is nearby many attractions with an easy access transportation.,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 April 2015,4,Nice,"This hotel has a fantastic lobby and is really well located in front of the medina. The room was nice and clean. The heating system wasn't working in our room but they came to repair it immediately when we complain. At night, we had neighbors that made a lot of noise and didn't let us sleep, so we called the concierge that offers us to change us to another room, but we refused, so he called the noise neighbors and the problem was solved.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 January 2016,5,Great stay as always,"We checked in on my birthday and they gave us an upgrade to Club room and nice birthday cake. The staffs are very helpful and attentive to our needs. The manager Zahra is very professional and focused on making our checking-in a smooth one. As for location, there are souks around the hotel, however the Moroccan restaurant in the hotel is strongly recommended. We will always be back to this hotel as we are their lifetime members.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 January 2016,5,Perfect hotel,"After two weeks on the road, many of those staying in a riad or Nomad tent, we stayed our last night in Morocco at the Hyatt in Casablanca. Call me a spoiled Westerner (I am), but it was so nice to get a night in a luxury hotel with all the amenities. As far as Hyatt's go, this one was as good as any, and the view of the old medina with the Hassan II mosque and Atlantic ocean in the distance was spectacular. And it is is just the right location for sightseeing on foot if that is your thing. Won't go wrong staying here.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 October 2015,5,Superior and well located Hotel,Very comfortable well located hotel. Just near the old medina and across the Riad from main thoroughfares. Rooms have a real character to them. Service is excellent. A dinner at Cafè M is really worth the experience.,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 November 2015,4,Well located superior hotel,"The hotel is well located on the United Nations Plaza in the center of Casablanca. It is a large, white, bland, rectangular building whose cracking exterior plaster, particularly at the end, reveals its age. To make matters worse, an absurdly discordant entrance canopy in faux Graeco-Roman style has been added to the front. This tacky structure looks as if it was salvaged on the cheap from some sword-and-sandals epic in the film studios of Quarzazate. Once you get inside things improve markedly. The public areas are modern, sleek, and handsome. Check-in is efficient, with staff who speak fluent English and who are unfailingly courteous and helpful. My room was excellent -- expansive and comfortable, with good TV, desk area, wifi, and large windows. The bathroom was…",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 December 2015,5,Classy choice for Casablanca,"Hyatt Regency Casablanca is every bit what you expect from a luxury hotel, starting from the security aspect to the service and cleaniness. Rooms have a real character to them, and do not feel as impersonal as other luxury alternatives in Casablanca. Service is excellent. A dinner at Cafè M is really worth the experience",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 December 2015,4,24 hour Layover,"A great hotel to relax in a City that is a little edgy. I arrived and had booked a club level room, but they upgraded me to a suite, what a nice surprise. The club lounge was very nice, and the staff were wonderful. I wish I could have stayed a little longer but my schedule did not permit it. The only down side was the fitness area that was piecemeal and was in a few different rooms with limited equipment. Aside from the lack of workout facilities, I had a great stay. Thanks",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 December 2015,5,Great experience,"I would like to share this beautiful experience i had to the hyatt regency of casablanca. As soon as you come in, you're send into a place of delight and pleasure. All the staff is waiting to help you !! and it's only the beginning...",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 November 2015,5,Good hotel in very good location,"It is located near the old city of Casablanca, many shopping and restaurant nearby too. The traffic is heavy but you can walk to the sea and old city easily. The room is nice and the staff is nice and helpful.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 December 2015,4,Great hotel. Great location.,Great hotel. Great location. Great service. Food was delicious. Sunday brunch is a must. The business lounge was a great addition. Rooms were nice and clean. Felt comfortable as a woman to walk across the street for coffee or to shop. We'll be back!,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 December 2015,5,Nice hotel,"A clean and modern hotel within walking distance of major attractions. The food is good but expensive. Drinks are expensive as well. Better to walk to restaurants close by. Rick's cafe is a 15 minute walk away and much cheaper, better food selection and atmosphere. Conference facilities and support was good.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 November 2015,4,Short but relaxing over night stay,"I have stayed at this hotel before and is one of my favorites in Casablanca. The service is fantastic, room service swift and prompt, and very friendly and helpful staff in the reception. I asked for late check out because of meetings during the day, and first I was granted check out first at 16:00, but in the end at 18:00 - without any extra charge:-) It was not the most busy period for the hotel, but this kind of service I appreciate a lot and makes business travel easier and more relaxing.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 November 2015,5,Everything in this hotel,Good Points: - Excellent Staff. - Excellent hospitality. - Excellent Cleanliness. - Excellent Food. - Excellent Free Wifi. - Excellent value for money. Bad Points: Nothing. This is a real role-model hotel.,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 September 2015,5,Examplary hospitality,Everything at the Hyatt is 5 stars including the service. The breakfast is good and the location is perfect. The lobby bar is perfect for business meetings. The interior design is luxurious and sobre.,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 November 2015,5,Great location,"Very comfortable well located hotel. Just near the old medina and across the Riad from main thoroughfares. as the spa was closed during our visit, the concierge organised another luxury hammam for us. While the breakfasts were beautiful, sometimes finding a table was a little bit if a challenge. Rooms with a view of the mosque are great at sunset, however do be prepared to hear the call for prayer early on the morning",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 November 2015,4,Business trip to Morocco,"Used Hyatt Regency to stay for a five days business trip in Casablanca. Loved the location, due to proximity to tram and train station and the city square kind of place just in front of the hotel. Front office / reception staffs were real warm and friendly. Food options were limited, including the breakfast. The gym and spa were under refurbishing, the makeshift facilities were not in line of the stars. Hotel airport service, and food as well, is bit costly vs the good places in the city.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 November 2015,5,when quality meets efficiency,"everything at the hyatt is made to allow to focus on your purpose in the city, may it be business or pleasure. the staff is highly trained and genuinely concerned about your well-being. the famous moroccan hospitality! Everybody will bend over backwards to help: the cook will accomodate your requirement, the concierge will thrive in finding all solutions to make your stay better. highly recommended hotel",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 May 2015,4,Heart of Casablana,"Me and a work colleague stayed here in May and had a great experience. It was well located right next to the city's souk and within walking distance of the Mosque. Although slightly dated, the hotel maintained a real sense of charm and atmosphere - with a constantly busy lobby full of interesting people. Food was OK but there's a good few places to eat within walking distance.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 November 2015,5,"Great hotel, friendly staff","Fantastic hotel with helpful, friendly, professional staff. Very well located in central Casablanca. The room was great as well. I even had a great view of the Hassan II mosque from my very nice room.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 November 2015,3,Not bad,"I had the time to spend two days in Casablanca so I choose Hyatt regency but unfortunately I did not enjoy it too much because too small swimming pool in addition to very few varieties in breakfast which did not cover all persons needs moreover a terrible location beside the old market and too much money asking by rude way but I enjoyed the friendly staff, room decorations and nice greetings and thanks",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 November 2015,5,Perfect for Lunch,"Wanted somewhere to have lunch and was not disappointed. Ambiance was excellent, service First Class, helpful and not obtrusive. Ordered the Lamb Tagine. Delicious. Went down well with a superior glass if wine. Wi-Fi is extra fast and a clear bonus. Try the Morrocan mint tea. Very refreshing.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 November 2015,4,Excellent service!,"This hotel is located very centrally and closed to the medina. It is very to access bearing in mind the very heavy traffic in Casablanca. The rooms are large and so are the bathrooms. Some rooms would need to be redecorated and are noisy if you are on wrong side. The best thing there is the staff: they are very friendly and very efficient. The restaurant is also good but pricey. Breakfast is very good with a standard selection of pastries, bread and grilled stuff.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 November 2015,4,Good visit,"This is a good hotel for business. Friendly and professional staff. Great breakfasts and beds. Clean rooms. Conference was well managed and efficiently run. Room service is very good, great food delivered on a roller tray that turns into a table Negatives: had a 1st floor room with no view, except for the roof of the conference venue. Room cleaning needs to be better",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 October 2015,5,The hotel to enjoy,"Staff is the secret in this hotel. Smiles... professionals...Business attitude.... Customer Service orinted....Always part of the solution,if you face a problem which is no where in the hotel... From the bellman to the director .... they serve with elegance.... I stayed around a month .... TOTAL ENJOY Mrs Fatiha ,Mrs.Samira, Zahra,Eman,Houda,Khalid, all house keeping staff, everyone and of course Mr.Mouron (hope spelling is right) Thank you",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 October 2015,5,Best Hotel in Casablanca,"I stayed there on a long business trips after trying 2 other hotels I CAN ATTITUDE is the title of everyone working there from the sales manager , finance manager , reciption , house keeping all gives you such feeling of personal care I went to a lot of hotels around the world but in Hyatt Regency Casablanca , it is another level",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 October 2015,5,Week stay,"I prefer Hyatt regency to anyone who is willing to stay in Casablanca. I adore the service, the place, staff, and the location of the hotel. Everything was well arranged and organized, the staff was very helpful and trying to solve your problems if any regardless the problem is related to the hotel or not, they offer to help even outside the hotel. At last I can say I fall in love with this place.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 October 2015,4,Bizz hotel in the middle of the city,Big rooms with comfortable bed and enough space to work in. good ammenities in the bathroom. A bit old and needed a deeper cleaning in the common areas. Good restaurant and bar A bit expensive for what it offers however there is not so much competiotion in this segment in CSB.,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 September 2015,5,Luxury in every sense,You are always welcomed as if you were a VIP. Very often they upgrade you without you had to ask The rooms are great so are the bathrooms I like the bar with the sofas to conduct interviews or business talks They never forget you from one trip to the other. Definitely the perfect place for a business trip to Casablanca,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 October 2015,4,stop over comfort,"we stayed here on our last night in morocco, before catching our flight the next day back to new York. what I expected good service, food, service, and very impressive security. pool area was nice. yes a bit pricey relative to what you pay while traveling around the country but was a nice way to transition to return. overall a pleasant stay.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 October 2015,4,"Great stay, but a little bit expensive","Stayed twice here and every time was great. It is well located, clean and comfortable. Wifi works well, and the service is excellent. The room price is expensive, but in Casablanca it is better to pay some extra and to get a comfortable stay, especially when you are away from home :) The breakfast is OK, but I think it is overpriced (around 30 Euro), not included in the room rate.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 November 2014,5,Excellent,The hyatt regency was one of the best hotels that I used. The level of decor is outstanding. The restaurants it offers are of very high level especially one particular one in the bottom level that offer shows as well 😉,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 October 2015,4,Comfortable stay,"I stayed at the Hyatt Regency recently on my first trip to Casablanca. The hotel is very comfortable, and the service was excellent. There is a very good Moroccan restaurant in the hotel. There is lots to do nearby - a big shopping area and lots of cafes. One side of the hotel offers a beautiful view of the Hussain II mosque - I really recommend asking for one of these rooms. It was stunning.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 October 2015,4,Long stay,"over all a great hotel. I stayed 58 days there and had no big issues. A lot of activity near the hotel--shopping, restaurants, etc the layout of the rooms are strange. The toilet is stand alone and well away from the living and shower, with no place to wash your hands near.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 September 2015,4,An oasis in a desert of chaos,"Spent a 2 night stay here on a business trip last month and the hotel was everything you would expect from a Hyatt. Opulent surroundings & fittings, excellent friendly service and lovely bedrooms and bathrooms with plenty of space and comfort. The photos I have included are from my room on the top floor of the hotel, a nice distance from the chaos below but there was still some limited room noise. Breakfast was not included in my rate so paid extra for this, surroundings nice in an Arabian style with as you would expect plenty of choice and a chef on hand for omelettes etc. We ate in the hotel one night and the food was excellent. My only criticism was the check in process which seemed to take an eternity to complete for no obvious reason!",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 November 2014,3,Good Location - Average Service,"I stayed here on a business trip for 3 weeks. The location of the hotel is quite central with a lot of dining options nearby. The service of the hotel is quite average with pretty long times for check-out/check-in. At the time of my visit, there was some renovation going in and the gym was very basic (make shift arrangement). Breakfast range also very limited. The hotel did have a business lounge, which was quite helpful and great place to hang out in the evening. If I travel again to Casablanca, I will do more research before I stay here again.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 September 2015,5,A five start business hotel,"Located near the old city the Hayatt is a very clean, modern hotel, the staff is extremely friendly and helpful, the food in the French restaurant and the Moroccan wine are of high standard and quality, the rooms are clean and spacious, shower rooms are huge with walking in shower and a bath tab. Free wifi, check in and check out extremely fast. Although the hotel is in the middle of a very busy square there is no noise what so ever. Highly recommended for business or pleasure in Casablanca.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 August 2015,5,Excellent Service and Location,Little late in review. Stayed here 15th Aug to 20th Aug. Very satisfied. Location is great. Very central and tram station is just across the road. Banks and cafes so near. We loved to sit in those cafes for hours sipping Moroccan Tea and watching the crowd pass by. McDonald and KFC just opposite the hotel as well other eateries. Room was good spacious and window opened to the front road side. Comfortable bed and good toiletries in bathroom. One odd thing is the WC is separate from bathroom. Just close to room entrance. Bathroom has cubicle as well the tub. Breakfast is awesome. Fresh orange juice and cut fruits. Omelette of choice. Moroccan bread with usual loafs and cakes. Best to end with Moroccan tea which I found the best in Morocco. We had dinner in the Moroccan restaurant…,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 July 2015,4,Good not great,"Centrally located and rates amongst the better hotels in Casablanca, however, I found it inhospitable, the food was decent and hotel was clean but the staff could do with more customer care skills. The club at the hotel is a complete rip off. Charged me 25 dollars for one drink and I was harassed by dodgy ladies of the night.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 September 2015,4,Still the best hotel in Casa !!!,"Perfect Hotel . And Yes as a hyatt , you could consider it as a little bit old, but the extreme kindness of the entire personnel makes everything more than good !!! A great restaurant and a fantastic location. People always ready to help you and very well managed. I'm a frequent visitor of Casablanca, and I assure that the Hyatt is probavely still the best hotel in Casa, considering all the aspects.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 June 2015,4,Very nice but rooms and gym need refurbishment,Old looking but located right next to the old quarters. Nice staff particularly the concierge. Breakfast was a bit confusing as they always wanted us to go somewhere else. Rooms had great view and insulated from outside noise. Sound proofing between rooms was not so great. The carpets in the rooms needed replacement. Food was ok but there are such amazing options in the city that you should venture out.,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 August 2015,4,Nice hotel,"Old but nice room and conftable bed, good location in the centre of the city, stayed only one night. Did not explore all the facility, reception staff very courteous and helpful. I was told the security staff are rude!! Did not come across such behaviours",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 September 2015,4,Good hotel but..,"Hotel in general is very good as any Hyatt Regency would be expected to be. Rooms are wide enough, clean, and well furnished. Surrounding area is terrifying! I did not feel safe at all. Anyway, this is not the hotel problem. Staff are ok. However, like all many others in these type of cities, everybody seems extra kind aiming extra tips.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 October 2014,5,Fantastic,"The hotel is probably the best in Casablanca. Great staff, great service. Breakfast was very good and staff was caring during the whole stay. Rooms were comfortable and very clean. View from the room was nice...overall, it was a very satisfying family trip!",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 August 2015,5,Staff Appreciation,"To whom it may concern, We recently visited the Hyatt Hotel Casablanca, and we wanted to share our praise for the staff at the hotel. My husband and I arrived on the evening of August 17,2015 for a 2 night stay to celebrate our anniversary. Royal Air Maroc informed me at the airport that my luggage did not arrive, and I was worried that this would spoil what was supposed to be a special night. We were greeted at the front desk by your wonderful personal relations manager Fatima. She not only checked us in smoothly, but after hearing it was our anniversary, she graciously offered us a room on a higher floor with a view. She helped us make special plans by arranging a table for us at Le Relais de Paris, an amazing restaurant on La Corniche. Fatima also helped me do my hair…",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
