 December 2022,4,Holiday in Tanger - Awesome service,"This was our first time stay here, although I did stay at the next door Hilton once before. I must say the staff here were all Supa amazing & gave us a customer deserving treatment of note! They acted on every request and delivered even more than requested. We need to mention the staff at reception that assisted us in making other reservations for us at other hotels and arranging our tours to changing the reservations at this hotel. They made great suggestions for us & made our holiday much more value four our money. Thanks to Lubnah, Wiam & Reda for your help, much appreciated. Our friendly staff at restaurant @ breakfast for taking special care of us, you are Supa stars & have great futures in your industry. We wish you success and climbing the ladders of success in your…",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,hotelName,city
 October 2017,5,Great Customer Service!,"We stayed here for three days and it was fabulous. The staff was awesome! Friendly, professional and pleasant all the time.The breakfast buffet was great. The room had a wonderful view of the ocean and the city. It was a corner room. It is located in a great location close to change money, mall, grocery store in mall, etc. Just a block from the ocean. Taxis easily accessible. I will definitely return to this hotel if I go back to Tangiers.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2017,4,Nice Hotel great Staff,"Stand at the Hilton Garden regularly with work. Also find the hotel comfortable and the room clean. On my last trip thanks to Bovchuc, Wafa and Chafika who kept my room clean and tidy all week. Staff in the restaurateur always friend and happy to help, its a same the al cart menu is not more extensive.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2017,5,"Great Staff, Great Location","I had a great experience at the Hilton Garden Inn. The hotel is in a great location and has a great team working at the hotel. The hotel is first class. I really would like to commend Houda (I hope I spelled her name right) and Mohammed at the Front Desk for their friendliness and professionalism. When I checked in they provided me with excellent customer service and made me feel very welcome to be at their hotel and city. In the restaurant I had a most welcoming and pleasurable experience with three members of that team. Hanane, Nekina, and Admane were wonderful hosts and made me feel right at home. They were very friendly and helpful in helping me to understand the menu and my eating options at the hotel. I had a great meal there based on their recommendations and great…",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2017,5,Recommendable destiny for Business Trips,"The Hotel is very organized and with very professional Staff. Housekeeping is made adequately and all services functioning as expectable. Breakfast is very good and the people are very friendly and full of energy first hour in the morning. Located near a big shopping with a supermarket, this Hotel is perfect for business travellers. No uncorfortable luxuries normaly dedicated to Turism.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2017,5,"Great hotel, lovely personell","The hotel was on a great location, near to the main area and on top of a very convenient shopping mall, right in front of the beach. We´ve felt very welcome since our arrival to the hotel, with the staff continuously looking out for our well being. The breakfast is amazingly fresh and with good variety.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2017,3,Review,"It was a good hotel, wish the internet was little faster. The location of the hotel is good. The view is amazing. Some good restaurants near the hotel. The staff was nice. The internet was slow, i wish it was little faster. The room was very clean. I wish the hilton inn had a rooftop for staff. But the view from the window hotel is great.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2017,5,Nice Experience,"We stayed few days in this hotel. It was a good experience comfortable rooms.good service Hotel staff was very friendly, especially Assia in the Reception and Laila Houskeeping . The hotel is really good.next to cornich and City Center Will defenitily come back.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2017,5,Tangier,Great service and staff. Special thanks to Basma for her hospitality and good manners. Rooms were clean Location is excellent Price is reasonable Breakfast was absolutely fabulous and food was fresh Will definitely visit again,Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2017,5,"Nice, stylish, wel equipped hotel",We stayed 8 nights in this hotel. Nice clean hotel. Housekeeping very good. Staff very polite. Room service is quick and polite. Rooms are very wel designed. A very good stay with wife and kid. The best 4 star hotel in Tanger!!!!,Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2017,5,Very good - highly recommend,"This hotel is located close to the beach and in the ""new"" section of town. There are plenty of restaurants and cafes nearby. There is plenty to see and do here and its not a million miles from the Medina etc. The staff are very helpful and pleasent. The rooms are clean tidy and well sized. This hotel is a great place to base yourslf for a time in Tangier.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2017,5,Best Hilton garden inn,The new Hilton garden inn in Tanger Morocco is the best Hilton garden inn I ever stayed. The place looks so fancy and the stuff are so nice. I want there with my family. we were very happy with the management and all the employees. They are ready for any service we asked for.,Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2017,5,Amazing Stay,"We have spent the best short break in HGI tangier. Jaouad at the time of check in was very professional and Houda did our check out in the best manner. The breakfast experience was excellent, we have been so pampered, I would like to thank the team especially chef Marwan and Samir for the wonderful time.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2017,4,Recommended-Very Good Experience,"I would recommend this hotel for those looking to stay close to the train station- while the area itself is still under development and subject to pickpocketers, our hotel was accommodating, clean and the staff was hospitable. Although when we arrived there was no record of the reservation- I think this was more a function of very last minute booking through Booking.com-regardless when we arrived at 9AM they were able to accommodate us immediately. Also, I was able to book the room for the day rate since we were only staying for 10 hours-which was great! The room itself was modern, clean and comfortable. The breakfast buffet which was included for us was very convenient as we were starving upon arrival- and delicious! The hostess/wait staff were so welcoming- especially our…",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2017,5,Nice and sympathy,"I really like the staff, especially from my maid Fatima Bouzaioli she is professional, friendly and very competent and efficient and above all hard work. The facilities are very nice, warm and comfortable.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2017,2,If you speak English- look elsewhere,"One of my friends in our group was actually the one to book this hotel. We arrived on Sunday and left early on Wednesday morning. We called to have a car pick us up from the airport and bring us to the hotel when we arrived. That was fine, until we were checking in and the gentleman who dropped us off called the hotel from his cell phone outside and the receptionist handed us the phone. They were both trying to sell us camel rides + tours, before we even got upstairs! It was extremely unprofessional and rude for her to have handed us the phone, assuming we wanted to talk to this stranger. The room was very clean and comfortable. The gym is like brand-new, I'm not sure many people use it, but it had exactly what we needed. The front desk staff was just extremely unhelpful the…",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2017,4,Good location,"Stayed here for a a few weeks and it was very good. The location is close to the railway station , to the beach and to a new shopping centre , should shopping/cinemas interest you ! I stayed on the 13th floor and the girl who did the housekeeping there was great, very helpful and did a good job. The hotel does not have a pool or any outside space actually but I think this is the usual for the Garden Inn brand , as they are more a business style place to stay I believe. ( I have stayed in 3 of them before) There is a popular bar area on the ground floor which is a good meeting point. The breakfast buffet was also good , although the food at other times was not so interesting. Likewise the bar menu is limited but ok for a snack. The front desk staff were friendly and…",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2017,5,Great experience would def go again!,"Great service at the front desk and restaurant and all around. Had a little mix up about whether I had to pay at the desk but had already paid online. No big deal though and they fixed it right away. My wife and I and our 3 month old son staid 16th (top) floor in a Deluxe King Room (city view) Beautiful room, clean and modern hotel. Just what you'd expect from a Hilton Only difference between this 4-star and the 5-star Hilton down a little ways is this one doesn't have the pool. Breakfast was great for 120 MAD. Being right next to the Tangier City Center Mall was nice for a small stroll Would definitely come back!",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2017,5,Exceptional service minded staff,Had the best Hilton experience ever. Staff was super nice and service minded. We stayed during my birthday and everyone in staff seemed to know and spoiled us. Very good location right by the beach and in (long) walking distance from city center,Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2017,5,Assesment,"Very good cleaning by Wanda and Khawla ( from House Keeping),all staff are very helpfull and professional,esspecially at reception.I very like return back to Tanger and I am sure that I want to stay at this hotel.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 July 2017,3,"""Housekeeping Service of Ms. Bouzaidi Fatima""","We stayed here for one month and living in 10th floor , Ms. Bouzaidi Fatima was the assigned housekeeping , She's so trustworthy staff , for cleanliness you can rely on it , she cleaned like in her own room . Hope to see her in a higher position .",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2017,3,Good Location but Limited Resources,"I resided at this hotel for about 3 weeks. Location is great. Staff is reasonably nice except the guy who makes the omlette during breakfast. I challenge you to ever make him smile or try to be positively responsive! Food quality is medium and variety is limited. Several times, I witnessed the shortage of more than one of the open buffet items. When guests requested a refill, waiters rarely cared to respond. No Spa, Hammam, or even a swimming pool, which is extremely strange for a hotel in Morocco not to have!",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2017,2,Shocked...!!!,"Hilton Garden Inn Tangier City Center was one of my preferred hotels in the Hilton group. I have without any doubt enjoyed my last stays in the hotel and have shared the same feedback with the management, other Hilton hotels… However, looking at the way my booking has been managed this time it was completely unprofessional! I had to send couple of emails, call the hotel couple of times, send an escalation to the WW Hilton…. In order to get an answer after more than 3 weeks. It seems that the hotel has lost some of the good employees (Mehdi, Hafsa…) and this has impacted the quality of the front office service. I had the intention to extend my stay for one more week but because of that, I have booked in another hotel for the second week of my stay. It’s unfortunate to say that…",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2017,5,House Keeping at this hotel is excellent.,"This hotel is excellent. I enjoyed spending 2 & half weeks in it. Breakfast is amazing and the Wifi is fast and reliable. The location is great as well. The rooms are very clean and the House Keeping are very professional and keep the rooms in Tip Top conditions. Our lady that cleaned the rooms, her name is Warda, she is great and very professional.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2017,3,Average at best,Rooms were clean and quiet. My house keeping service was excellent and was provided by Wafae on 14th floor. Laundry service was awful. It took them 4 days to find my laundry. One of my friend had lost a sock and a shirt. I would not use their laundry service. Breakfast was good. The dining room staff were very nice but the service is slow. I did not eat lunch or dinner there. Exercise room is below average. Location is excellent. Walking distance to Casbah is about 20-25 minutes. Bank with currency exchange and mall are next door.,Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2017,5,Great location for people watching,"Downtown Tangier Great rooms, clean et quiet. Sea view better in 06 rooms than 04 (high wall). We were at 626 and kids at 1504. Small but good gym. Next to the beach but no bikinis and not so clean beach. Walking, seing downtown, old medina, port... Great location ! Close to an excellent italian restaurant Dall Italiano ! Go and have a drink at the Hilton for a view Great breakfast bla ffet with real,y nice staff",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 July 2017,5,Excellent!,"We enjoyed our stay there!The staff was helpful,high quality meals and very spacy and comfortable bedroom.Extra points for the two free bottles of water offered in the room.I would definitely recommend it!",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2017,5,Great Experience!,"The highlight was surely the service provided by the staff (reception, dining area, security, and housekeeping). Too many individuals to thank by name. They all ensured a positive experience for my family. See you next year!",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2017,5,Excellent service - Memorable stay,"My family and I stayed at the Hilton Garden Inn for 2 nights as the starting point in our Morocco trip. And we couldn't have asked for a better start to our holiday. We were made very welcomed and comfortable. The rooms were excellent and the location it self was fabulous with the mall, beach, restaurants just walking distance. The facilities were in excellent condition and the staff at the reception were very helpful. The highlight of our stay was the breakfast. The food was excellent and the service was beyond excellence. Nadin, in particular was one of the best waiters we've had. He was very courteous and pleasant. He made our breakfast a talking point through out the day with his mono-cycle and juggling. He added a new touch to how to serve customers which we really…",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 May 2017,4,Reliable Hilton standard,"Great location, very friendly staff, comfortable rooms exactly as you'd expect from a Garden Inn. However, restaurant service could definitely be improved - many tables that hadn't been cleaned at breakfast and long waits for service at lunch. Menu is ok, but hasn't changed in 6 months. Rooms are clean, functional and well looked after. Lifts are terrible and slow, leaving you with a 5-10min wait at peak times, especially on upper floors. Some issues experienced with fire alarms being set off (likely from smoke from rubbish burning around Tangier). Car parking tight, but was always available. Enjoyable, spacious and friendly staff - thanks!",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 June 2017,4,Superb Staff!! 3 months experience! Almost second home,"The staff was genuinely gentle and helpful and the room just as peaceful and relaxing as i hoping for. credits to Meriem, Oumaima,Houda, Basma, Khalid Tariq, Yasser, at the reception desk who was always smiling and most willing to help. Thanks to housekeepers Khawla Hamdan, Wafae El Yamani, took impeccable care of my room, Nassima from restaurant! Missing many more staff, but thank you all!!",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 July 2017,5,Wonderful location,"New hotel in the center of town . We stayed with family four days. Breakfast was excellent Fairouz, Abdeaziz, hala and the chef made it so personal. They were always helping out and make sure we had great time. The rooms are good size and clean . Our room had partial view of the sea. Walking distance there is mall and many restaurants.Overall it was a plesent stay.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 July 2017,5,Private business RPA,"The service was very good, tidy rooms , and friendly staff, Specially housekeeping supervisor sukaina and tariq, wafa, khawla . There's one thing I'd like to see it improved which is the room service they take long time to serve orders",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2017,5,Great staff all round!,"Very comfy stay at the Hilton garden inn in Tangier. Great staff all around, especially Khaola and Wafae who always had a smile and took impeccable care of my room. Will definatley come again and will recomend!",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2017,4,Hotel very good,"Hotel very good,nice staff (khawala and wafae are the nicest)!clean room,good food!sometimes too much noise from outside! Near by you have a lot of restaurants to go, and the beach(unfortunately is very dirty)",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2017,5,excellent place with amazing staff,"My job forces me to travel a lot and spend 5 days a week in hotels. This hotel is excellent and very impressive. Very clean, takes their customers satisfaction very seriously. It has an amazing view to the ocean and glued to the mall. The highlight of the hotel is the staff who are very accommodating. MERIEM at the reception is so welcoming, she has this sweet soft smile that makes me feel at home every time i come. She always goes out of her way to make sure my stay is as comfortable as possible and shows tremendous care. And to top it all, she calls the room after i get in to make sure I am happy with the room. This is VIP treatment and i greatly appreciate it. I highly recommend this hotel. it is the BEST.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 July 2017,5,Mr. Max.,"Very friendly, good food, house keeping (Bouchra and Warda) help me in everything. The people in Morocco are very friendly. The hotel is very good!We truly recommend this place. I walk near the hotel has restaurants, shopping center and near the beach.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 July 2017,4,To be perfect just needs a swimming pool.,"Very friendly and helpful staff. Good food overall, and close to the beach and shopping mall, but no swimming pool. Does have alcoholic beverages available at the shop and restaurant. Room 618, Khawla Hamdan",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 July 2017,2,Disappointed with Staff. No pool access. West side rooms overlook stagnant pond. Poor internet.,"Disappointed with the staff at the two Hiltons in Tangier, Morocco. Not up to Hilton standards. No pool at the Hilton Garden Inn, but one at the new Hilton around the corner. Part of a large group reservation at both hotels. Told we could use the pool at the other Hilton by our group leader. Refused by the manager of the new Hilton when we walked there (Younice) & policy repeated by the staff at the Garden Inn while we were at the desk in our swimsuits. Not good for customer service. My room view is of a construction site & a stagnant pool out the west side of the hotel. Recommend rooms on the north (beach) & east side for better views. Very challenging internet service made it tough to complete a review.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 July 2017,4,Mr siyam,I stay in this hotel for the second time with my family The service and the quality is great also the location is the best location in tanger We will stay again Thanks for the house keeping lady in floor 5,Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 November 2016,5,Good place,"The hotel is new, nice room also the view it's amazing ! Breakfast was delicious many Morroco choices 😬 Location helps a lot, one bad point this hotel don't have swimming pool 😢 apart from that good hotel to stay 😀",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 July 2017,5,Family vacation overnight stay,"Was very glad to stay at this Hilton property on a short stay in Tangers after a few days in Chefchaoeun. Although it was only for obe night, the location and the high level of service made it worth the extra cost for 2 rooms for our family. The hotel is very classy and elegant with friendly staff and very comfortable rooms. It is right next door to a shopping mall and the Hilton which has a very nice roof top lounge. The hotel is very near a nice sandy beach and the main avenue along the ocean with all the restaurants, bars and cafes. It is also in walking distance to the port and medina area if you like a longer walk. We booked a tour with the hotel for a 2-3 hour drive to take is to all the main tourist spots outside the old part of the city.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 July 2017,5,Excellent Accomodations,"Hotel staff are friendly and accommodating. The bed was comfortable and the decor is soothing. It is a short walk to the Mediterranean. Although construction is active across the street, the rooms are quiet.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 July 2017,5,Very good hotel for Business Trip,"Very near to the train station & to all commodities for Shopping, dinner,... Very nice staff always available & with all the help that you need & a beautiful smile ! Very comfortable furniture & clean rooms. Beautiful view also on ""Tangier Corniche""",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 July 2017,4,Hilton - Garden Inn/ Tangier,"Beautiful hotel, excellent service , great location! Would recommend in a heartbeat!!! rooms very clean & large, breakfast in the morning was very good & the gym is well kept. the price us very reasonable!",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 June 2017,5,Wonderful and perfect stay for ten days.,"We had an excellent stay at the Hilton Garden Inn. It is a perfect location, near the beach, restaurants, and train station. We will fefinitely stay there again. The service was excellent. We had magnificent views of the sea each morning.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 July 2017,5,excelent hotel /room no 920,"ROOM excelent ,clean RECEPTION polite and helpfull personal BREAKFAST AREA kind and ready to satisfy all your needs ,BAR the same excelent personal ;ROOM SERVICE quick and very kind also always calling back asking about the quality of food . EMPLOYEES NAMES: Warda HOUSE KEEPER 9 th FLOOR RECEPTION :Myriam and also her collegue working at the shift but I cannot remember his name .",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 July 2017,5,Great lunch,Enjoyed the bar tremendously. The drinks were great. The sandwiches delicious and the bar staff very helpful and friendly. The hotel was booked so we couldn't get rooms. The hotel is mostly for business.,Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 June 2017,5,room cleaning,about room cleaning it is one of the best hotels i have been in. i have to thanks khawla hamdan for the room cleaning. She is very professional and kind. i will be here for more than 3 weeks and for me that is very important,Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 June 2017,5,Great stay,"Superb stay right from the moment i checked in. Staff were extremely friendly and since it was the Ramadan period when i visited, the property was rather empty, making service even more personable. The view i had from my room of the sea was also to die for. Definitely value for money considering a night only cost 10,000 hiltonhonors points. Will be back if i ever get the chance to.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 June 2017,5,Exceptional service,"This hotel is my ""second house"" for 21 days. I strongly recommend this hotel in Tanger. The best one in the city without a doubt. All the staff is amazing, especially the receptionists and the room service. Special note to the employer Khawla Hamdan that leaves my room always perfect, and helps me with everything I ask her. Everytime that I'll comeback to Tanger I hope to stay at this hotel.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 June 2017,5,Excellent,"The say was excellent , arrival/departure service ok. the location of this property is good. The room is very clean. The restaurant food very tasty. I recommended this hotel for business and family stay",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 June 2017,5,super !!!!!,"Superior hotel and excellent people nice staff and always in a good welcome. The front desk staff is perfect for the room and the hotel is nice and clean. The rooms are nice and with lots of space. Cleaning service was perfect because Miss Kawtar was always there. The supervisor of my floor (3rd floor) Miss Leila Amiri was exceptionally gentle and always smiling ... Congratulations to all staff in the front desc and to the manager I especially thank the girls of my reception and of my ""heart"" Basma, Houda, Chaimae, Oumaima, Meriem, Assia.... I stayed here for 5 days and I would stay for a life with these stuff... I look forward to it,",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 June 2017,5,June 2017,"Excellent hotel. Opposite the beach. Train station 2 minutes walk, taxis everywhere, restaurants everywhere. Shopping Mall next door to hotel. The hotel is in location that allows you to travel very easily to other parts of Tangiers by walking",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 June 2017,5,Great Hotel,"Great hotel, very friendly staff, nice and very clean rooms. Good value for money. Restaurants are great. Good variety for the breakfast, great quality items. A la carte restaurant has a small variety but good quality.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 June 2017,5,Best Hilton Garden Inn Anywhere,The hotel is extremely clean and high quality. The staff couldn't be more friendly and helpful. The restaurant has excellent food and it's a great location. Highly recommended to anyone looking for a place to stay in Tangier.,Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 June 2017,5,Experience at the Hilton garden inn,"The location of the hotel was excellent, coupled with the attentive and overwhelming staff. All staff members were very sharp and knowledgeable. The breakfast was very impressive. Ther was a huge array of food imginable. There was something for everyone",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
