 October 2022,5,"Amazing riad, a must when visiting Morocco","There are no words to describe this amazing riad, or better say magical castle! It is incredibly decorated, both in the common spaces and the rooms. The food is authentic and you can not imagine how delicious it is, both breakfast and dinner! But above all is the warm hospitality that will truly make you feel like you are with family. I highly recommend staying here. There are the cinema studios near by that will make for a great attraction. I know I will be back!!!",hotelName,city
 December 2015,5,Simply the best!,"With my family, we spent 2 nights in Dar Daif before going to the desert, and one additional night in our way back. Usually I’m quite picky as I’m travelling a lot and can easily compare different standards and define the value for money that you can expect. Here, I need to admit that it was simple awesome!!! It’s not a hotel, it’s not a house, it’s a home and the staff make all their best to make you feel that way. Fantastic place full of positive energy, nicely decorated, very comfortable rooms and excellent bath rooms. The food was so delicious that I’m planning to go back to Dar Daif just to enjoy the food . Jean Pierre - the owner – ensure he is engaging with all his host and his is always willing to give plenty of tips depending on which direction you are heading to. He…",Dar_Daif,Ouarzazate
 January 2016,4,Awesome typical Kasbah,"Friendly service and delicious breakfast. We also enjoyed the ""gastronomic"" dinner in the evening (3 courses for 22e/pers) which was the best food we had in Morocco. The view point from the Terrasse is worth to be seen. I definitively would recommend.",Dar_Daif,Ouarzazate
 November 2015,2,"Not all that glitters is gold ,","A whole page in the *Dumont* made us to decide to stay there for 2 nights. The ""Kasbah"" is situated about 5 km from Ouarzazate, so they advise you to book dinner there. At our arrival they turned on the fountain , llike in ""mon oncle"" ,a film by Jacques Tati. The staff is friendly, the rooms are abit gloomy,.The ""Suite"" we were upgraded to,had no window.Anyway the accomodation was quite ok. What was not ok was the food served there. We are eating out a lot in Morocco and appreciate the fine quality of food served in many places. The 22€ diner was a catastrophy for us.For this price you deserve an excellent meal in this country. Their menu contains camel meat or stuffed pigeons, so we decided to have some chicken and lamb. The meat showed some at least 2 times already warmed up…",Dar_Daif,Ouarzazate
 October 2015,5,The warmest of welcomes. Nothing was too much trouble.,"On arrival you knock on a heavy wooden door to be let in to a courtyard full of plants , flowers and water features. The rooms are unusual and quirky, but very comfortable and smell fresh and scented. The beds were a little hard for our tastes. We were given dinner and breakfast by ourselves just outside our room on a terrace.. Both were delicious. Food seemed to be locally sourced and after local recipes. The date jam made in the village was to die for. So friendly. We could not recommend this guesthouse too highly.",Dar_Daif,Ouarzazate
 October 2015,4,Lively stay in this lovely guesthouse,"We stayed twice for one night in this hotel/guesthouse. In between we slept in the desert for a night on a fantastic road, camel and walking trip organised by the hotel (desert et montagne). Upon arrival we were welcomed by friendly staff and a beautiful courtyard with a pool. My teenagers' comment was ""it really makes a change when people are nice to teenagers"" (sadly, true!) The rooms are all different: our first one was up lots of stairs so if this is a problem make sure you say so when booking as all sorts of rooms are available. Our 3 adolescents shared a room and had two lovely rooms. Ours felt a little small but then that's because the kasbah isn't a normal hotel, and ""a room"" can consist of two or three little rooms! Our first room had its own terrace. Certainly all four…",Dar_Daif,Ouarzazate
 September 2015,5,Very comfortable Kasbah,Clear five stars: 1.Very kindly personal 2. very good traditional food 3. amazing rooms and a pool 4. very good location in the near of the palmarias 5. very good cost-effectiveness ratio In sum a clear must when you stay in Maroc. The feeling is like a family.,Dar_Daif,Ouarzazate
 April 2015,5,"Lovely labyrinth of rooms, terraces and lounges","And some of the best welcoming cookies with tea upon arrival. One of the few places we saw in Morocco that can accommodate people with mobility issues. There is a large room on the ground floor that is wheel chair accessible. The dar has been lovingly restored, with eye catching touches throughout. Comfortable, firm beds, wonderful hot water with good water pressure. Dinner was very good and although some people enjoy wandering musicians, one set would've been sufficient. When the musician returned again, it was disruptive to the flow of conversation.",Dar_Daif,Ouarzazate
 July 2015,5,An extraordinary experience,"We had booked the hotel from home without having the slightest idea of what was expecting us. But wow! Like a marvel to enter this kasbah and immediately being upgraded to a small suite with an interior like our best imagination of oriental living, but equipped with the modernities one needs as a traveller. The entire inside of the building is a jigzaw of corridors with antique rugs and furniture, ceramic-tiled staircases, repos, and small private terraces, viewing the flat desert mountains and a lake that is supposedly part of the Date River. The staff was friendly and very helpful, and one servant plus the proprietor were good at English. Obviously, the food, soaps, and tea were ecological, and the whole place showed great environmental efforts. There is little to see and do,…",Dar_Daif,Ouarzazate
 April 2015,2,Not my favorite accommodation in two weeks in Morocco,"Dar Daif was just not a pleasant experience, unlike every other place we stayed. Our driver dropped us there after a long drive from the Sahara, and despite having a reservation, I think we had to sit for about an hour for them to get their act together. Pretty much nobody spoke English with the exception of one person (marginally) who I only saw once at check in. Then, while we were cooling our heels, we were told we had to make a decision on dinner immediately, so I translated the menu from French (lucky I did since there was camel meat hidden in it) and we gave our order. Only to be told that it was too late to order anything but one item on the menu that we weren’t particularly interested in. Like why make us go through all that if there was no choice? I guess one could say…",Dar_Daif,Ouarzazate
 May 2015,5,"More like a quaint, inviting home, than a hotel","Wow. I'd seen a lot during my travels all over Morocco, but I wasn't expecting this. The room I stayed in felt like a mini-palace, with ornate marble and decorations. I don't know if I've ever felt this ""at home"" in a hotel. There were cookies and tea waiting for me on the ""coffee table"" in the living room part of my room. After driving all day from Merzouga, it's just what I needed. Great dinner out on the terrace, while listening to a local musician, who only stopped to hear the far off call to prayer. The far-off look in his eyes when the call began will always stay with me. Here was a man who truly believes. Quite humbling. Breakfast the next morning was just as great. I loved all of the mini-tagine serving and condiment dishes. I was ready to get to Marrakesh,…",Dar_Daif,Ouarzazate
 June 2015,4,Nice Stop Before The Desert,"We stayed for a night at Dar Daif before going on to the desert. The place is nice and very typically decorated with carpets and rugs everywhere. We had a suite which was comfortable, however, the air conditioners did not work properly. We took the hammam service, which was relaxing and very typical. Dinner and breakfast were both very good.",Dar_Daif,Ouarzazate
 June 2015,5,Great stay,"Really nice hotel in an original Traditional building. The place is cosy and nice. Everybody was helpful and kind. We stayed for dinner there, and food was very good. A super funny Berber guitar player entertained us during the meal. We got a lot of help in planning our trips to visit beautiful places. Great place!!!!",Dar_Daif,Ouarzazate
 June 2015,5,Perfect place,"We had dinner here. The place is wonderfull, service is perfect and the menu we had was very well cooked. We are people with high expectations and these expectations were fully fulfilled. This is in our point of view one of those jewels that make your visit to Marocco complete.",Dar_Daif,Ouarzazate
 May 2015,3,Not the perfect stay we were expecting,"Dar Daif was beautiful and accommodated a fine stay, but previous reviews had set our expectations a bit high. Below are the pros and cons of our stay. Pros: Strong wifi (routers in rooms), a beautiful public courtyard and ""terasse"", friendly staff, delicious dinner and breakfast, 1 out of 2 rooms had a beautiful terrace, AC in the rooms, a nice swimming pool, cookies and mint tea waiting upon arrival, and the views from the hotel terraces were fantastic. Cons: Dinner is quite expensive (22 euros/person), breakfast is the same every day, lighting in indoor hallways and rooms is limited (some just went on and off sporadically), most power outlets in room were not functional, no matter how many light switch combos we tried, the staff struggled to accommodate finding us a driver…",Dar_Daif,Ouarzazate
 May 2015,4,Incredible service from lovely staff - just check your bed,"We stayed 2 nights at Dar Daif on our way from Marrakech to the coast. It's a great base for exploring the UNESCO sites of Skoura and Ait Benhaddou. The hotel is impressive, with a delicious breakfast and really helpful staff. Nothing was too much trouble for them. We were unlucky enough to stay in a room which was infested with bed bugs - it's not the hotel's fault but it wasn't a very nice experience as I am allergic to their bites. The hotel manager was very kind and helpful but I just urge future bookers to double check their mattresses before going to bed, you never know where bed bugs are going to turn up!",Dar_Daif,Ouarzazate
 May 2015,5,5 starts!,"This was truly the best property we've stayed on our whole trip. After driving for hours from M'hamid, we were happy to arrive and discover this amazing oasis. Everyone was friendly and welcoming. Once you pass check in, you will be amazed of the inner courtyard, the plants, the swimming pool, the atmosphere. Truly 5 starts facilities. The place is so clean, it smells of fabric softener even outside! The building on its own is very unique, with the terrace and the inner restaurant. Room was lovely decorated, every details well thought of. WiFi was super fast as we had our own router in the room. Complimentary tea followed by room service with some delicious cookies and fruits and nuts. Small things like that really make a difference, something I would always remember and will…",Dar_Daif,Ouarzazate
 April 2015,5,highly recommanded,"A lovely riad in Ouarzazate in Marocco, very unobtrusive from the outside, but a real pearl on the inside, nicely decorated, with lovely food and outstanding service. This little riad, a traditional Maroccan large house turned into a hotel, is highly recommanded.",Dar_Daif,Ouarzazate
 April 2015,5,Fairytale-like castle with excellent service,"This was our favorite place to stay during our trip to Morocco. The kasbah was beautifully decorated, and the staff was excellent. We were served breakfast on the outdoor garden patio; very romantic to look out across the city and see the snow-capped mountains in the back. The value was wonderful, especially since they upgraded us to a larger room with a sitting area which was fantastic. Next time, we'll have to try dinner there, since breakfast was incredible. Can't wait to return! Also, the owner was very helpful and friendly. He chatted with us to make sure we had a good stay, and also to make sure we had the correct directions to drive to Ait Ben Haddou. He also gifted us with homemade fig jam to bring home to NYC! How thoughtful.",Dar_Daif,Ouarzazate
 April 2015,5,Magic moment,"This splendid 'Maison d'Hôtes', just outside the town of Ouazazarte, is a must for any discerning traveller. This old Caravansary has been beautifully restored and the rooms, terraces and courtyards are very attractively arranged. Excellent food and service, and all the staff are very welcoming. An excellent base for visiting this fascinating region.",Dar_Daif,Ouarzazate
 March 2015,5,Quaint cosy hotel,"We stayed for only a night during our recent trip. The check in and going through different levels and rooms before getting into the room seemed confusing at first. But after settling down, I began to appreciate all the little useful details the owner has put into the hotel to make the stay very comfortable. This is also the place I had my tastiest tagines throughout the country. The owner told us he is very active in promoting mountain trekking. I would have stayed longer if I had known, if not for the excellent cuisine too.",Dar_Daif,Ouarzazate
 March 2015,5,Excellent Stay,"I stayed for 1 night in this Riad. I was really surprised. It is an amazing place. Not in the center, but who cares. very nice rooms, excellent food. Obliged to take of you shoes and use a pair of babouches. in ths middle is a small swimming pool.Very eco minded. At arrival receive a mint tea with homemade coockies. 2 fresh oranges. When you leaves they give you a present (homemade marmalade & a bottle of water for the road. Try to book this riad at the end of your stay & you will never forget Morocco. what a pearl. Thank you so much for existing.",Dar_Daif,Ouarzazate
 March 2015,5,No place else on the way to the dessert!,"What an amazing place to stay in Ouarzazate, yes it is not the most central place in Ouarzazate but who actually cares? This place is done with so much love and attention, you just want to adore it. The rooms are cozy, the food is good and the place feels just right and authentic. Never booked a tour with them but I think it would be right choice if you planned one. Open departure they gave us great tips on what roads to take, thanks!",Dar_Daif,Ouarzazate
 February 2015,5,"Excellent and very personal service, I recommend it highly","We stayed there for 2 days with our kids, (15 y.o and 5 y.o) February 27 and 28. We were greeted with peppermint green tea and cookies at 1am. I was surprised to find our car clean and washed the next morning. Breakfast is very healthy and will give you a good start for the day, all organic local products. I loved the date marmalade ""Confiture"" and sirop, the all natural yogurt, the Harsha, Msamen and Baghrir ""Pancake"" and the good service provided all, the owners ""Jean Pierre and Zineb"" and all the staff. I was very impressed by the ""Green"", friendly environmental and ecological approach of the house. Dinner was excellent. The junior suite was roomy enough for all of us, clean and very cozy. I always stayed in 5 star hotels, I am gold member with Marriott, Startwood, etc. but,…",Dar_Daif,Ouarzazate
 January 2015,5,Amazing place ! Maybe paradise !,"What a place! Dar Daif is the place you want to stop in Morocco. Everything is choosen there to be the best and make your experience very unique: Awesome people, place, decor, food, host, hammam, you name it ! Jean Pierre, the owner will take extra good care of you and will help you in the rest of your trip to organize everything at its best ! I highly recommend this place. The rooms are so comfortable, the place so cosy, we even had live music played for us while having diner ! Do not hesitate : it is the stop to make ! Cheers, Thank you Jean Pierre and your team ! Leslie and Olivier",Dar_Daif,Ouarzazate
 December 2014,5,Like a queen at the desert's door,"I recently went for a 1 week walk in the maroccan desert. As my plane was arriving very late at Ourzazate, the owners of Dar Daif sent someone to pick me up at the airport. I was starving as I had to wait for about 4 hours in Casablanca airport. I did not even need to say anything, but when I arrived at Dar Daif, some tea, amazing cake, biscuits and a so tasty salad fruit was waiting for me! Then I was shown the room, which was big, very clean, and really comfy :-). The breakfast was wonderful as well, with yummy local honey and jam, and very good coffee. After the week spent in the desert, I came back to Dar Daif, and the welcome was again incredible! I had the chance to get some skin peeling in the hamman, making me feel fresh and young again! Afterwards, I was given an…",Dar_Daif,Ouarzazate
 November 2014,5,"Very welcoming, delicious moroccan food","Arriving very tired with three little kids it felt like home. The staff were very welcoming offering me a huge pot of lovely moroccan tea and delicious traditional cookies upon arrival. The rooms are spacious and can easily accommodate a family of five like ours. The only difficulty I faced was the shower which was a bit tricky to use to bathe kids. On that night we invited our friends (who stayed at a different hotel) over for dinner. The atmosphere was lovely, the food was delicious and felt like home cooking. All agreed (including the kids) that the dinner was the highlight of our visit to ouarzazate. Upon leaving the owner gave us a book of traditional children tales and a bottle of home made molasses.",Dar_Daif,Ouarzazate
 October 2014,5,Unbelievable,"Sixteen days traveling through Morocco. And when we arrived at Dar Daif through a shadowy back roads and through some small neighborhoods. What a great place, friendly people, Succulent food, beautiful rooms and what a details. Everything was just perfect. Before we left for Marrakech we got from the owner some homemade directions with additional sites on the route. And a delicious pot dadeljam!Too bad we were there just for one night, but if we go to Morocco again, we will sure come by for some more days.",Dar_Daif,Ouarzazate
 September 2014,4,"Quite far from the city, but worth the trip","The riad has a typical Moroccan decoration with lots of carpets. We had a good room, an upgrade in a suite. Nice patio where you can eat well. Not cheap, but worth it. A quiet location with views of palm trees and the city. The travel advice from the owner for the visit of sights along the way to our next destination, we have greatly appreciated. Negative is that the riad is in a kind of suburb from the city. The riad is marked very well the last 2 km when you enter this suburb, but not easy to find coming from the city. Check the air conditioning units before you go to sleep. The two units in our room were switched off and the next day we heard how to turn them on.",Dar_Daif,Ouarzazate
 September 2014,5,First stay,This was an overnight stay but an excellent one. This is probably the best riad we stayed in. We had a suite with a small balcony. Our meals were serve on a lovely patio. Shower was wonderful with lots of water which was hot! Best of all internet connection was excellent all the time Very rare here although great that it is always free. Staff very friendly and helpful.,Dar_Daif,Ouarzazate
 September 2014,4,"interesting, traditionally kept guesthouse","The guesthouse in a kasbah is set a little outside of Ouarzazate. It is filled with traditional decor and small surprises at every turn. The staff was very friendly and helpful. There were very few guests and we were immediately offered an upgrade from a standard room to a suite at no extra charge. The pool was lovely and the hamam looked good, but we didn't stay long enough to try it. The three course meal was good, the portions generous, as was the breakfast. There is a musician who plays at dinner. At the end of our stay, we were also given a goodbye present of date jam from the region.",Dar_Daif,Ouarzazate
 June 2014,5,A very welcoming place to stay!,"Staying in Dar Daif is a really pleasant experience! You feel very welcome the moment you enter the place. We were upgraded to a suite on the third floor: a very spacious room and waking up in the morning you see the sunrise from your bed above a beautiful landscap. The food is delicious and the garden is very pleasant to relax with a lot of shade and a swimmingpool to cool down. The place is situated a little bit out of town but there you will find everything you need to make your stay a very pleasant one: friendly staff, great food and pleasant rooms. The owner is very hospitable. He advised us how to drive to Marrakech via a very scenic route. And we liked it very much. We only stayed one night but if you have more time stay a little longer to experience the hospitalibility…",Dar_Daif,Ouarzazate
 June 2014,5,Quiet and relaxing,The hotel is located in a small village near Ouarzazate. The riad is beautiful inside and the room we were assigned was practically new. The food at the hotel was delicious and everyone was very helpful.,Dar_Daif,Ouarzazate
 April 2014,5,A quaint mansion in the middle of nowhere,"This is the eighth of eleven riad reviews in Morocco, following the Marrakech review, and preceding our stay in Taroudant. Stayed on 30th April, 2014. The riad is not actually in the town of Ouarzazate, but is about twelve kilometres outside, and to reach it one needs to go through a long stretch of unpaved dirt road. If you do not have the use of a car, this is not the place for you. However, most travellers to Ouarzazate are either on the way to Marrakech, Merzouga or the Todra Gorge, so it is inevitable that they have a ride. The mansion is run by Berbers. Once past the main lobby, you are asked to take off your muddy shoes. We didn’t mind. Its multiple levels of rooms, lounges, halls and corridors are cluttered with chairs and sofas, rugs, art and memorabilia that make the…",Dar_Daif,Ouarzazate
 May 2014,1,Gem of bad taste,We stayed at Dar DAIF after reading several positive comments about the place. What a surprise when we arrived and find that we had the worst room of the place covered with dust the floor.! We almost don't fit on the shower. Nobody speak English or Spanish so it was a frustration the intent to communicate. It was really a nightmare!,Dar_Daif,Ouarzazate
 April 2014,5,A gem,"Initially we arrived for a one-night stay on our way from Skoura to Marrakech. We eventuallt stayed one more night and with input from Jean-Pierre (the owner) reviewing our travel itinerary for the next 10 days!! Thank you Jean-Pierre for your excellent advice! Your maps were precise! You guided us to find architectural treasures in off-the beaten track areas which did not require more effort! We experienced many more aspects of this wonderful country because of your experienced in organizing journeys of discovery. Dar Daif' staff is engaging and helpful. You surprised us on numerous occasions: washing our dusty car, offering a box of homemade cookies and water at our departure, providing hand drawn maps for our outings. Not to mention the copious meals, appeasing hammam, great…",Dar_Daif,Ouarzazate
 March 2014,5,unique experience,"we stayed one night on our way to Marrakech; we found it thru a guide after looking at some other locations. It is very intriguing: lots of ups and downs, stairs, memorabilia. The views are incredible and the rooms very cozy. The service was great and the manager (a French) was really nice and helpful in advising us where to go next off the touristic route. We will never forget this experience.",Dar_Daif,Ouarzazate
 February 2014,5,"Fascinating, very authentic.","We stayed one night here on our way from Marrakech to Merzouga and left wishing we could have stayed longer. We arrived in the dark but found it OK although my pre printed google map showed it to be on the left and in fact it's on the right of the road. (a side road a few miles from Quarzazate, make sure you locate on a map beforehand) Fine views of the Atlas mountains from various terraces and sitting areas. Our room was clean and very comfortable. The welcome was warm and friendly with a silver tray of mint tea and cookies brought to our room. The building is old and fascinating. Lots of different levels and old pieces of furniture, rugs, carpets and pictures everywhere. This kasbah seems to be run by a local family who have combined the best of traditional Moroccan…",Dar_Daif,Ouarzazate
 January 2014,4,Great service,"A friend and I spent one night in Dar Daif in January, 2014, on our way from Merzouga to Marrakech. We both have some physical limitations, so had asked for a ground floor room, which they gave us. We arrived quite late at night and knowing that would be the case, had had our tour company order dinner. The dining area is on the second floor, so the staff set up a table in our room and served us a five-course meal in our room. Fabulous service, and we didn't have to ask for it! The same service was provided for breakfast. And we were only there one night. The room (actually a large one and a small one as one) was quite satisfactory, although a bit chilly. The service was what was so special.",Dar_Daif,Ouarzazate
 November 2013,5,Very nice,"We only spenty one night here but enjoyed it a lot. The house is very nice. Rooms are big and clean, hammam is very pleasant (and free !) and staff very helpful and gave us good tips for the continuation of our trip. Having breakfast on the terrace is also something incredible. A must in Ouarzazate",Dar_Daif,Ouarzazate
 October 2013,5,A gem,"We spent three nights at Dar Daif; exploring the Draa Valley area. This boutique hotel is in a somewhat surprising location, outside of Ouarzazate, but once you enter the high wooden gates, it is a world of its own. Superbly restored, in an authentic style, this riad offers memorable dinners, profound peace, and a very knowledgeable staff. The well stocked library is a bonus; as well as the gardens and roomy terraces . Jean Pierre, the owner, is extremely helpful and knows how to explore the real Morocco. Quite a treat!",Dar_Daif,Ouarzazate
 October 2013,5,beautiful setting!,"Dar Deif is a very nice boutique hotel around 10 km away from Ouarzazate down-town. Based on the map provided by the mail it's easy to find with your own car. The setting is beautiful - located almost at the end of the road the view in front of the hotel is the vast green patch of palm trees and fields, which spread around a small rice in the south of Ouarzazate basically covering the whole view from west to east. Behind, the city, which has become quite lovely in recent years with it own majestic setting in front of the high Atlas Mountains. Due to the altitude of roughly 1200 m, the air is fresh and crisp. The staff of the hotel is very friendly and attentive. The rooms are very comfortable and nicely decorated in a typical Moroccan country house style, which fits very well…",Dar_Daif,Ouarzazate
 October 2013,5,"Beautiful place, dinner and service","We spent only one night in Dar Daif but it was one of the most memorable, particularly the dinner. It's a compulsory 20 Euro/person meal but totally worth it. Somewhat different from the typical Moroccan dinners with a tasty twist (e.g., spiced carrot salad, date ice cream). It was a beautiful setting - definitely worth it, especially if you then plan to drive south towards M'Hamid. Also, Jean Pierre, the owner, was lovely and super helpful with informing the rest of our trip.",Dar_Daif,Ouarzazate
 August 2013,5,Wonderful relaxing place - full of character and great views,"We booked into Dar Daif via booking.com for four nights. On arrival we were greeted with a refreshing round of mint tea and biscuits and a lovely induction from the proprietor Jean Pere. The location - outside Ouarzarzate so you would need to have a car or be prepared to get transfers from the airport. We loved the peace and quiet of the surroundings. It's right on the edge of the palmeraie so you can get a great view from the many balconies an watch the world go by. The breakfast - was the same every day and this would be my on,y point of feedback. Sme variation would have been nice. It was lovely - beghrir pancakes, m'laoui pancakes, polenta pancakes, plenty of jams, honey and juice, yoghurt, tea or coffee but some variation would have been welcome. The dinner -…",Dar_Daif,Ouarzazate
 August 2013,4,Wonderful house full of surprises with decent rooms,"This house is not your typical riad, but feels rather like a family home (you are required to take your shoes off in the main house). The common area is full of little decorative details, which provide a unique ambiance. Dinner and breakfast is served in the garden or on one of the many intimate terraces - while other guests and the hosts are present, the secluded spaces offer a very private setting. The most exceptional feature of the Dar are its surprising corners, terraces and sitting spaces, which invite you to spend time exploring them and relaxing. Our room (junior suite) was spacious and homely, while not being extravagant (e.g. very clean and cosy, but rather simply furnished). You are welcomed with fruits, dried figues and nuts in your room and the hospitality of all…",Dar_Daif,Ouarzazate
 July 2012,5,Magical place,"The place is fantastic with ver nice and professional staff. We had dinner in a private balcony, every guest has dinner alone at a diferentt balcony, with very beutifull view, very good tradicional food and tradicional music, very good place to make a stop.",Dar_Daif,Ouarzazate
 June 2013,5,What a treat!,"We arrived at Dar Daif almost by accident (it was mentioned in our Guide Routard), but what a great surprise... It's location may be a bit unusual, but once you pass that big gate you're in for a treat. Friendly staff, great service with attention to detail, charming rooms, truly excellent dinner, very nice atmosphere ... we couldn't find a single negative point, should have stayed longer. Because of the low season, we also received a free upgrade to a nicer room. (we hadn't even asked for it)",Dar_Daif,Ouarzazate
 October 2012,5,A Pearl at the doorstep of the desert,"Dar Daif is located at the outskirts of Ouarzazate. As so often in the region, the appearance from the outside reveals nothing about the beautiful place this is, so don't be afraid if you arrive late in the evening and are put back by the somewhat shabby appearance of the surroundings. The place, as I understand, used to be a Kasbah (the word has a number of similar meanings, in this case the fortified home of a local chief), and has been remodeled into a hotel. The look is very local, attempting to recreate the ambience of a caravan relay post (caravansérail), with lots of wood, carpets, a dimmed and quiet atmosphere. You will surely dive into another world for the duration of your stay, but if you prefer and expect the modern, cool design of the fashionable moroccan hotels…",Dar_Daif,Ouarzazate
 April 2013,5,Charming Riad,"After our trip to the desert our guide took us to a riad which we didnt like at all... We searched another riad in the internet, and read about the excellent reviews on Dar Daif in tripadvisor. We went to the door, were greeted with a very warm welcome... When you enter the riad, you enter into a different world... It has a beautiful courtyard and traditionally decorated, comfortable rooms. The staff is always helpful and cheerful... We chose a beautiful room on the courtyard and we had our dinner and breakfast just in front of our room... It is so nice to hear birds singing when you are having your breakfast... I wish we could have stayed longer... I would sincerely recommend dar daif...",Dar_Daif,Ouarzazate
 December 2012,5,"Peace, Quiet and Great Internet","This was on of several riads I stayed at on a 10 day trip to Morocco--and I stayed here twice. The rooms are very comfortable, very clean and have great internet access. They also have really good reading lamps, which was rare. Hot water was plentiful. There is no TV--great! The food was good, I had both breakfast and dinner at the hotel--which is well away from the town so going anywhere was not easy--and made for a quiet location. The gardens are beautiful. There is no alcohol at the hotel, but you can bring your own. The only small complaint I have is the musician was a bit overbearing--all through kindness but it was too much like the mariachi band at a mexican restaurant. He did finally leave us to our conversation. John Pierre, the owner is very helpful in…",Dar_Daif,Ouarzazate
 October 2012,5,I Wish We'd Had Longer Here!,"We booked this place on the advice of our booking agents (Naturally Morocco). From the minute we entered through the large wooden door from the street it felt like being in paradise! What a stunningly beautiful property this is. The decor is 'traditional' and absolutely amazing. We'd chosen to upgrade to a Junior Suite, and ended up with a very nice room (No.20) with plenty of space and superb views from our own private terrace. Jean Pierre, Zineb, and all the staff were extremely helpful and gracious. There were some very nice touches - like being given a large bottle of water when arriving each evening and when departing each morning. If you're a bird lover, Dar Daif is for you. On our first morning we took a stroll to the reservoir, led by a member of Dar Daif's team. The…",Dar_Daif,Ouarzazate
 October 2012,5,Hidden Gem,"We found the Dar Daif when driving back from the desert. I started to get late and we needed to find some where to stay. As with a lot of places in morocco the outside looks ......not very inviting! Once through the doors it is like entering another world. A quiet courtyard garden and good views. The evening meal was good and we were played to by local musician who managed to get a tune out of the four stringed ""broomhandle and bowl"" not sure what they call it, but he was brilliantly enthusiastic. The staff were friendly and this is a good place to stay. It is a bit of a miander down the back street to find it but it you ask a local they all know where it is.",Dar_Daif,Ouarzazate
 September 2012,5,Lonely kashbah,"We had à verhaal pleasant stay for ons nicht at dar daif. Warm welcome, delicious dinner. The room was Nice and clean. When we left Jean Pierre THE owner gave us some great tips for off road trip through dades vallee.",Dar_Daif,Ouarzazate
 June 2011,5,Unforgettable week,"I can never forget this place, very warm and welcoming riad, we were in summer, beautiful room with beautiful fourniture and artisanat , during the day, you can have a swim, and later a hammam. I can never forget the food: 100% bio, We did not get to be bored, no TV, eating having some rest reading, swimming...You can ask for any thing you want, you will get it with a nice smile. Very clean, the smell of the rooms and also the library with interesting books to reads. Bravo J Pierre I want to go back",Dar_Daif,Ouarzazate
 December 2011,5,Dar Daif and desert adventure,"Four days in the Sahara folded into a Dar Daif envelope -- a package so close to perfection the only criticism I can muster is chipped cups at the Dar and sub zero temperatures night and morning in the dunes. But we expected the latter and forgave the former because the rest fulfilled our R&R dreams like no previous holiday. We are middle aged and appreciative of creature comforts offered by an impeccably managed, elegantly presented and brilliantly located Moroccan guest house. A few kilometres from the outskirts of Ouarzazate, Dar Daif is a short stroll from the shores of Lake Ouarzazate -- a RAMSAR designated wetland, teeming with birdlife. An ornithological delight -- we sat for hours in pleasant winter sunshine gazing through our ""jumelles"" at hundreds of cormorants and …",Dar_Daif,Ouarzazate
 December 2011,4,Charming riad with very good food,"Once you get past the union banner across the street (only relevant if you speak Frency), this is a charming riad with a pleasant courtyard, stairs going off to several different levels. As we had 4 rooms for our party, there was a good amount of up and down during our stay getting to and from the different rooms. Some of the rooms were quite large, with sufficient room for parents and two children. Our room was off the dining room, which was a bit strange in the evening as we had to stand at the nearby table while inserting the key in the door! The food was fantastic, both dinner and breakfast. As there is an opening to the sky from the courtyard, we had a few birds watching us during breakfast; they seemed to enjoy the food as well!",Dar_Daif,Ouarzazate
 September 2011,3,Shabby Chic,"Starting with the good points, the food here was amazing, really, really good. The staff were also lovely and the courtyard area was beautfiul. Slight niggles were the fact that a bird was flying around our landing for the entire duration of our staying, coming into our room on a couple of occasions, I know it's Morocco and not London but I was a little freaked eating breakfast inside with a bird flapping near by. Not to mention the bird muck that was on numerous cushions etc. Only other small point was that the restaurant doesn't serve alcohol, they're happy for you to bring your own, which we didn't know about until we arrived. The interior is full of rugs, cushions and candles which I'm sure make this place very cosy in the winter, no major issues, just not really our cup…",Dar_Daif,Ouarzazate
 May 2011,4,Nice Hotel but chose your room wisely!,"We stayed at the Dar Daif for 3 nights. We used Ouarzazate as a base for many excursions in the beautiful surrounding areas. First impressions were good (despite the unions demonstrators and banners outside), the hotel is on different levels and it has been well renovated, respecting the character of the Kasbah. The swimingpool is small but nice, the communal rooms are in traditional style and we liked the general feel of the place. The room we picked was quite cheap (EUR45) so we did not expect a lot, however it wasn't just small, terrible shower and in need of 'freshen up' but it had no external windows! I think they should clearly state that in their internet site. We would have liked to change room, but first there was no free room for the all length of the stay, and second…",Dar_Daif,Ouarzazate
 December 2010,5,Beautiful scenery,"This was a charming place to stay in Ouarzazate. There is a peaceful courtyard in the center and the inside of this large guesthouse had a very authentic feel. We were given a nice, cozy room that was clean and had comfortable beds. We were very close to the dining room which served an excellent dinner. We were only staying one night here and unfortunately I had an upset tummy from something I had eaten hours before we arrived. The staff felt bad for me and tried to give me light foods like yogurt. Even though I was having tummy problems, I could not resist to try their dinner. It was so tasty and the lamb melted in your mouth. The food quality was very high. Breakfast was nice the next morning because we sat right by the window which offered stunning views of the…",Dar_Daif,Ouarzazate
