 January 2023,5,Lovely winter sun holiday at a great hotel,"We have just returned from Founty beach. We had a lovely 9 days. The hotel is by an amazing beach. The food was great. There is plenty of choice. When reviews have talked about repetition I would say there is so much choice repetition doesn't matter. Soups, meat, salads, fish, cheese, pasta, fresh vegetables and lots of fruit and desserts. Kids get their own food station. Room was large. Rooms face north and south so request a south facing sunny room. We had a basic room which was on the sunny side and had a side seaview but did overlook a derelict hotel. But we had a sunset every evening. The best rooms are pool / garden/ sea view with sun. The pool area and pool bar is lovely. Late breakfast and lunch at the pool bar is a nice touch. The entertainment team work hard. We…",hotelName,city,Unnamed: 6
 February 2020,4,Founty Beach- Agadir,"Our base for a weeks golfing holiday. Ideal hotel for your golfing and relaxing needs. Spotlessly clean, and had been upgraded since last visit 3 years ago. has the biggest outdoor heated pool I've ever been in at a hotel",Iberostar_Founty_Beach,Agadir,
 February 2020,5,Liked everything about it,HUGE hotel right on the beach with very large pool(s) area and activities galore. Seemed to be a lot of European families on longer vacations. Very nice large rooms with balconies. Extensive breakfast and dinner buffets. Good for walking along the oceanfront. Clean. Quiet.,Iberostar_Founty_Beach,Agadir,
 December 2019,4,This is a very nice resort hotel,"This is an amazing and beautiful resort hotel in all aspects. The campus itself is well landscaped and fully facilitated. It has a direct access to the beach and the well maintained Seafront Promenade. It takes about 15 minutes very pleasant walk to the main commercial area from the hotel. And it feels safe even at night. The rooms are very spacious, and nicely furnished. The included breakfast is nothing less than first class, with lots of food stations with plenty of choices.",Iberostar_Founty_Beach,Agadir,
 February 2020,5,Large family hotel on the beach,"This is a great hotel which seemed to cater to European tourist groups. We never saw an American anywhere. Long corridors to many rooms. Rooms comfortable and large, all rooms seemed to have nice balconies overlooking the pool and beach, and balconies large enough to sit outside. Dining room was really huge, modern, and great food designed for everyone. Easy walking to many beachside restaurants.",Iberostar_Founty_Beach,Agadir,
 February 2020,4,Good hotel for a relaxing sun holiday,The hotel is located in a nice part of a Founty Beach and is quiet. The gardens and public areas were all kept spotless. There is a lovely pool area with plenty of sun loungers and space and had access to its own beach area. The rooms are very spacious and clean and we had a fabulous view from our balcony of the beach and the pool. There is good quality food and plenty of drinks with a great choice available. The staff were friendly and efficient. There was never a queue for the buffet restaurant. Would recommend for a relaxing and chilled out sun holiday.,Iberostar_Founty_Beach,Agadir,
 February 2020,4,Lovely Hotel,"Had a lovely 7 days at the Iberostar. Amazing entrance as you come in - high ceilings and Moroccan feel. Room mostly clean - beds comfy. First night was very hot (unusually 30degrees!) and then we discovered the air con isn’t on at this time of the year. I requested a fan but seems like they don’t have enough to go around! Further nights we opened the balcony door and it was ok as the nights really cool down. Bathroom has shower gel, shampoo, conditioner and body lotion. All in refillable wall containers. Hotel is quite environmentally friendly - no straws and glass bottles for water which you can freely get from the bar. Hairdryer in the bathroom and small drying rack on the balcony. Pool area nice. One heated pool and one cold pool. Plenty of sun beds. You need to pay…",Iberostar_Founty_Beach,Agadir,
 February 2020,4,"A break away from the british weather, plenty sunshine & great food selection","Nice break away at Founty, didnt realise it was the school week so was a bit busy & noisy for us but it is a resort so still enjoyed our week. The towels left down at the pool in the morning is ridiculous & more like a Benidorm pool, there were 2 towels laid down next to us to claim the loungers when we got there but it was 5 hours before the couple appeared! so most days we just went to the beach as luckily the hotel is in a good location so was a bit quieter down there & more chance of finding loungers. We'd of booked an excursion but the paperwork that came through the door was all in french so we didnt bother as didnt understand it so just got a taxi & did our own thing. The spa was expensive but worth it as we enjoyed our treatments. They wanted cash though rather than card…",Iberostar_Founty_Beach,Agadir,
 February 2020,5,A welcome sun break from the English winter!,"We last visited the Iberostar in 2017 and, going back, we wondered if it would be as good as we remembered. Fortunately, our experience this time was if anything, better than before. The hotel had a major renovation in 2018 and we were fortunate enough to be in one of the updated rooms with a super walk-in shower in the bathroom. However, the accommodation is not what sets this Iberostar apart from other sunshine holiday hotels. It is the staff who make the difference here. Firstly, there are so many of them (including the “unsung heroes” like cleaners, laundry and kitchen staff) and they really go out of their way to be friendly and helpful to the guests. Our special thanks go to the reception staff who sorted out our return transfer after our outward taxi had failed to meet us…",Iberostar_Founty_Beach,Agadir,
 February 2020,5,A superb family break,Just returned from a half term break at founty beach and was really impressed with the hotel. The all inclusive was superb food was plentiful cooked to a good standard and they mixed the afternoon snacks and evening meals up the kids loved it . The kids club made our kids very welcoming especially as they where having to deal with a whole of nationalities. Nothing seemed too much effort and the place has security so you can relax in the knowledge no one can just wander in and I noticed security where doing there job as a few older children tried to wander out to the beachfront but where stopped from doing this. The evening entertainment was very good and the staff work hard to make sure they keep the whole family entertained. Thumbs up to the cleaners who came in every day…,Iberostar_Founty_Beach,Agadir,
 February 2020,5,2 Day Sunshine Break,"My partner and I are on our way home from a wonderful 2 day stay at the Iberostar. Simply put, we could not fault this hotel in any way. The hotel is 20 mins from the airport. Check in was straightforward. The room was well appointed, spacious and clean. The all inclusive food offering all day was exceptional. The pools and gardens were immaculate. All staff were courteous and friendly. Tips: - When leaving the airport, if anyone picks up your case and carries it to the other side of the road (10 paces) it’ll cost you $30 MAD - Taxi to/from the airport (White) $220 MAD - Taxi into Agadir (Orange) $20MAD - Beach is vast and clean, but not for swimming in (certainly not in Feb) We would thoroughly recommend, and will be returning. This is the perfect place to catch some sun,…",Iberostar_Founty_Beach,Agadir,
 February 2020,5,Fantastic Holiday,"Amazing hotel, all the staff are fantastic from the cleaners to bar staff and receptionist, the food is unbelievable so much variety and choice, the entertainment team are so friendly always cheery. We booked a 2 hr spa which was awsome. The highlight was the attention to detail on valentines day each room had rose petals on bed and chocolates everywhere was decorated and there was an invitation to a cocktail party with canapés, each table was decorated and set with romantic candles there was a violinest and the food was all themed, we came back saturday and have already rebooked for may this year. An outstanding hotel",Iberostar_Founty_Beach,Agadir,
 February 2020,3,Wifi doesn’t work,"Very nice hotel, but the lousy wifi, which is a necessity in today’s world, turned down the experience. Seagulls in the swimming pool didn’t invite you to swim. Staff was very polite and helpful. Food was also good.",Iberostar_Founty_Beach,Agadir,
 February 2020,4,A good hotel with good service,"Our group was 2 adults and one 12 year old and we took all inclusive package. The hotel stuff was very friendly and helpful. We came to hotel early and also wanted to do room upgrade in the hotel. They gave the upgrade for free and even our room wasn’t ready they gave us braclets so we had change to eat lunch and got some drinks. The food was good and they made gluten free pasta, pizza and bread for those who need that. There was a lot of choices in every meal. The pools are okay and a very big plus for that they have heated pool outside! Our room was okay and big enough for three ladies. There is lot of entertainments during the day for example zumba, ping pong, archery, tennis and lot of plays for little ones. They also have entertainment shows in every night, but those wasn’t…",Iberostar_Founty_Beach,Agadir,
 February 2020,5,Very nice hotel,"We really enjoyed our stay at the hotel. It was big and clean and plenty of good food. The wine was lovely and my husband liked the beer. What made the holiday for us though were the entertainment staff. They are very persuasive to have you come play games with them but we were so glad we did as we had so much fun. We played the darts games each day, they made it all such fun. Then in the evening they were there getting people up to dance. They are chatty and knew us all by name. Can't commend them enough",Iberostar_Founty_Beach,Agadir,
 January 2020,3,Wouldn’t revisit,"A nice hotel but we wouldn’t return or recommend The food was plentiful & excellent quality. Restaurant staff were friendly & helpful apart from the omelette man who never smiled. Bar staff were friendly & served decent alcohol. The room was nice but with a view of the road while better pool view rooms remained empty. There were no tea making facilities in the room but there was fridge? If, like me, you need a coffee first thing you have to go to the restaurant (quite a trek) & by the time you’ve got back to your room with it it’s cold. There’s no public transport & not much to do locally. A lot of people walk up & down the promenade which is nice but not for every day? We got a taxi to the Souk which was fun but the same as you see in any market abroad. The evening…",Iberostar_Founty_Beach,Agadir,
 January 2020,4,Iberostar,Iberostar has a very nice front of the beach. The buffet is very nice. The service was really good and the service was good. The rooms are well entertained. I really recommande it for those who comes to Agadir,Iberostar_Founty_Beach,Agadir,
 January 2020,5,Un found paradise,"Food excellent, enjoyed the entertainment. Entertainment team. Toufik from the animation team was extremely helpful and friendly. Well kept gardens, very clean. Beautiful views. Would definitely consider coming back.",Iberostar_Founty_Beach,Agadir,
 December 2019,5,Great hotel- great staff!,"Absolutely everything great!! Food very delicious 😋. Rooms cleaned perfectly 👌👌👌 , staff very friendly :) . Just one thought, I think that bigger swimming pool should be heated. Definitely we will be back again in December 😀😀😀",Iberostar_Founty_Beach,Agadir,
 January 2020,5,This is our 6th visit to this hotel.....,"So, this is my husband and I's 6th visit to this lovely hotel, which should in itself tell you how good it is. Only got back last night but I feel that I must share with you how fantastic it actually is once again. When I look at some of the negative reviews people leave about this hotel I cannot believe what they expect! We were upgraded to a ocean view room and on arrival we had a bottle of champagne and rose petals on the bed (the beds are actually huge and sooo comfortable). The food is varied and plentiful starting with breakfast in the restaurant, mini breakfast at the pool bar, lunch, pancakes & doughnuts for tea followed by dinner. No matter how fussy an eater you are there is always something you can eat. The breakfasts are amazing & cater for all nationalities and…",Iberostar_Founty_Beach,Agadir,
 February 2019,3,Expected more from a European hotel chain,"Stayed here alone with my 3 year old. Facilities and hotel site are ok but the customer service is seriously lacking, Was very disappointing for such an expensive European chain of hotels. Asked for a cup of tea to take to my room one evening and whilst the bar staff served me my cup of tea they refused to help me to my room with a pushchair and child in tow. So having to navigate my way back to our room, through doors and corridors, I got back to the hotel room to have only 1/3 of a cup of tea left in the cup. Struggles continued throughout our stay with opening doors, up and down stairs with pushchair, toddler and day bags. Staff just looked on in oblivion. Breakfast - staff again looked on in oblivion. Trying to secure a table, park pushchair and belongings and go to the…",Iberostar_Founty_Beach,Agadir,
 January 2020,5,Great hotel,"Had a wonderful week, weather here was great, staff friendly and helpful, especially Mery and the rest of the entertainment team. Entertsined by a beautiful Belly dancer and fore eaters. The Food was superb.",Iberostar_Founty_Beach,Agadir,
 January 2020,5,Paul Jordan,Can’t praise the staff and service at this hotel enough. Location is superb literally on the beach. Food was excellent. I could go on and on. Only one possible draw back if you had a room above the evening entertainment I can imagine it would be loud.,Iberostar_Founty_Beach,Agadir,
 December 2019,4,All Inclusive family friendly and easy,"The resort is small but very nice. The staff go above and beyond to help and entertain guests. They even go around the pool area asking for feedback which is simply unheard of. The all inclusive meals were wonderful, decent variety but we only stayed 4 days so I can see how it can get old if we stayed longer. The location was perfect with access to the beach and promendade. We recommend this resort and would surely come back in the future.",Iberostar_Founty_Beach,Agadir,
 December 2019,3,5 nights over New Year. Useful as a base for a golf holiday but not a destination hotel,"Room 1161, sea view (worth the extra), a long way from reception. Spacious, clean, quite basic but very comfortable and quiet. Dinner was a buffet in the huge restaurant; generally very good food, especially the Moroccan dishes each night. NYE buffet excellent. The hotel's resident entertainment troupe was enthusiastic but aimed at youngsters and younger adults, not my taste. NYE offered a good singer in the bar and dancing, but no real NYE party atmosphere. Staff friendly and good; most speak at least some English. Easy access to the very long promenade and beautiful beach. Irritatingly the Antares Moroccan restaurant was closed during our stay and the safes in the rooms were programmed not to work (there was a safe in reception, available at 3 euros a day but…",Iberostar_Founty_Beach,Agadir,
 February 2019,5,superb winter sun break,"I have stayed here 3 times and I'm going back next week. It's not as expensive as many of the very top tier resorts (5* as supposed to 4*), but has many of the same standards. Refurbed I think in 2018. Food is very good, good cocktails (especially with a small tip). Bar staff in particular lovely. poolside bar and food area during day. Great view from terrace, one of 2 pools is heated. Downsides? The concrete walls can make it a bit noisy in the morning with cleaners and the poolside toilets needed looked after a bit better. wifi is a bit patchy. These are small things. Overall, a superb hotel and excellent value. Looking forward to my 4th trip.",Iberostar_Founty_Beach,Agadir,
 May 2019,4,Cultural Baecation!,A lovely stay. I really like the Iberostar chain . The staff were amazing by the way and the hotel is right by the beach! I uploaded a video on Youtube including a Hotel tour and review So feel free to check it out there for a more detailed review (I can't post a link on here so just type this in on youtube below ) Iberostar Founty Beach Morocco Hotel Tour & Review By Affordableme123,Iberostar_Founty_Beach,Agadir,
 December 2019,5,Very clean and friendly hotel,"One from the best hotels, we have ever been .Very clean all area, very friendly staff , new rooms and restaurant , they clean also outside area very well , heated pool outside. Very good meal, fresh juice and chocolate fountain for children every day . Nice location and they are environment friendly - no plastic at the hotel , only water in glass .First time in Marocco and very good impression . All people in Marocco mostly helpfull and nice, no problem to make trips around the Agadir also by yourself , top is Croco park - also in best condition ( entrance 7.5 EUR per person ) . All area for tourist are clean and very modern , they clean also the beach .Marocco and people stayed in our heart , we will come back ...",Iberostar_Founty_Beach,Agadir,
 December 2019,5,Amazing place to stay,"Highly recommended. It is my fifth time staying there. Do I need to say more? Agadir is under 4 hours flight, from European countries, which are now paralysed by the cold. I arrived a week ago on 14th December. The flight was on time. The taxi was waiting for me and half an hour later, I was in the hotel. Painless. The weather (24-28) degrees, the rooms, the food and entertainment have been amazing. Above all, the swimming pools (3) are kept clean and safe by 4 very efficient lifeguards. A big THANK YOU guys, for keeping us safe. Every day around 18:30, like Swiss Clock, the sun falls into the sea. Every day. It is mesmerising. People cannot help, but stop and watch. The most beautiful sight. The beach itself, is a sight to see, miles long, clean and yes, oriented West.…",Iberostar_Founty_Beach,Agadir,
 December 2019,1,Gluten free lie!,"This hotel is not gluten free, you have the possibility to ask for a gluten free menu but is is not right, it is a lie. They need to work on this, this is important for the guests, you are playing with people's heath!",Iberostar_Founty_Beach,Agadir,
 December 2019,2,Not for families,"Went to this resort for 2 weeks. The worst resort ever, there was builing work being done under our room so it was amazing being woken up at 8am with loud banging noise. The chicken in the restaurant was always under cooked so if you want food poisoning this is the place. The reception staff are the most rudest and unhelpful staff I have ever met. On the plus side great views and nice entertainment staff. Not one for a family especially if you have kids. This is a no no resort",Iberostar_Founty_Beach,Agadir,
 December 2019,5,Amazing,"We had an amazing experience starting with the hotel which is very nice, modern and clean, excellent food-everything you want from local food, salads, all types of meat and seafood, soups and main courses, really everything you could possible want and all kind of dessert. Again about the drinks-cocktails, wine at discretion, soft and alcoholic drinks, served by a very friendly staff, not to forget the snack bar which again was amazing. We used the spa too and again all the service was 5 stars from staff to procedures and the animation tea was great. All in once we had a great time and we definitely recommend this hotel to everybody who wants to spend a great time in a splendid and friendly hotel with really good food and drink.",Iberostar_Founty_Beach,Agadir,
 December 2019,2,Not what we expected,"This was our first time in agadir but we stayed in iberostar in marrakech before and had an amazing experience so we thought iberostar agadir would be similar experience. I will start with negatives and then positives. Negatives We arrived at hotel and was taken to the junior suite, however this was not the room I was promised before making the booking so we had to wait for the room I was promised to be ready before we could actually move into the room this took around an hour or so. When we finally moved into our room we noticed the heating was not working we asked for an engineer to have a look, he had a look and said that the heating had to be prepared but not now as it was late in the night. So we slept in cold room without heating. The engineer came next day after I…",Iberostar_Founty_Beach,Agadir,
 October 2019,5,"Nice Hotel, impressive from the start","Having visited with my friend and my 3 Yr old son, I was impressed with the service received throughout the hotel from animations team, to caterers to reception, bar etc. The hotel grounds were nice and inviting, nice child's play area towards the back end of the hotel and with us being All inclusive, their was a huge variety of food and drink that you just don't know where to start. Towels were changed every day, cleaners, staff all very friendly. Nice view from outside the main canteen overlooking the poolside and the huge garden. Very peaceful and very family friendly hotel. I would definitely stay here again as everything was spot on. Thankyou",Iberostar_Founty_Beach,Agadir,
 November 2019,4,Really Good Hotel,"Lovely beach location. We both had a hammam and massage which was brilliant, just make sure you know what you are getting when you book. Such a shame the indoor pool was only open between 12 and 2. I would have done the aqua-aerobics every day but we were always doing something else at that time. The animation team were great especially Ash and Jo, hope you qualify Ash in animation. One big downside was the deposit on towels and safe. We were promised it back in sterling so had just cashed more money and were left with 500 dirhams. We thought we would spend that on duty free at the airport but found we could only buy moroccan goods. We ended up with very expensive chocolate dates. TIP... if you have any euros do take them as French is more popular than sterling.",Iberostar_Founty_Beach,Agadir,
 November 2019,5,Lovely friendly hotel,"Went one week with Friendship Travel singles holidays, hotel is friendly, the Morroccan people are so lovely and respectful, spotless clean, food was ample and excellent, rooms are nice and large and there is an outdoor heated swimming pool",Iberostar_Founty_Beach,Agadir,
 August 2019,5,The hotel is amazing thanks to Rony and Mimo!,"Amazing hotel, very clean, with great selection of food and drink. What makes the hotel truly stand out from others is the staff and the level of customer service! The entertainment team was AMAZING! The guys do their job in the way that you don’t see them working, you think they are your friends and they are chilling with you! Many thanks to RONY and MIMO , who are the real stars of the hotel! ⭐️⭐️They were looking after everybody, making us feel that we are very welcome and appreciated here. The hotel is very big and there is a lot of guests but the guys makes everybody and every each feel special and like real VIP! Thank you once again! 👌🏻👌🏻definitely will recommend!",Iberostar_Founty_Beach,Agadir,
 December 2019,3,Very average not 4 star for sure,The hotel generally have seen the better days. Kids club - the lady runs the kids club doesn’t know what she is doing or the daily program. It was advertised on the screen by the entrance and she can’t be bothered to check it before she rocks up to work. There has not much toys there to entertain kids apart from a TV and a few colouring pencils. No wonder why the kids club is empty. Food - plenty of choices but most of them are quite over cooked. The local food are good though. Basically the food they know how to cook it is good. You will also be expected to eat with the staff at the same time. The reserved restaurant - I wouldn’t bothered to be honest. You only have chicken or beef tagine you can choose from. The starter was two deep fried parcels type things and both dry…,Iberostar_Founty_Beach,Agadir,
 November 2019,5,Lovely hotel,"Stayed here 16-23 November You’ll only need Dirham to pay for local hotel tax ( approx 240dr and pool towel deposit 100dr per towel) Everything else everywhere is priced in Euro at 10dr per €1 , a fair exchange rate. 25 minutes from airport to hotel for €15 per car not per person. Hotel is spotless , all staff from cleaners to management are unfailingly polite, friendly and helpful Beach is just 1 minute walk with a private reserved area for hotel guests Food is good with fresh fish , a roast and varied Tagines every day One cold pool and one very warm pool Beautiful manicured gardens and grounds Three shops on site , one for drinks sweets etc and two for local crafts and souvenirs We had a marvellous sea view room with private garden .. it’s worth asking or paying extra…",Iberostar_Founty_Beach,Agadir,
 November 2019,4,Enjoyable 4 day stay,"Booked through booking.com - budget room including breakfast then paid extra on arrival for fully inclusive which was good value for all the foods and drinks on offer The room was clean, well equipped and spacious with a nice balcony with a partial sea view.Good rainwater shower. Beds firm but slept well as it was quiet. No tea /coffee facilities in room but took our own The massage/beauty treatment packages are good value for money and the girls at the spa work very hard and are very polite and cheerful. Payment for spa treatments have to be made in cash(dirhams) but the hotel give a decent rate for changing currency Entertainment team enthusiastic and provided plenty of activities for those days when the weather was not too good All areas of the hotel kept clean Staff in…",Iberostar_Founty_Beach,Agadir,
 November 2019,4,A nice resort on the beach,"We only stayed here one night as a part of a tour. I would say this is a nice resort style hotel, right on the beach. The rooms were very large compared to other hotels we stayed at in Morocco. The rooms and grounds were clean and well maintained. We opted to eat at the buffet for dinner and breakfast. There were many options for the dinner dinner. A typical large hotel buffet so the food is pretty standard fare.",Iberostar_Founty_Beach,Agadir,
 November 2019,3,Spend your time at the pool bar!!,"Had a 6 night stay in this hotel after spending 4 nights in marrakech. Like others there are positives and negatives.... The pool and grounds are really nice and very clean, always got a sun-bed I don’t know if this would be different in high season. One pool was heated The staff work very hard and were all polite The rooms were large and clean and the shower was great The walk from the front along the beach was nice and took about 40 mins to get to the marina The hairdryer is like trying to dry your hair with a candle...take your own! The buffet restaurant is the same as any large hotel like this and is somewhat of a cattle market but in general there was always something different to try, we did eat out a couple of nights and always ate at the pool bar at lunch The wine is…",Iberostar_Founty_Beach,Agadir,
 November 2019,4,Nice getaway in the sun,"We stayed for a week and enjoyed our stay. A few negatives: 1. Our checking in at reception felt a little rushed and impersonal. The staff were busy but when we asked about a safe we were told,"" Come back tomorrow"". 2. Main restaurant was like a canteen- very busy, noisy, bright lights and we sometimes struggled to get a free table. Tables are crammed in tight together, obviously to accommodate as many people as possible. A big hotel so I guess that's inevitable. 3. No nice bathroom toiletries - cheap shampoo and soap in dispensers. No hair conditioner, no body cream, no tissues, no magnifying mirror, no robes or slippers. Bring your own! 4. One day we never had clean towels. I'm sure they would have been replaced if we'd complained but we made do. Positives: 1. Lovely sized…",Iberostar_Founty_Beach,Agadir,
 October 2019,5,A VERY LOVELY HOTEL,"All very good, large rooms, staff are great and the restaurant had a great selection. Didn't go much on the al a carte but you can't have it all. Pool bar staff are very good. Lovely beach with plenty of sun beds.",Iberostar_Founty_Beach,Agadir,
 October 2019,4,Half Term in the Sun - Brilliant Week,"Not been to Morocco before so we were slightly hesitant but as it turns out, without any founding. . .you certainly could be anywhere in the world inside the hotel complex. Just out of the complex was a very well kept promenade which was great for a good walk. We initially got a ""taxi"" from the airport which was an experience in itself. I would advise going for one of the newer option is possible. Ours was a 1980 Mercedes that had no working seatbelts or even a passenger seat that was fixed to the floor !! My 17 year old daughter who has just passed her test was horrified :), especially when the taxi driver turned back to talk to them for about 20 seconds them whilst driving through a busy highway .. . . we all made it safe . . . I guess when in Rome . . . ! The Iberstar was…",Iberostar_Founty_Beach,Agadir,
 November 2019,4,"Iberostar Fount Beach, Agadir, Morocco. All inclusive resort","The staff at the hotel made our holiday a memorable one, although the hotel is beautiful and clean. The staff will do all they can to make sure you have everything you need. The food in the restaurants was very good. The choices of different types of food was wonderful, with some even being cooked in front of you.",Iberostar_Founty_Beach,Agadir,
 October 2019,5,"Pleasant stay, lovely food, friendly staff, no plastic policy!","I was very surprised and I have to say we had a wonderful time at this hotel. The staff was helpful, animation team skilful and organised, food delicious, pools clean, rooms newly renovated (also clean) and I could go on. What suprised me as well was the ban on single-use plastic, responsible consumption of seafood and changing sheets/towels upon request. Thumbs up! I would definitely recommend this hotel to anyone looking to relax by the pool with a good book and a glass of chilled wine (also very good). :)",Iberostar_Founty_Beach,Agadir,
 September 2019,5,Great hotel!,This is a great hotel. From the friendly helpful staff through to the fun entertainment team. The hotel is clean and always being cleaned. The food is plentiful and always changing. I must mention the evening entertainment - choose from a themed night or the crooner in the main bar. Either way it’s fun. Highly recommend!,Iberostar_Founty_Beach,Agadir,
 October 2019,5,Entertainment team and food!!,"Absolutely love everything about this hotel :) Had an amazing week here; the buffet food is delicious and an amazing range of moroccan food and international. The entertainment team are absolutely great, they are so friendly and care about each and every guest :)",Iberostar_Founty_Beach,Agadir,
 October 2019,5,Recommended!,"Excellent food, service and facilities, and very friendly staff. Apart from the weird and disappointing swimming pool policy that children are not allowed to use inflatables in the swimming pool after 12.00 everything was perfect.",Iberostar_Founty_Beach,Agadir,
 October 2019,4,Great hotel and staff (and please give the dogs on a beach a drink!),"This was a last-minute alternative booking for us after Thomas Cook collapsed, so not having much choice or any time to do our usual pre-holiday research we feared the worst but were pleasantly surprised as the hotel exceeded our expectations The Good The rooms were large with adequate storage and comfortable beds. Our partial sea view room overlooked the pool but we could clearly sea the sea and the beach. Excellent choice of food at both the main buffet and at the beach bar. Variety of fresh meat and fish cooked daily at both, including pork which surprised us. We always had lunch at the beach bar as plenty of choice including freshly cooked pizzas, salads and pasta. The alcohol was all good and you could free pour wine, beer and soft drinks even at the beach bar which…",Iberostar_Founty_Beach,Agadir,
 October 2019,4,Great time,"Firstly the staff Mostafa on the bar was a great person to chat with and so pleasant then Bahrim always a pleasant word and security on the beach was very entertaining with the lookie lookie people, we were group of 4 2xcoples and had fab time nothing was too much trouble all so helpful, rooms were good size and cleaned regularly unfortunately no kettle. The bar staff were fabulous making gin and vodka mojitos every night. We could find no fault with the amazing food if I have a negative it would be that it took several days for the heated pool to be turned on and once it was it was fab x",Iberostar_Founty_Beach,Agadir,
 October 2019,5,The most enjoyable family holiday!,"I visited Iberostar Founty Beach in October this year with my family of 7 and we all had such an amazing time. The hotel, it’s staff and amenities were great! The food was so tasty and the hotel was so clean, light and had such beautiful architecture. Our room was huge so we had plenty of room to call home for two weeks. I also had a spa treatment (a seaweed wrap) which was luxurious and made my skin feel amazing and my senses revived and refreshed. If you come to Morocco, then please do not miss out on having one of these Hammam treatments - they are so good, some of the best in the world! The location of the hotel was brilliant; set right on the beach which had beautiful golden sands and it’s own private sun lounger area exclusive for Iberostar guests. Only a 10 minute taxi…",Iberostar_Founty_Beach,Agadir,
 October 2019,4,Great hotel,"Stayed here for a 5 night break, having stayed here 4 years ago we were pleasantly surprised by the improvements made. Hotel facilities are very good food was plentiful. The hotel being on the beach is an added bonus with its long promenade. Entertainment team were polite and enthusiastic-special mention for Simone who was very considerate and kind to our 82 year old mother. Only negatives are poor Wi-Fi in certain areas. Evening entertainment is very poor.",Iberostar_Founty_Beach,Agadir,
 October 2019,4,Good relaxing stay,Stayed here in October 2019 for one week. The hotel was in a good location on the beachfront. The room was comfortable but the beds were very firm. Our room had a pool view and a slight view of the sea. The balcony was great to sit out on overlooking the grounds/pools. The food was very good however the menu didn’t change much and was very predictable. The spa was very good as was the gym although the gym could do with being upgraded. There were plenty of sun loungers around the pool. Lots of outdoor seating but used by the smokers. The entertainment team was fantastic throughout the day and in the evening. My main complaint was the poor internet connection which was hit and miss throughout the hotel and grounds.,Iberostar_Founty_Beach,Agadir,
 October 2019,5,Amazing experience,"We just returned form Iberostar, Agadir. The hotel is great, nice pools outside and one inside, is on the beach, good food, even is repetitive you won't have time to try everything, make reservations for traditional dinner. Entertainment team is amazing, those guys are really friendly and energetic all day. The shows in the evening are very nice, all the activities at the pool, the dancing. My daughter felt in love with the girls and boys from Kids club, thanks Fati and Ali specially. The snack bar is good, pizza, pancakes, paella, doughnuts made fresh in front of you. At the snack bar many thanks to Souffain, this boy is great, always very smiling and attentive, making jokes with my daughter. The gardens are very nice. The only problems are: internet, in the room almost doesn't…",Iberostar_Founty_Beach,Agadir,
 October 2019,4,Relaxing,"Great relaxing hotel on the beach. Beautiful gardens. Lovely spa treatments at an average price. Friendly & efficient hospitality staff. Great variety of food at every meal, always fresh & of good quality. Strong alcoholic drinks. All inclusive definitely means you can eat & drink all day at this hotel if you wish. Reception toilets were not that clean when we arrived but after we filled in a feedback form the toilets were cleaned on a much regular basis. Our room was not ready at check in time but after speaking to a manager we got a room. Unfortunately this rooms toilet flush was broken. After being “fixed” 4 times we asked to be moved to a new room.",Iberostar_Founty_Beach,Agadir,
 October 2019,4,Very Good,"We have just returned from a family holiday to the Iberostar Founty hotel, we had 2 weeks here all inclusive. The food was very good but a little repetitive, but plenty choice even for fussy eaters. The staff was very friendly around the hotel, the only thing I would say is the entertainment was horrendous, we had to walk out on some of the shows, I dont even think a child would watch them throwing them selves around the stage like animals, however the singer in the main bar on a evening, was brilliant and got everyone up dancing. He was far the best, so credit to him. We spoke to a lot of people around the pool and in the hotel and a lot of guests were saying the same. The day time entertainment was not up to the best either, I felt the hotel needed more staff around the pool…",Iberostar_Founty_Beach,Agadir,
 October 2019,2,Living in the 60's,"Whilst ideally located on the beach, this hotel has wonderful position albeit that suites are a little dated however this whole experience gives a whole new meaning to OTT and living in the past. Think Cruise ship 'Love Boat' style or Kellerman's 'Dirty Dancing', it is like a camp with schedules events, locking in lounges around the pool, buffets breakfast, lunch & dinner with coloured wrist bands and Entertainment Shows 'Disco' which was woeful, Primary School kids can out perform. You seriously also need to recheck your entire list of Cocktail recipes, they are not using correct ingredients at all and way too sweet with syrups. Note: A warning to visitors, what is it with No Credit Card machines available to make any payments? Only cash $ is accepted everywhere including the…",Iberostar_Founty_Beach,Agadir,
 October 2019,4,would return,"Arrived by private transfer, bags dumped outside the front of the hotel no assistance till in the hotel. Check in was prompt, advised to go for lunch as room wasn't ready. We stayed in 3060 the furthest away from the reception, ground floor room overlooking the garden facing the promenade and beach. Room had lots of space and seating areas, small patio outside with table and chairs. Two bottles of water in the fridge on arrival you need to collect more water from the bars if needed. Large bathroom with shampoo, shower gel, hairdryer all provided. Hot water plentiful. Fresh towels daily. Room cleaned daily. Getting a safe was quite a hassle, surely in an all inc hotel this should be in the room and free of charge. Spa booked a treatment for first full day, lovely lady showed us…",Iberostar_Founty_Beach,Agadir,
