 December 2022,5,Wonderful hotel close to many things,"We stayed as a family for 3 nights on the Tangier part of our Moroccan vacation. This hotel was across from the train station and Tangier city mall and a block or so south of the main Tangier beach and boardwalk, so easy walking distance (1/2 hr or so in either direction) of the marina and Malabata area. Room was very comfy and modern, nice size pull out bed for our daughter. Nespresso and water in room free of charge. Breakfast was good, lots of variety. Front desk arranged a tour for us with a guide, which was fantastic and hit all the sights we wanted to see. The bar could’ve been a bit better, but we were able to get a cold beer and a glass of wine. Overall a great hotel!",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,hotelName,city
 January 2017,5,Very nice hotel,Royal tulip is a very nice and comfortable place to stay while in Tangier. Rooms are very spacious and well furnished. Breakfast is very rich. Staff are helpful and hotel has a very nice location near the new waterfront of Tangier,Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 December 2016,5,Afternoon Tea,My husband & I wanted a place where we could spend a nice afternoon together. We highly recommend The Royal Tulip (Afternoon tea moment) . We had great time at the hotel. The place is so cosy & beautiful & the staff are welcoming & caring. Our visit was so pleasant. We're looking forward to spending the new year's eve there.,Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 December 2016,5,Best Hotel in Tangier,"I am a regular visitor to tangier staying at least one week per month for nearly 16 years. I decided that I would try this new Royal Tulip hotel for a change. Great decision! the rooms were perfect, (as a new hotel you don't expect anything else.) But what really surprised me was the standard of service. The service I experienced was first class. From the reception to the porter to the security to the bar and the restaurant, everyone was pleasant, attentive, smiling, and happy to help. I generally do not eat in hotel restaurants however on this occasion I ate in both the Vasco and the Tapas restaurants and the food was really good. I have already book the hotel for my next trip in January.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 December 2015,3,Modern hotel handy to the railway station,"This hotel is literally diagonally across the road from the railway station - the one time we didn't need to hail a cab. The entrance and half of the rooms overlook the railway yards and a building site. There appears to be a lot of new construction happening at that end of town. Our room (803) faced over the yards and was bright, clean and spacious. We didn't use our balcony due to copping smoke from neighbours next door. There are internet terminals on the ground floor opposite the tea salon. We didn't get to use these as they were being hogged by children. Breakfast had all of the usual suspects on the buffet but the highlight were the tiny individual desserts. An indulgent thing to have at that time of the day but small enough to have more than one. Orange juice was a…",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 November 2016,5,Great hotel. Great location.,This hotel offers it all. The location. A+. The amenities. A+. The staff A+. They do it all and they do it well. As a point to explore all things Tangier this hotel is perfectly situated. The rooms are spacious and clean and the staff diligent.,Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 November 2016,5,Great hotel in Tangier Center!,"Had a lovely room with city views which were great as the Hilton next door is not yet open so lots of privacy using the terrace! The beachside rooms are to die for - i took a peek! The staff is very friendly and helpful, particularly the front desk. Lovely tea salon in the lobby and the restaurant El Vasco is fabulous!",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 July 2016,5,Excellence!!!,"Perfect hotel, Perfect service, Very clean & comfortable rooms. Very warm and cosy bar. all the rooms have stunning view. The location is great. The hotel lobby is one of the best i've ever seen. There's also a gym with lots of equipment.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2016,5,"Superb service, wonderful hotel","Arrived in Tangier on business, exhausted at the end of my 5th week travel and after another 14 hour day. Turns out I had arrived the day I booked to check out, pre-paid. No problem, they rebooked me immediately in a great room with an ocean view. Dinner in the Spanish restaurant, Vasco, was simply amazing (best hotel restaurant food and service I've ever had!). Right next to Tangier train station and mall with supermarket. And it's super modern and clean and comfortable. Great service, great price, great food. I've even started a TripAdvisor account just to relay how impressed I am.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2016,5,suprised,the best hotel in tangiers just by the beach next to all the shops absolutely fantastic really the best 5 star hotel in tangiers food is to die for and the rooms are beautiful the staff just cant do enough for you fantastic will stay again very soon lovely place to stay,Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2016,5,Best hotel in tangier,"Again I stayed at what I think is the best and finest hotel in tangier in Morocco, Again my room for the ten nights I stayed was 5 stars it was maintained to a high standard by the wonderful maids on the 8th floor The front of house staff are so professional polite and extremely well trained in all aspects of there trade And the customer relations man Mohammed again going out of his way to make everybody's stay at the hotel a stay to remember i recommend this hotel to all who wish to visit tangier whether on business or pleasure And it was my pleasure to write this recomedation",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2016,5,"Great hotel, great staff","This hotel was chosen by the tour that I had joined. It is within walking distance to the beach. I ate at the breakfast and dinner buffet which was delicious. For example for dinner they had fresh cuts of a variety of fish , chicken, beef that they cook before you. Numerous selections to choose from. Fresh, tasty salads, wide variety of fresh fruits and cakes, fresh bread. Breakfast was also delightful with a chef making omelets for you. Again a variety to choose from. Staff are very helpful and attentive. There is a swimming pool and spa",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2016,5,Simply Fantastic,"This hotel is absolutely fantastic. The accommodations, service and location. Note, it says it's in the city center but that's a matter of perspective. For us, as tourists, it didn't seem like the stereotypical Moroccan city center with people wheeling and dealing at your doorstep. It's actually in a very nice area with large buildings and hotels a short cab ride away from the touristic ""city center"" with the exotic chaos you would imagine and perhaps crave as you heard to Tangier. The hotel and its staff are extremely welcoming. Don't miss the tea and snacks in the lobby! So tasty! And the hotel breakfast is another don't miss. The food is very authentic (in my American foodie opinion). The selection is vast an tasty. The cab ride to the Medina should only cost you about 10…",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 July 2016,5,Chic Luxury,"Eons ahead in quality and standard from the other sub brands under the Tulip umbrella brand. One of the best hotels I have stayed at. Totally modern with most amenities and immaculate attention to detail. Cleanliness and service were superlative too, as was the food, the pool area and other common areas. At the poolside you could enjoy a lavish dinner spread, live singing and music, sheesha (hubbly-bubbly), or keep abreast with live Euro Cup Football ! Equally comfortable were the beds, and a well equipped toilet. Of course commonly needed add-ons like a kettle, iron and ironing table, fridge etc. were provided in mint condition. In short would never stay anywhere else in Tangier if I ever visited this city again.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2016,5,Great,Beautiful and comfortable rooms. Great service and really kind people... We checked out many of the 5 stars but this one really had the best room. Pool is well taken care of and all of the areas are comfortable to sit and relax.,Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 March 2016,4,Recommendable hotel while on business: Good quality rooms & excellent breakfast,"Stayed in the hotel during a business trip. Rooms are large and clean with a big bathroom including bath tub. Breakfast includes a large buffet with plenty of options like fruits, yogurt, bread and egg. Overall, a place to recommend while on business.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 June 2016,5,100% recommend,I have stay at the Royal tulip three times this year and I must say each visit has been a great experience The front of house staff the lob staff and basically all the staff at the hotel give 100% to the customer nothing is too much for them The rooms are of a high standard 5star The upkeep of the hotel is fantastic I have had need of some services while in the hotel and the man of the hour was Mohammed MKAOURI the guest relations front of house Who went out of his way to do everything I asked of him many thanks Mohammed your a star I give the Royal tulip 10 out of 10 Great place to stay,Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 May 2016,4,A very good hotel near the sea,"I spent 2 nights in this very nice hotel. The room was large and I even had a sea view as the hotel is not far from the sea. Room service was fast and breakfast plentiful. In the bar they have some big screen TVs and good local beer. The airconditioning was the best I have experienced so far - noiseless and very effective! The Wifi was, on the other hand, sometimes really slow or non-existent.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 May 2016,5,Perfect in every way!,"We loved staying here. We took the overnight train from Marrakech and arrived at the hotel at 8:00 AM and they let us check in early! which was great since we really wanted to rest and shower. The room was so clean and comfortable. The staff proved to be very nice and helpful. Shout out to Abdessamie Bouayad, the concierge who was amazing and so attentive. They provided suggestions for things for us to do and got us a tour guide to take us around. They even called us later to ask if things were ok. The place is neat with the restaurants they have located at the hotel which include a tapas restaurant, a cigar bar, a coffee and tea café, and another restaurant for breakfast and lunch. Located nearby are more restaurants and right next to the hotel is a shopping mall. If…",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 April 2016,5,Perfect location- great service,"I stayed at the Royal tulip for one right when I was touring around Morocco. The location is perfect, as it's a few minutes from the beach and a few minutes from the tangier night life. There are plenty of restaurants and activities around. The staff were very helpful, and I would definitely stay there again.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 May 2016,4,Very confortable hotel,Very confortable and clean hotel. It is new. Boufet restaurant is excellent to have breakfast and dinner as well. Rooms are big and clean and furniture is very new. Service is kind and friendly. Nice swimming pool. Other restaurants available.,Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 May 2016,5,Another fantastic weekend away,"Every couple of months we like to go away on a 1 or 2 night break Last weekend we went to Tangier and stayed at the Royal Tulip Hotel We booked a deluxe room with sea views and it was perfect. We had fresh fruit and pastries delivered to our room, complimentary we also dined at he Basque Restaurant in the hotel again faultless we could have been anywhere in the world. The hotel was super clean the rooms were massive with a wide range of toiletries as well as bath robes hair dryer safe and all the amenities you can think of a 5* hotel should have. The concierge was very helpful and moving around the city was very easy taxis are just outside the hotel gates.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 April 2016,4,very good,"stayed there for one night. single room but it was extremely spacious. huge comfortable bathroom. they brought to my room welcoming sweets ( 3 plates with different assortments ). wi fi connection in reception and rooms. viber call from room as well. there was a trivial leaking problem in bathroom but was able to fix myself ( just tightening the spiral ). rich buffet for breakfast and evening. very polite and helpful staff. located next to shopping centre ( almost adjacent ). mall has mostly western brands, no gift shop, acima supermarket, cinemas.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 April 2016,4,Almost perfect,"Checked into the hotel late and found the rooms to be clean and well set out. Chefs waited agreed to cook for us, even if it was later than the restaurant closing hour. Had a drink in the Tapas bar which was nice. Downstairs bar is very smokey. My only complaint would be the breakfast. It was difficult to get served coffee. Seemed to not have enough staff.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 March 2016,5,very good,"It was a hotel very cool, very good, and I spent a great time, and all the staff a high degree of good handling and sophistication, and the breakfast was also very good and varied and comprehensive I've had a really enjoyable and I've seen a new mall near the hotel, but unfortunately still under processing. And it will have a big affair.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 March 2016,4,Nice hotel,Stayed in a few different hotels in Tangier and this one is very good for the price. It's near to the sea front and there are a lot of restaurants near by. The rooms are clean and we'll maintained but then it has been recently built. The rooms are nice and a good size also near to the train station and next door to a shopping centre.,Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 February 2016,5,Karim Rajae,This yung man work in this hotel as a receptionist is really special because I have 15 hotel in the US and familyar with the excellent treatment but this man show me the best of all taybe of warm nice and friendly reception and services I injoy my time in this hotel because of him and recommended him as the best receptionist for this month in Morocco Dr Hassan,Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 February 2016,5,Wonderful Hotel and Amazing Staff,"All of the staff were professional and very helpful especially miss Meryem at the front desk who made our stay even better . the decor of the whole hotel is very modern. The rooms were spacious, clean and cosy with tea and coffee making facilities . The breakfast was plentiful and delicious. Thanks to all the team for this lovely stay.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 February 2016,5,Very Nice Stay,"I checked in for one night , I was welcomed by the sweet Meriem at the front desk who went through the check in procedure smoothly. My requests of high floor as well as non smoking room were taken into consideration. The room was clean, spacious and the had beautiful view facing both city and beach. I will definitely come back to this property !",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 December 2015,5,Clean and extremelly well managed,"Very Professional staff Very clean rooms Very delicious breakfast This is my fourth time in this hotel and I'm always satisfied with the service. But tough competition is coming nearby - Hilton garden inn - Be careful, keep the service up and the prices stable",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2015,5,The hotel to stay in Tangier,"Surrounded by luxury and well trained , gentle staff , you can relax and enjoy all that this hotel has to offer If you happen to meet the manager you'll understand why the staff is so efficient, good looking and friendly",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 February 2015,5,Marvelous spot for stay,when i go Tangier i stay here for two night. when i entered here i greeted by a good person. stay here im feeling very good and comfortable ats really looking like far from home as a home. all staff are very good by service. thsnks kenza.,Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 January 2016,4,A very nice place to come back to after a long day of siteseeing in Tangier !,We only stayed one night but when we arrived without a reservation we where greeted by a nice man named Hussain who made sure we received a nice room at good price. We where introduced to the concierge and given our room key. Our room was clean and spacious with comfortable beds ! Much to our surprise Hussain called our room to make sure that we had everything we need and where happy. We had the breakfast buffet the next morning which was amazing with fresh juices and fruit and omelettes made to order. I would definitely recommend this hotel when visiting Tangier.,Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 May 2015,4,I can say ok as a Luxury Hotel,"That place is well situated in the city, you can have a wonderful time enjoying the view and the souks( Local Markets) around the place. Regarding the hotel I noticed that they need to renovate some section in there. All is good .",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2015,5,Best Hotel in town,"This new hotel near the train station in Tanger is the new standard in Tanger I hope. Friendly staff, clean rooms and professional management. Nice restaurants. A good place too be for the professional travellers. I will come back",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2015,1,"Smoking everywhere, no ashtray needed","2nd time stayed there. Rooms are nice. Overall hotel is good. Booked for dinner at the Spanish restaurant (mezzanine level ) with family. 2 Spanish men just decided they can smoke in the restaurant. No one talked to them. They don't even have an ashtray on the table. When I complained, the front desk night shift said he will post a complaint, but he did not. The front desk lady in the morning did say ""Oh you know, don't be hypocrite, everybody smokes in the hotel everywhere, there is nothing to complain about"" !!!!!!!!!! Astonishing !!",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2015,4,Modern Hotel,"Stayed one night as part of a tour and was pleasantly surprised at the quality of the hotel and rooms. Buffet dinner was excellent including a wok station,grill station with different types of fish and meats. Desserts included a chocolate fountain. Taxi to the medina was 16 euros round trip.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2015,4,Loved it,Comfy rooms Good wifi connection Central to all local ammentities Friendly and attentive staff who cannot do enough. Even purchased resources required from outside the hotel. The hotel is clean and the facilities are varied. Good value for money and a real morro can feel would recommend to all,Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2015,2,Disappointing,"For a hotel that boast about being the place for business men to go, I was very disappointed. 1- they have no adapters, I couldnt charge my laptop nor work 2- they cannot provide an iron and ironing board before 9am - really?? What about people who need to be in meetings by that time? Thanks. 3- room aminities are bad quality. The shampoo was so watery i felt they were adding water to fill up used bottles 4- breakfast buffet: i literally struggled to find something to eat. No healthy options except eggs. Cereal containers look so dirty it made me wonder when was the last time someone washed them. 5-website said there is a fitness center, got there and the fitness center is not even open yet. The staff are very friendly but sometimes thats not enough to have a good stay. …",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2015,5,Excellent manager doing what needs to be done,"When i checked in, I paid through hotels.com. The booking hadn't come in yet. One man sits to the right was very hostile and aggressive to me. He checked and said it wasn't there. Then he said he found it but when i gave him my card he charged it for 2 nights. I was shocked, i already paid. I told him this several times but he didnt believe me. He started muttering under his breath in arabic. Then he looked at me and said ""I guarantee you did not pay"". WHAT? How do you know what i did? I replied, ""I guarantee I did"" he said ""No I guarantee you didn't"" he said ""show me reciept. this is supposedly a 5 star hotel. He needs to be fired. I went up double charged and found the receipt online. I showed him. He muttered in arabic then said, ""its sunday maybe tomorrow. Ok tomorrow if…",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2015,5,Great Experience,We had a great stay in Golden Tulip. The staff is very nice and helpful. The food was delicious and the rooms were perfect ! The hotel was full but it wasn't noisy and the bed is VERY comfortable ~ we loved our stay there! It is the best hotel in Tangier so far !,Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 July 2015,5,Internship,"Passing an internship at the Royal Tulip City Center hotel was an eye opening experience for me. I passed it in the Sales and Marketing department with four, amazing staff members; Hamza Boulaich - Sales executive; Soumaya-Reservation Manager; Zainab-Senior Sales; Aicha - Sales Director. These people taught me so much about Sales, how the hotel functions, how reservations are taken care of, how to deal with customers etc. They demonstrated a strong and great work ethic that resulted from reliability, dedication, productivity, and cooperation. Not only were they great at work, but they were the nicest people. It is very important to go to work and feel loved by your co-workers and that's what these people made me feel like. They were always ready to help with huge smiles on their…",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2015,5,Great Experience,"My stay in the Royal Tulip City Center Tanger was a remarkable experience regarding the level of services, cleanness, room size, sleep quality, quality of furniture and the most important thing is the smiley faces around you regardless how demanding you are and I would like take this opportunity to send special greeting to madam Rajaa working in the front desk for her sweetness and her professionalism wishing her and all the hotel personnel all the best.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2015,5,Best Hotel Experience Ever !!,It's no secret that I keep coming to the same hotel ! Everything from beginning to the end has been more than perfect ! All the staff are very courteous and specially Hind Chiadli and Yassine Temsamani !! The hotel is impeccable and the food outstanding !! The hotel was completely booked and busy and I felt like I was the only guest getting 100 % of the staff's attention ! They make you feel very special at Royal Tulip Center ! I would definitely recommend this hotel to everybody I know ! Summary : Staff : 5 stars Cleanliness : 5 stars Food : 5 stars Pricing : 5 stars Overall : 5 stars .. PS: I would give 10 stars !!! See you soon Royal Tulip Center of Tangier !!,Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 April 2015,5,Beautiful Hotel,"Stayed in this hotel for one night, as the previous place that we were booked into was horrible. We were extremely tired from our holiday and wanted to just rest. The location itself was not great, but the Hotel more than made up for that. We ordered a twin room, and each of the beds were queen size. They are possibly the best hotel beds I have ever slept on. We were so tired, so ordered room service. The food was amazing, and they gave us extra treats which was an added bonus. The bathrobes was so soft, you did not want to get out of them.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 July 2015,4,Excellent two night stay,"Overall a very fine experience. My granddaughter and I had just two half days and a full day. To have the best experiences I sent several emails to arrange tours/guides in advance, including airport pickup. All went well, The concierge was very helpful. There was one small disagreement about an additional charge for extra guide time and car use, but it was resolved quickly by the concierge, Sammie.The hotel is new and accommodations are excellent. One of our two nights at the hotel was Sunday, during Ramadan. The restaurant was closed on Sundays during Ramadan,leaving o no usual option for eating in the hotel. But all was well because one of the front desk staff suggested we join the locals at iftar, the feast breaking the fast at sundown. Thus, we had a new, interesting and…",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2015,1,Not worth 4 stars let alone 5,"The hotel looks nice because it is newly built and the food is nice. But the service we have received is appauling which is why I have given this hotel the worst rating. The problems we have encountered include the following-out of our 6 day stay we had poor room service on 4 days On the first day we got no clean towels. Second day no tea, coffee or clean towels third day no tea coffee or toilet paper. 4th day despite going out for several hours our room was left un- serviced. I have received better service at 3 star hotels. They also advertise a spa at this hotel which doesn't exist. They advised us they would arrange for transport to take us to their sister hotel golden tulip to have a spa day. We had a driver take us their but on the way back the concierge ordered a taxi.…",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 May 2015,4,Good 5* modern,"New 5* hotel in Tangier, good service, nice and comfortable rooms. I had lunch in the Spanish restaurant and the menu is really interesting, the dessert are the best. Just the sea view is missing but perfect when going in Tangier for business.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 July 2015,1,Awful - beware!,"Awful - and I've never used that word before on here. And sadly I chose this hotel because of its Tripadvisor reviews. So I need to say these two things first: 1. Look at my reviews on here. I've written quite a few. I always try to be positive. 2. I came to this hotel during Ramadan. That's significant but shouldn't excuse anything. Remember, hotels have a choice whether to open and serve customers just as we have a choice to give them our money. So the single positive thing: My room was modern, well equipped, spotlessly clean and spacious. It had tea/coffee making facilities and two free bottles of mineral water. Thank goodness for the coffee and the water, as you will see. The negatives, in chronological order: 1. Poor reception service on arrival - it took 40…",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 June 2015,5,Excellent,Had a great stay at this hotel. It wasn't too full therefore plenty of room for us. The pool was totally dedicated to one person. Very clean. Breakfast was included and excellent. Would definitely recommend if you don't want to be located near the old part of town. Taxis are affordable so not an issue getting there. 5 stars.,Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 May 2015,5,Royal Tulip is an exelent choice for good food good service and good staff,"I have been to Tanger six times since October 2014 and I literally watched them build this great place. If you like value with genuine and professional service Royal Tulip on Malabata is the place for you I would give it a sixth star since the price is so very reasonable: Breakfast buffet included and worth 150 dirims alone and then dinner buffet, whew the other night I had wonderfully fresh sword fish and chicken kabob and cafe au let and awesome truly great deserts. I am single and a freelance journalist and sometimes suffer from writer's block and the friendliness of the staff specially Mohamed and Fatiha and the sales executive hamza puts me at great ease and I write all night long! Thankyou Royal Tulip.. thanks John , Boston, mass USA",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
