 January 2023,4,Good Location + Facilities,"There is a lot that's right about this place, Clean apartments and suites set in nicely maintained gardens with peacocks wandering around . Good facilities including a heated outdoor pool. We are swimming in January! Quiet and relaxing. Easy 15 minute drive into Essaouira",hotelName,city
 March 2016,5,Amazing Lodge @ Essaouira,"Essaouira Lodge is situated About 15 min from Essaouira Medina. You find the Lodge driving by a unpaved Road. It has to be said : it's a very quiet relaxing environment, in the nature and no stress. The staff is very friendly and are open for al your questions ( breakfast , diner, activities) The houses are clean and have a lot of space. The swimming pool is heated and the bar is attractive. We have been here several times , and it's only getting better .... Looking forward to next year !",Lodge,Essaouira
 March 2016,5,Very chilled time at the Lodge with superb service,"Having spent 5 days staying just outside the Medina opposite the beach, we thought we'd retreat to The Lodge with our kids for 2 days and it was a great success. The service was impeccable - they couldn't do enough for us and the food was great. We opted for dinner one evening which was brought to our room - and it was the best food we'd had in Essaouira - apart from the fresh fish by the port. We would definitely go back there and would wholeheartedly recommend. The gardens are also amazing.",Lodge,Essaouira
 May 2015,5,Amazing place,"Was there during 2 weeks with my girlfriend. Now she is my wife. everything was perfect, large room, best pool and service, quiet area perfect for nature lover. highly recommended. I plan to come back in october.",Lodge,Essaouira
 March 2016,5,Fab place!!,"We are currently staying here and cannot fault the place. The staff are so helpful and friendly, breakfast brilliant, room very spacious, we never hired a car the free shuttle transfer is perfect, we went into essaouira town most evenings and the driver picked us up when we were ready. We only had lunch twice and it was delicious!! We would definitely recommend this place.",Lodge,Essaouira
 February 2016,4,Luxurious and Quiet,"Let me start with the way this lodge has been designed. There are individual buildings that resemble bungalows (except that they're solid concrete), laid out across the hotel grounds. You get the upper floor of the building, which combines a small living room area, kitchen, bedroom, bathroom and terrace. It has its degree of luxury and Moroccan charm, without making you feel uncomfortable. The only downside of the room was the lack of heating. Having stayed at the Essaouira Lodge in February, it was freezing cold and the mobile radiator they provide you with, doesn't really manage to warm up the small flat. But as a general rule, I advise you to visit Morocco in the summer months, anyways. Moving on to the staff: all of the employees are very friendly and helpful. Especially a…",Lodge,Essaouira
 November 2015,5,Beautiful location,"Had a lovely relaxing holiday here, staff were fantastic, Alex was brilliant, couldn't do enough for us and went out of their way to make sure we had a lovely time, will defiantly visit again at some point thanks Guys",Lodge,Essaouira
 December 2015,5,lay back and relax!,"This place is just great! A 1 km dirt road brings you to the lodge and it feels very remote! We booked a villa with a private pool. A big clean house and very well maintained. The breakfast and lunch was good, we didn't have dinner there because there wasn't anything going on. A bit of a shame since the restaurant serves good food. They could have done more with the ambience of the restaurant (prepare the fireplace, light some candles, turn on some music etc). The fact that you have to go out for dinner was (for us) the only disadvantage.",Lodge,Essaouira
 December 2015,5,An incredible holliday,"We arrives at the Essaouira Lodge with the entire family before Christmas , we stayed in a villa with private pool , it was wonderful . Staff very friendly , always trying to make your stay enjoyable. We loved the breakfast by the pool restaurant , the lunch Buffet was délicious and fresh. The shuttle to Essaouira Town was perfect to go and come back from Town or beaches . The hotel is so peaceful, no noise at all. We had the Best Christmas thanks to the staff so friendly 😀",Lodge,Essaouira
 December 2015,2,Poor organisation in the middle of nowhere,"We stayed at the Essaouira Lodge with my family after reading reviews on trip advisor. We were disappointed with the location and the service. We continually had to ask for things to be done, given no information about the lodge and also our room was not cleaned on some days. To add to being in the middle of nowhere we had no wifi access in rooms and also free wifi near bar did not work. The only exception on our stay was the local bar and restraunt staff who tried to make our stay comfortable but were let down by their management by being understaffed. Rooms were good size and decent fit out but we had many spiders in our room and my so complained of stained sheets. There is nothing in the area and no information about activities at the hotel. You need to order your…",Lodge,Essaouira
 December 2015,5,Beautiful Lodge,"We stayed at this beautiful place for 5 days in December. From the start everyone we met, from check in to room cleaners and especially the breakfast guys at the bar were so friendly and helpful we felt that they really wanted us to have the best time. The gardens are amazing, the transfers prompt and convenient, the Hammam was great and the food was excellent. I cannot praise this hotel too highly",Lodge,Essaouira
 November 2015,5,Brilliant holiday,"Absolutely lovely hotel in beautiful city - warm, vibrant and I would definitely go again in a heartbeat. Staff can't do enough for you, shuttle bus to town and back on demand. Five star holiday in beautiful location!",Lodge,Essaouira
 November 2015,5,Beautiful lodge!,Located a 5 mins drive from the road to Essaouira (Essaouira is located a 15 mins drive from the lodge) you will find the excellent maintained Essaouira lodge. A lot of beautiful houses with enough space for some privacy with a nice pool and a small playground for childeren. All staff at the lodge is very friendly and they offer clean houses. Excellent for a longer stay in Essaouira.,Lodge,Essaouira
 November 2015,5,Nydeligt Sted !,"Back to Essaouira again, this is the first time that we have rented a house out side town in the close country side, lucky us ! 15 minutes drive from town and no more wind, in a beautiful house with garden and private pool ! Frankly quit more than we expected ! Young and helpfully staff ho got this friendly nature that make me smile :)) In fact, this Lodge is a perfect hotel ho rent private houses with full comfort in a green garden We had the recommendation from a hotel in Marrakesh and we definitely recommend again ! Special thanks to Alex",Lodge,Essaouira
 August 2015,5,Essaouira lodge,"I spend my vacation in a unique enchanting place, a million miles from the stresses and strains of my every day life due to the beauty of the situation combined to an attentive hotel staff. Gréât place",Lodge,Essaouira
 August 2015,5,Loved it here!,"Fantastic hotel, very helpful friendly staff, away from it all but free shuttle bus anytime you wanted to head into town. We were given an upgrade due to slight issue with our room. Would highly recommend to couples and families. Thankyou Essaouria Lodge! :-)",Lodge,Essaouira
 August 2015,5,GREAT SURPRISE !,"Unexpected "" Lodge "" ! Thought we would find bungalows.. but we ended up in a beautyful house with privat pool and garden, we were two family's with children cheering this big villa for less than two apartments my will had costed. This lodge function as a real Hotel, housekeeping, restaurant, spa. and even a little privat party one night.. (made us stay a day more) Beautyful place in the countryside 10 minutes drive from Essaouira city (..and the wind ) Wery friendly staff ! ( Moroccan and European ) Fully recommended !",Lodge,Essaouira
 July 2015,5,A place to be,"It's very Nice for family. At 10 minutes by car of Essaouira, in a quietly place. When we are there at the end of july, the weather was excellent. The lodge's personals were very kind with us and disponible at each time we need.",Lodge,Essaouira
 February 2015,5,A great place for great moments !,"We stayed there for 9 days and parents were there for already 2 weeks. Nothing to say but great place ! The best was that we were alone....February being a low season for Essaouira we had a great offer and price for renting a house with 3 bedrooms. nice garden, nice rooms with one with chimney in (don't be surprised as in Feb nights can be cold... around 13 C°). Only thing was that the swimming pool is not heated. A thing that needs to be changed. Otherwise service was at level expected for the region. Don't hope for high luxury service... it is a B%B and not an hotel. The restaurant was really nice and the person in charge of the sauna and massage was really nice and cheap.. sure compare to Europe..... One thing for sure.. .we will come back for a season were the swimming pool…",Lodge,Essaouira
 December 2014,4,Very peaceful property outside of Essaouira,"We recently stayed at this place for two nights at the conclusion of a ten day trip to Morocco. Regarding the property, they are individually owned units of a variety of sizes, so we, as a family of four, were able to stay in a two bedroom unit. It was very quiet in late December, and there may have been one other guest. The apartment was relatively well equipped, although cooking a meal in the kitchen would be a challenge, due to a fairly limited assortment of kitchen equipment. We did use the kitchen for coffee and a simple dinner one night. The staff were accommodating, and we were arranged to be picked up at the Supratours bus station and special arrangements were made to drop us off early for our departing bus, since the later buses had sold out. We ate dinner and…",Lodge,Essaouira
 August 2014,5,Stunning well maintained peaceful holiday spot,"Staying in this place added a magical touch with lot of serenity to our holiday in essaouira. The resort is only 15 min away from the old medina, it is gorgeous, clean and well maintained property, managed by one of the most amazing managers I have came across, redouane is a sweetheart, always willing to satisfy the residents and his team of staff are doing exactly the same. The big advantage of this place is that the weather stays nice all day and night, no big winds like in essaouira center. The pool is nice and very fresh, tasty food and delicious moroccan breakfast . They organise also live band night parties and they offer to for you what you need for your stay if you want to cook in your apartment' s kitchen. Beautiful terrace where you can chill at night. Internet is…",Lodge,Essaouira
 August 2014,5,Great escape on the countryside away from the wind in Essouira,"I spent two nights with my girlfriend at the resort. The staff is extremely helpful and do their best in making a good experience for their customers. The staff bought bus-tickets for us so we did not have to leave the resort, and on the day of check out we spent the entire afternoon at the pool even though we did not stay the night (we did have a big lunch, though). Overall a very nice escape - and if you are looking for some relaxing days, I would recommend this place instead of a place in Essouira, because this place has not got so much wind. And it's only a 15 minutes drive from Essouira (they have shuttlebusses). Go to Essaouira a day or two, and then go to this place to relax instead of doing it in Essouira. Best recommendations. I would go to this place again in a…",Lodge,Essaouira
 August 2013,5,A place to be yourself,"Charming place to go with a family or friends or even solo. Everybody can find his own style of staying Zen at this hotel. If you feel lost and exhausted, just go there. This place will help you to find the mental equilibrium. Very good dinners with local cook. The manager of the hotel is above all praises.",Lodge,Essaouira
 August 2013,5,Great Hotel,"One of the best hotels I've ever been to! Me and my family had stayed there for a week and we have had some really good time. First of all, the accommodation is excellent. Our house was big and comfortable. A spacious living room with TV, DVD player, gigantic sofa is a great space to relax after wind-surfing lessons. The kitchen has all the necessary equipment including the dishwasher and washing machines. The terrace's great for enjoying the sunset and drinking mint tea. Bedrooms provide cozy beds. No complaints about the room service. We used to dine almost every night in the hotel's restaurant. I would recommend to try the Couscous Royal and Tajine with lamb. Service in the hotel is what makes it such a magical place. Staff is super friendly and is ready to help with any…",Lodge,Essaouira
 August 2013,4,Lovely mini resort!,"We stayed for a week at this hotel/resort. We had a lovely stay and the staff could not do enough for us, even with a slight language barrier. We didn't travel with children but there were a large number of children at the resort perhaps as it was the summer holidays but the resort was extremely child friendly. We had a two person apartment which was lovely and clean and had a great big Balcony to sit out on. Two slight problems were that the cooker short circuited the whole apartment so you could only use one small hob and not the larger one and there is no air conditioning which, when the temperature reached 47 degrees during our stay made it uncomfortable to sleep. The hotel owner did however, instantly buy all rooms a fan but that didn't make much difference. The hotel is…",Lodge,Essaouira
 May 2013,5,Highly recommended,"We had a great few days here, it's a 10 - 20 min drive from Essaouira but they provide a free shuttle & because its further inland it was a bit warmer than the town itself. We had a lovely private apartment & enjoyed a quiet, relaxing stay.",Lodge,Essaouira
 April 2013,5,VIP treatment from the start,"Myself and 3 girlfriends had the most amazing stay in Douar Souiri. We were greeted by Radaoune and his staff when we arrived and we felt so welcome from the very beginning of our stay. We were shown to our beautiful two bedroom apartment and then we came down to the bar for a welcome drink. Our accommodation was spotless and spacious. The decor was beautiful and the beds were large and really comfy. Breakfast was more than we could eat every morning and the staff couldn't have been more attentive. We relaxed by the pool during the day. It was a very peaceful place to hang out. Radaoune introduced us to his wife and children. We felt like we had been welcomed into their home as there was such a friendly vibe about the place. Anytime we wanted to go into Essaouira, the drivers…",Lodge,Essaouira
 April 2013,5,A fantastic experience,"We had a fantastic experience at the Douar Souiri. People are very efficient and friendly. The place is beautiful and quite. We could relax, spend time at the pool and eat nice meals. The manager helped us a great deal, with good tips for dinners and excursions. We rented an appartment with terrace. In general all appartments are new, beautiful and with nice furniture. Only few pitfalls, that for us have not been a problem at all: the distance from the Medina, it's about 10 minutes driving and the last 500 meters of the road are on a offroad route. The SPA was not working during our stay. Overall, we really loved being there and would have loved to stay longer. Maybe next year we will be able to go back",Lodge,Essaouira
 April 2013,5,Essaouira hidden jem,"A beautiful hotel. Fantastically welcoming and friendly staff.....we were upgraded upon arrival free of charge. This hotel is a beautiful setting for a relaxing few days away from the chaos of Marrakech. It would be perfect for a group of friends.Although it is quite far from the town of Essaouira, on a couple of occasions we got the free transfer down to the town from the hotel on request and the owner went out of his way to fulfill our needs. A really luxurious hotel that we would most certainly return to.",Lodge,Essaouira
 February 2013,5,There's a reason it's so highly rated... because it's awesome!,"Nothing disappointing here. Beautiful. You get more than your money's worth. Breakfast by the pool is special, delicious, memorable. We will return. You MUST be aware that you're 15km's out of town. But for us, that was the best part. The only thing I'd changed is having a heated pool. We'd be there every weekend if it was heated!",Lodge,Essaouira
 December 2012,5,Gorgeous Retreat with wonderful service,"Completely agree with Rachel1372. Our Riad was large and comfortable. Breakfast was freshly made every morning and we LOVED the Moroccan crepes. We did not have a car, but we used the hotel shuttle into the city. When the shuttle was not available, Radouane was very helpful to arrange transportation. He also recommended and arranged nice activities for us like surfing and horseback riding, The entire staff was friendly. One of our favorite employees was Soufiene, our waiter for breakfast and dinner. He even translated the recipe of two of our favorites dishes from the hotel so we can make them at home! I truly believe Essaouira and this hotel are hidden gems. A great value for the money compared to Marrakech!",Lodge,Essaouira
 June 2010,5,Hidden Paradise,"I had huge reservations about booking this accommodation as 1. We weren't familiar with Essaouira and (more importantly) 2. I couldn't find another review on the internet for which to rationalise my choice! Having driven past the residence a few times, we finally found the remote entrance on a dirt path, leading to what seemed to be.... no where. My doubts were building even quicker at this point. 800 meters off of the main highway from Marrakesh to Essaouria, and approximately 15km from the town centre of Essaouira, the Douar Souiri is a true Oasis. The self professed, 'Berber Style' village is indeed as described in the website. The complex, in what can be described as a 'soft launch' phase, is meticulously designed, so much so that it could be part of a movie set or Disney…",Lodge,Essaouira
