 December 2022,5,The best of both worlds!,"My family of 5 loved La Maison Arabe! It was a perfect home base for us in Marrekesh for 4 days. We had a deluxe room and a standard suite for our 3 kids (older teenagers). Both rooms were lovely. The suite was especially nice because the 3rd bed was in its own little niche so it wasn't so crowded in the main space. Rooms were good-sized and clean. Beds were very comfortable with soft sheets. Bathroom was nice - clean, spacious and good products with fluffy towels. I have read a few comments about the hot water - we had no problem at all. Plenty of hot water and good water pressure (weak water pressure is a pet peeve of mine). The hotel itself is very unique & charming, with lots of different areas to explore. The bar was old-school with dim lights and dark furniture. We…",hotelName,city
 January 2016,5,another kilo,"This hotel is just inside the Medina. The room was beautiful with it own balcony overlooking pool and restaurant. Romantic setting at night with the tables surrounded by dim lights and live music. The food is to die for foie gras I know, I know but there you go delicious. The staff were a joy and so helpful. We were there for 3 days to relax having done the sight seeing 25 years ago, so we took advantage of the hotels peaceful gardens to sunbathe. This is only a short distance from the hotel by a free shuttle , had a sunbathe, hats provided, lunch, sunbathe back to hotel for wonderful dinner. BLISS",La_Maison_Arabe,Marrakech
 May 2015,5,Exceptional,"I have never stayed in a hotel where the standard of care and attention to detail are so exemplary. All the staff showed genuine kindness - they could not be more helpful and showed great warmth of character; nothing was too much trouble, and the food and service were outstanding. La Maison Arabe is without doubt an exceptional hotel and I would highly recommend it. All this with the delights of Marrakech city just outside!",La_Maison_Arabe,Marrakech
 January 2016,5,Love this charming hotel,"My daughter and I arrived close to midnight, and were greeted warmly by the staff, who arranged for room service for us even though the kitchen had closed. The hotel has lovely sitting areas and courtyards, and our room was charming and very comfortable. We had planned to have most dinners out, but ended up at the hotel restaurant multiple evenings because of the menu, the beautiful surroundings, and the excellent service. Everyone from the bellman to the front desk to the waiters was helpful, warm, and friendly - without being at all intrusive. The Hamam & massage were wonderful. The breakfast is generous and delicious. It felt like coming home (after a rough day of camel-trekking, or sight-seeing, or navigating the souks : ) - we were delighted with our stay.",La_Maison_Arabe,Marrakech
 December 2015,5,Cozy elegance,"This hotel offers a Moroccan cooking class, which is off site. So we met up at the riad and while we waited, they brought us tea & cookies and gave us the WiFi code. The staff was very polite, pleasant and helpful. We sat in a cozy lounge with several little nooks with tables and chairs or sofas. There was also a courtyard as well. The decorations were beautiful and the atmosphere very classy, comfortable and cozy. We loved our riad, but this would definitely be worth the stay, if you wanted to pay a bit more.",La_Maison_Arabe,Marrakech
 January 2016,5,Superb!,"We stayed four nights in early January and enjoyed every minute of our stay. The service was impeccable, facilities were beautifully decorated and the restaurants and spa were outstanding. From the moment of arrival to the moment of departure we were treated wonderfully. Highly recommend the cooking class at their offsite country club as well.",La_Maison_Arabe,Marrakech
 January 2016,5,Fabulous Trip,"Where do I start! We had booked a patio facing room some months back, excited about the stay as the reviews on here for the hotel were so good. We are a gay couple so were rather nervous about staying here. We had contacted the hotel in advance confirming to see if this was going to be problematic but they welcomed us anyway. When we arrived they took our bags and directed us to sit in the courtyard whilst they checked us in. We were then lead around the hotel by the manager. The hotel is a traditional Riad, or should I say a number of Riads all stuck together to make one large hotel. The hotel has two restaurants, a lovely swimming pool/courtyard, a spa and a jazz bar. The decor is modern and sophisticated and designed similar to a boutique hotel. Once the tour was over…",La_Maison_Arabe,Marrakech
 January 2016,5,The attention to detail was incredible,I booked the Nahar Royal suite for my 3 children and I. It was amazing. I personally used the spa facilities and I highly recommend the massage treatments offered. 2 of my children celebrated their birthdays while we were at La Maison Arabe - the staff were wonderful at making them feel really special.,La_Maison_Arabe,Marrakech
 January 2016,5,Excellent,"This hotel shows it all and the staff gives it all. Excellent rooms, Excellent breakfast and dinner. Excellent service and Excellent location. We can absolutely recommend this hotel for families and couples. To ad another great experiance was the country club with lunch and swimmingpool.",La_Maison_Arabe,Marrakech
 January 2016,5,Marrakech Charm,"We recently stayed at La Maison Arabe it is a beautiful Riad in the center of old Marrakech. We were upgraded to a suite which was spacious, clean and well appointed One night we ate in the hotel restaurant and loved the food and amazing service La Maison Arabe is a special place. It is a beautiful Riad with excellent service and wonderful Morocan charm. Also very central to everything you want to see and within 10 minute walk to the square and Medina. If you are visiting Marrakech this is the only place to stay.",La_Maison_Arabe,Marrakech
 December 2015,5,Extraordinary service at La Maison Arabe,"My wife and I spent 4 days at The Maison Arabe. Everything at this hotell is extraordinary. The staff is super friendly and helpful, the architecture and interior far beyond my imagination, the dining area beautiful and tranquil and the bar tender one of the funniest men. And after our departure the front desk has put forth great effort in helping us out organizing a sudden issue that has taken al ot of their attion, with just a big smile in reuturn. We will come back to the Maison Arabe.",La_Maison_Arabe,Marrakech
 December 2015,5,Top Riad,"This Riad within the Medina in Marrakech is EASILY one of the best places to stay! This is because it is a beautiful place, run beautifully by wonderful people. Adil's team. Rachid in the bar, each morning's breakfast, any meal on the property... Was all super! The rooms were attended at least 3 times a day! Please go and check this place out and the people there. You will not regret your stay:)",La_Maison_Arabe,Marrakech
 December 2015,5,True Moroccan Charm,"This hotel is charming, with a staff that is genuinely hospitable in true Moroccan fashion. It is an elegant hotel with an interior courtyard and a beautiful restaurant near the pool, where it is possible to have both breakfast and dinner. We wish we had a little more time to go out to the private garden, take a cooking class, and enjoy the spa, but the rooms, restaurant, and public areas of the main hotel are all exceptional. Would happily recommend.",La_Maison_Arabe,Marrakech
 December 2015,5,Exceptional Hotel in every way,"We simply couldn't fault a single thing! This is a luxury, traditional Riad situated in the heart of the Madina, yet couldn't be more tranquil From the special requests we required prior to arrival, nothing was too much trouble. Without exception every single member of staff are always smiling & want to help. They arranged an excellent guide to show us around the Madina (very reasonable) which was well worth doing as he was very knowledgable. Would highly recommend their Moroccan cooking class, which was extremely professional and slick (felt like walking on to the set of Masterchef!) We were there for New Year's Eve so, although not cheap, we booked the Gala dinner which again was excellent (and included an open bar) We stayed in a suite & our son and girlfriend in a standard…",La_Maison_Arabe,Marrakech
 January 2016,5,An oasis of calm,"Our first visit to Marrakech. We arrived at night and were a bit apprehensive about where the taxi driver was stopping. However, within a few seconds, uniformed hotel staff were on hand to take care of us. We were ushered to a garden courtyard and served with a delicious welcoming drink whilst the check-in procedures were taken care of for us. After a short tour, we were given a complimentary upgrade to a suite with a view of the garden and pool. Throughout our stay, we were beautifully looked after by all the staff with not even the smallest detail overlooked. It was if they could anticipate our thoughts! Within the hotel, a 10% charge is automatically added to services provided by the hotel (additional meals, spa treatments etc). However, this is fully justified as all…",La_Maison_Arabe,Marrakech
 December 2015,5,Amazing...the best ever hotel we stayed at,"I know this review will sound like I'm gushing, but it's all true. From the moment my husband and I walked through the front door through the final good byes by the excellent staff, it was nothing but awesome. Like so much of Marrakech, the beauty faces inward. The building is the product of a lavish renovation of three older mansions that made us feel like we were guests of a Moorish palace. The amenities were superb, from the two elegant restaurants to the relaxing spa. But I leave my greatest praises for the incredible staff who was always able to anticipate our every need or whim. Unfortunately, I got deathly sick eating tainted chicken at Richard Branson's mansion, but I can only imagine how much worse it could have been if I had stayed anywhere else. From the doctor they…",La_Maison_Arabe,Marrakech
 December 2015,5,The jewel in the crown of Marrakech,"We spent our Christmas at La Maison Arabe and cannot recommend it highly enough. From the moment we arrived we were made to feel at home with complimentary tea whilst the paperwork was sorted and our luggage was taken to our room. We were then given a tour of the Riad and its amenities. We were told that complimentary tea would be served every afternoon - on our return each day we ordered English tea to our room which was served with a family size pot and sweet pastry delicacies - and true to their word it was complimentary, and not charged to the bill. The Riad is beautiful, as was our room and the private patio allowed us to completely relax. Nothing is too much trouble, the staff will do everything in their power to make your visit as relaxing and pleasurable as…",La_Maison_Arabe,Marrakech
 December 2015,5,Absolutely perfect,"Staying at La Maison Arabe is a wonderful, magical experience. The Riad itself is gorgeous, but what really sets this place apart is the service. Every detail is accounted for, and the entire staff is so helpful and kind. The food is excellent, as well as the spa services. Definitely don't miss the breakfast buffet, the tea service, and the Hammam. We also hired guides and drivers exclusively through the hotel. One day we did a walking tour of Jemaa el Fna and the souks, and the next day we took a trip to the Atlas mountains. It was great to have trusted, reliable sources to show us around, educate us on history and culture, and take us to the best local merchants for shopping. I really can't say enough good things about La Maison Arabe. I had a stomachache my second day there…",La_Maison_Arabe,Marrakech
 November 2015,5,Excellent place,"This was our first visit to Morocco. We were trying to make it for quiet some times now, but it got delayed since we were not sure where to stay. From the moment where we were picked up from Marrakech airport till we left to Fez, the Management of La Maison Arabe had extended their hospitality beyond our expectation. They arranged the pick up (for a price). Our room was upgraded to meet our comfort zone. The breakfast and dinner were excellent and authentic to the area. It is an amazing place, the inside setup as an original Riad. The people who served us were sincere and talented, they are ready to look after minor details. The neighbourhood is in the historic part of Marrakech yet it is within an easy access to the main road. My wife and I would like to thank all the…",La_Maison_Arabe,Marrakech
 December 2015,5,Perfect stay,"We visited La Maison Arabe in the end of december 2015. The vibe of the riad is just perfect, we fell in love with this place. The room was beautiful, we had our own terrace. We were welcomed by a very friendly staff, who stayed interested, proactive and very helpful throughout our stay. The restaurant has a nice atmosphere in the evening, the food is really good and there was live music. On the last day, we treated ourselves with a nice massage. And we must say, this is one of the best we ever had! After the massage, Racheed asked us to come to the jazz bar right away. And so we did. A musician was playing, there was a cozy fire and we were welcomed with a mocktail. But that was not all. Since it was Dries' birthday, the staff started singing happy birthday and he got a…",La_Maison_Arabe,Marrakech
 December 2015,4,Beautiful Riad,"Riad is in a very convenient location close to all the main attractions. Staff are extreemly helpful and will assist you in all things - from ordering a local taxi, pointing you to areas of interest nearby and securing a guide for the day. The building is impeciably maintained and decorated throughout - it is clean, relaxing, sumptuously lit and a real joy to spend time in - a real feast for the eyes! Breakfast was good, but I can imagine the variety becoming a little tedious after more than a 5 day stay. The home-made yoghurt was delicious though! They offer free tea and coffee in the afternoon, a choice of coffee would have been nice - we were genuinely very thirsty and an expresso did little to quench that thirst whilst a caffe latte would have been just right! The jazz bar…",La_Maison_Arabe,Marrakech
 December 2015,5,Our best experience in Marrakech,"We cannot say enough about this truly memorable experience. Every detail is executed and the staff goes above and beyond in making your time here enjoyable. Our only regret is not spending more time here. Pros: professionalism and courtesy of staff, genuine hospitality, strikingly beautiful decor in every corner, excellent food, heated pool Cons: none Suggestions: visit and chat with Rachiad in the jazz bar",La_Maison_Arabe,Marrakech
 December 2015,5,Stunning,"We went there for my 50th Birthday, I wanted some where special and I wasn't disappointed. We ate by the pool, it was all lit up with candles and lovely lights. The service was very good, friendly and professional. The food was stunning, I ordered a tagine which was very filing. The waiters sang 'happy birthday' and presented me with a beautiful piece of cake with a candle. When we arrived we were taken to the bar, for special cocktails on the house. All in all a really lovely place, with lots of history which the waiter will tell you all about. Not cheap though.",La_Maison_Arabe,Marrakech
 December 2015,5,Beautiful Riad and Fantastic Service,"Located just inside the edges of the Medina which makes it very convenient to either walk further into the Medina (the main square is a 15 minute walk), or catch a taxi to head into the new city. There are convenience shops, a pharmacy, cheap cafes, and nice restaurants all within a block or two. Unassuming from the outside, beautiful on the inside. This is a full service riad complete with two restaurants, a heated pool, solarium, private hammam, a jazz bar, patio, off site gardens, a cooking school, and more. There's even a boutique owned by the hotel around the corner where you can buy goods in a hassle free environment. We reserved a patio side room, and I asked if they could give us a room with a fireplace if available - in response they upgraded us to a patio suite with…",La_Maison_Arabe,Marrakech
 December 2015,5,Don't think twice,"If you are still wondering about where to stay in Marrakech, this is the place to be at. Right from the minute we arrived to the time we left Adeel and his staff to excellent care of us. The hotel is beautiful, very nicely decorated, great location in the old town and the Moroccan restaurant has amongst the best food available. Great value for money and lovely time.",La_Maison_Arabe,Marrakech
 November 2015,5,Great service,"Excellent location, it's a 10 minute walk to the square.Beautiful surrounds, very stylish and traditional. We got upgraded to a better room, but found it to be rather small, with not enough space to open up suitcases. We had dinner in their traditional restaurant, which was excellent. Breakfast by the pool.",La_Maison_Arabe,Marrakech
 December 2015,5,Lovely Riad with lovely staff,Terrific charming hotel within walking distance of the Medina and most major sites in Marrakech. It consists of six Riads combined....and has a small pool with restaurant though they have a larger pool and private garden with a shuttle. The hotel has a fantastic staff....took great care of my son when he was ill...sending (at no charge) soup and food. The rooms are beautiful. The hammam fantastic....restaurants delicious. The bar is a highlight with Rashid the great bartender and a wonderful classical guitarist...only wish they'd light the fireplace!,La_Maison_Arabe,Marrakech
 June 2015,5,"Wonderful, amazing, .. place!",You will not go wrong staying at La Maison Arabe. The staff is wonderful and the hotel is beautiful. We were a large group of family traveling together - we had a driver and car driving us to Marrakech - the car broke down and we had to wait for quite sometime for a new vehicle. So once we arrived at La Maison Arabe we were very tired. The staff whisked us to our rooms and sent us food right away. They were beyond wonderful. The hotel is very tastefully decorated and comfortable. We stayed in suites - which I would recomend. Great location too as we could walk to the souks and to the main square. ALso make sure you get to the bar and meet the bar tender - have him make you a Marrakech version of the mojito. Delish! Our family took a cooking class which was amazing. …,La_Maison_Arabe,Marrakech
 December 2015,5,Just beautiful!,"Stayed 3 nights at this lovely riad/hotel. Excellent accommodations and wonderful buffet breakfast. Walking distance to Jemaa el Fna and souks. Excellent, friendly staff. Common rooms were beautiful. This was the nicest place we stayed during our eight night Imperial Cities Tour.",La_Maison_Arabe,Marrakech
 December 2015,5,Fabulous Hotel. Fantastic Staff,"Everything about this hotel is perfect. The staff are amazing and attentive and are looking for any opportunity to help and make your stay better in any way they can. The rooms are spotless and comfortable. The hotel itself is very charming. We did not try the Moroccan restaurant, but had breakfast, lunch and dinner at the main restaurant by the pool. The food is delicious and the the soft live sounds from the oud and guitar are fantastic. Finally, the location is excellent - walking distance from the markets and the old town. Don't hesitate about staying here. You will not regret it.",La_Maison_Arabe,Marrakech
 December 2015,5,Truly one of the Worlds Great Hotels!,"This is perhaps one of the greatest hotels that I've stayed in for either business or pleasure in 40 years of travel. Just absolutely beautifully decorated, well appointed and as tasteful as anywhere I've ever stayed. I was visiting Marrakesh for the first time and had arrived at midnight on a Friday after a work week in Rabat. I had no idea what I would do in the two short days that I had but in 15 minutes the following morning with Mr. Adil, the Duty Manager, I had a plan worked out that took me to the souk, Madrasa, some gorgeous gardens and at trip into the High Atlas mountains. A trip to remember grace a l'hotel Maison Arab Just a few observations: the hotel is well placed in the Medina (old city) near the Jardin Majorelle, Souk, Ben Youssef Madrasa and more. The rooms…",La_Maison_Arabe,Marrakech
 December 2015,5,Authentic and Luxurious!,"Had an incredible stay at this riad earlier in the month. Everything is really top notch -- the rooms, the service, the food, the spa. We were woken up by the call to prayer each morning, but we enjoyed the authenticity of the location. The other reviews are all accurate - this place is really the best! Try the international restaurant and massages at the hammam. Also, be sure to drink a lot of their delicious mint tea!",La_Maison_Arabe,Marrakech
 November 2015,5,Perfect respite in the medina,"La Maison Arabe was a perfect respite after ten days traveling through Morocco. Their greeting was more than gracious. Sitting in the charming Riad drinking our welcome beverage, we knew we were in the right place. Our room was in the newer wing. It was large, beautifully designed, comfortable and completely quiet. It overlooked the pool and dining area. Sitting at the edge of the medina, it is a very short walk to most of the important sites in the old city. We felt perfectly safe walking to and from the Jamaâ El-fna late in the evening. We had planned to eat in the restaurant only one evening, but it was so good, we decided that after exhausting ourselves the second day, we would stay in for dinner. Their seafood bastilla was the best dish I ate in Morocco. Drinks in the…",La_Maison_Arabe,Marrakech
 November 2015,5,A fantastic and beautiful place,"We chose this place after reading good reviews about it on Trip Advisor. We were very happy and comfortable there. The staff were very friendly and obliging. We booked a standard room with a garden view. We were upgraded to a suite with a garden view which was very nice. However, the next morning we woke up to construction banging and lots of noise. We complained about it to the front desk and they apologized profusely. That was the business next to them who were renovating. In any case, by the time we had finished our breakfast they offered us a change of room and this time to the royal suite :). That was surprising and very sweet of them. They have two royal suites and we stayed in one of them. The suite consisted of three levels; the first one had a huge sitting area, a big…",La_Maison_Arabe,Marrakech
 November 2015,5,You feel like royalty!,"This restaurant is in a Riad in the old town and we had heard great thing so had to try. So glad we went. It's a beautiful Riad and you walk through beautifully decorated rooms to step into the restaurant in a sunken room that is all red. The tables around the room are positioned to face the center and the musicians played traditional Moroccan music. The food is traditional too. We order the Moroccan salads, many small plates of cooked and sautéed vegetables. All spiced perfectly. Then I ordered the lamb tajina (different from a tagine) slowly cooked lamb in its own clay pot for hours. It was SO tender and delicious! My husband had the chicken couscous with vegetables. Huge portions and all wonderful. We had a rose Medallion Moroccan wine and we were too full for dessert. But…",La_Maison_Arabe,Marrakech
 November 2015,5,"Excellent Riad, take a day trip to the Atlas mountains","Beautifully decorated, has three restaurants with excellent food, very comfortable rooms, and friendly and very attentive staff. It's an oasis of calm in the middle of the medina. as I would like to recommend a day trip to the Atlas mountains for For anyone visiting Marrakech. After a couple of days in the hectic city, we realised we wanted to escape and experience a little more of the scenery and culture of Morocco . Going on line to look at day trip possibilities I found Trekkinginmorocco.net who appeared to offer just what we needed . I emailed them and had a very swift reply from Ahmed, who described the day visit to the High Atlas mountains, it would cost 130 US dollars for both of us and no money need be paid in advance . We were picked up promptly at 0900 from our La…",La_Maison_Arabe,Marrakech
 November 2015,5,Outstanding! Cannot imagine finding a better place to stay in Marrakech!!,"I had the pleasure of staying at this historic riad, the first one in Marrakech I am told. This has to be the one to set the standards for all other riad-hotels. Frankly, I did not know a riad from a hotel when making the booking. I was looking for a place to stay that had good customer service and strong wifi, because of my business needs. Well, this riad's wifi was indeed excellent. But what I did not expect was the amazing lodging experience. The location was, in my opinion, perfect. A short walk to the famous market, which was an adventure in itself. The riad itself was simply beautiful and clearly someone put so much thought into the design of each and every room, including all the public spaces. The front desk staff were always on the top of their game as was the…",La_Maison_Arabe,Marrakech
 November 2015,5,Great Stay,"Just returned from our 4 night stay and all I can say is that we had a great time. The staff were amazing, both restaurants fantastic and the free suite upgrade incredible. Despite not telling the hotel, they notice when we checked in that it was my birthday and so they arranged a cake with our evening meal and also drinks in the bar completely free. This level of attention to detail shows a team of people that want to excel at their job. The whole ambiance is just what we were looking for and we will certainly be back. Both myself and my wife rate this riad/hotel as one of the very top places we have stayed ever. Long may the standards of service and food continue.",La_Maison_Arabe,Marrakech
 August 2015,5,FABULOUS! Best Place to stay in Marrakech!,"Stayed there for a week with my girlfriend in August 2015, was simply amazing. One of the best hospitality experience I've ever had, The quality of the staff and service is absolutely outstanding, they are friendly, professional and always here to help & assist. The hotel itself is a true luxurious Riad with a legit history, decoration is fabulous, bedrooms are amazing, spacious, extremely clean, view from balcony is sweet. Seriously, it even looks better than in pictures. Welcoming drinks are a courtesy of the mixologist of the place, Rachid, awesome dude by the way. Restaurant is ... wait for it....Delicious!!!! Moroccan food at its finest and famous for that in the city. Loved the breakfast there as well. Location is perfect and very convenient, literally 5 minutes…",La_Maison_Arabe,Marrakech
 December 2014,5,One of the Most Charming Places in Marrakech,"We had lunch at La Maison Arabe and the setting and food were so good that we went back for dinner. Unfortunately, there was a private party and the restaurant was closed that night, but it worked out well because we went and sat in the enchanting, old world bar, had cocktails and listened to music. Because I was so enamored with this place, I asked the manager to show me a room. It was absolutely charming and I know that this is where we will be staying when we return. I have stayed at some of the best hotels in Marrakech, but for it's authenticity and it's intimate feel, this is the place I would like to return to.",La_Maison_Arabe,Marrakech
 October 2015,5,Fantastic!,"We had a fantastic stay at this hotel/riad. The staff was extremely friendly and helpful. They arranged guided tours for us in the soukes and other places of interest in Marrakech, as well as a daytrip to the Atlas mountains. The guides/driver was the best. We ended up having dinner at the hotel nearly every evening because the food was excellent, together with the service and atmosphere. We strongly recommend the cooking class arranged by La Maison Arabe. The hammam is a must. This is the place to stay in Marrakech, the location is perfect and you get the xperience of staying in a beautiful riad.",La_Maison_Arabe,Marrakech
 November 2015,5,Excellent,"A most wonderful restaurant in old Marrakech. The scenery was excellent, the Moroccan only wine list is superb. The food was fantastic. The atmosphere was exotic ! Make reservations early and if the concierge says they are full, call the restaurant direct yourself! (understand...)",La_Maison_Arabe,Marrakech
 November 2015,5,AMAZING!!,"We are currently sitting at the airport after spending a long weekend in Marrakech, staying at La Maison Arabe. What can we say?? It's been nothing short of amazing!! Wonderful setting, lovely rooms, beutiful hammam and most importantly INCREDIBLE service! All the staff are amazing, and really do go out of their way to make guests feel welcome and enjoy their stay. We will most definitely be back! Ps: do visit the hotel country club! It's beautiful, and it's only 15 mins away from the hotel, and they provide a complementary shuttle service every hour. When we went we had the whole place to ourselves!!",La_Maison_Arabe,Marrakech
 November 2015,5,Amazing romantic dinner,"Fabulous dinner by the pool ( make sure you ask to eat by the pool, the restaurant didn't look as lovely) We started with cocktails produced by the charismatic barman before being taken through to a candle lit oasis for a feast of delicious food and wine. Can't wait to return !",La_Maison_Arabe,Marrakech
 December 2014,5,Love this place - want to come back!,"Jan 30 to Feb 6, 2014 - Everything about this hotel is excellent (staff, service, rooms, food)! We stayed at La maison arabe for a total of 3 nights (2 nights on arrival and decided to come back for our last night since we loved it so much). Both times the staff and service was excellent from the moment we walked in. We were greeted upon arrival and they served us Moroccan mint tea in the parlor. Adil and staff assisted us in every way possible. I read rave reviews about the hotel on Trip Advisor, books, other travel sites/magazines and this place did not disappoint. Location and Rooms - it's within walking distance of all the main attractions inside and outside the medina. It's also located right next to the second largest mosque in the city so the announcement for the call…",La_Maison_Arabe,Marrakech
 November 2015,4,Amazing Riad,"We stayed here after reading the great reviews and learning we could use our credit card points to book. We were given a junior suite that overlooked the pool. Thanks to prior tripadvisor reviews we brought a couple bottles of wine from duty free. The room included a small bottle of wine gratis. A large bottle of water was free daily too. The room and bathroom are amazing. The shower has a couple options for rain shower vs regular. Pressure is great. The soaps and lotions smell divine. I took a bath in the separate tub, which was lovely. We spent some time on our terrace drinking wine and appreciating the weather. We took the cooking class one day which was great and quite modern. You can specify if you're gluten free or veggie, etc. At their satellite site they have a…",La_Maison_Arabe,Marrakech
 November 2015,4,Suite room,We had 2 nights and was beautiful nights with a jazz bar and with 3 levels of the suite the 3rd floor was with jacuzzi but i didnt like doors were bit loud when i open it or neighbors door and front desk were very respectful and understanding the prices of food was ok About pool they drive you like 15 mins to another area with a big garden,La_Maison_Arabe,Marrakech
 November 2015,5,A gem,"We booked ten days at Maison Arabe after reading its TripAdvisor reviews. We like small hotels with character and great service, and Maison Arabe certainly didn't disappoint. Its best feature by far is its staff. Friendly and warm, nothing is too much trouble for them. They truly want guests to enjoy their stay and will go out of their way to make it so. After I shyly asked if they would have gluten free bread, it appeared at my table every day, and also fabulous GF cakes. The waiters always serve you with a smile, the ladies who prepare the omelettes and pancakes at breakfast are lovely, and the staff who clean the rooms do so with a warm smile. The managers at reception always check that you are satisfied with everything, and they arranged a trip to the Atlas Mountains with…",La_Maison_Arabe,Marrakech
 November 2015,5,Couldn't fault it,"We stayed 3 nights at La Maison Arabe for our 10th wedding anniversary. Everything was perfect. It's a lovely hotel - it's like a giant riad and has Marrakech's oldest restaurant within it. Room was great and had a small balcony & seating area. Breakfast was delicious. But most of all the staff were super friendly and the standard of service very high. We spent an afternoon at La Moumounia hotel and whilst it was a much more grand hotel, the staff all seemed thoroughly miserable! We would definitely return to La Maison Arabe for another stay in the future.",La_Maison_Arabe,Marrakech
 November 2015,5,FANTASTIC MEMORABLE STAY !!! 6 STAR SERVICE.,"having used trip adviser to help pick the perfect hotel , we could not possibly have chosen better. I have stayed in quite a few hotels but this was by far the most memorable comfortable, picturesque friendly hotel of them all. The minute we walked in we were greeted with a cool refreshing drink and then shown round the stunning oasis of a mini palace. For a smallish hotel it had 2 restaurants and a piano bar , all extremely stunning and live music every night. On top of all that a hammam (spa) which must be indulged . Every member of staff was incredibly friendly and helpful and did everything that could to make us feel like royalty but not in a pompous uncomfortable way. Food was out of this world and so tasty , and 3 course meal with wine every night was less than £60 !!.…",La_Maison_Arabe,Marrakech
 November 2015,5,"Excellent location, superb service","We spend a week in Marrakesh at this hotel and we had quite a wonderful time. The location is great, most of the sight seeings and markets are in walking distance, even the new part ""Gueliz"" can be walked to if you don't mind a longer walk. The rooms and bathrooms could use a freshening up, however everything was in good order and nicely done. What I really would like to mention is their excellent level of service. The staff is very friendly and helpful, and their approach is: If it can be done, it will be done. Quite amazing, better than in many 5 stars hotels worldwide. Therefore they get the highest rating from me.",La_Maison_Arabe,Marrakech
 October 2015,5,TEA / COFFEE IN A FANTASTIC SETTING!,"While on holiday in Marrakech we visited La Maison Arabe and asked if we could have morning tea / coffee - we were non-residents. From the relatively unassuming entrance you could never guess what a fabulous riad this is. The staff were so friendly, helpful and attentive. We were shown to a beautiful courtyard where we had tea, coffee, soft drinks and pastries. We were also given a guided tour of part of this magnificent riad. This was a special treat in a really sumptuous location. Just superb!!",La_Maison_Arabe,Marrakech
 October 2015,2,"Very Disappointed, it is a rip off!!, It doesnt make me to come back","the hotel look much bigger and nicer in the pictures, The hotel is very old and small, the welcome bottle of wine you find in the room is undrinkable, horrible, the room very strong smell of humidity. I could not sleep, the swimming pool very small, is more for a decoration pool, they do have another swimming pool like half hour in car from the hotel, it is annoying because you spend 30 minutes going and 30 minutes coming back. It is a nice pool but the water is frozen, the water should be heated. the hotel is very expensive, 132Dh for a cold sandwich, 283.25DH for lamb ribs. It is a rip off!! I don't understand how can be so expensive when the medium salaries are around 3000Dh/4000DH a month and living in Morocco is much cheaper than Europe. I spent less money in 5 stars…",La_Maison_Arabe,Marrakech
 November 2015,5,Top!,"Everything was wonderful! Room (had 220), breakfast (the spicy crepes was great), dinner (was at the traditional restaurant), SPA (had the royal treatment) the employees and the riad location... Everything was absolutely 5 star!",La_Maison_Arabe,Marrakech
 October 2015,5,"What an amazing, friendly place to stay.","This Riad is right in the centre of Marrakech, so close to all the sights and sounds of Morocco. It is steeped in the local culture and the most beautiful place to stay. The rooms were really comfortable and all the staff were friendly and nothing was too much trouble. We ate in the restaurant each night and the food was delicious. My 13 year old daughter has an allergy to dairy products but by day two, all the waiting staff knew who she was and the chefs cooked for her accordingly. She has never been to any place where she can have more or less what she wants. I would recommend this Hotel / Riad to anyone of any age if staying in Marrakech. I will certainly be visiting again in the future. As you can tell we loved it!",La_Maison_Arabe,Marrakech
 October 2015,5,Special,"I can only echo the superlatives previously used to describe La Maison Arabe. My family and I were blown away by the attention to detail at LMA and the focus given to customer care. Every single member of staff went out of their way to make sure we had everything we needed and couldn't have done any more to make us feel at home. You truly feel like guests of honour. The decor is wonderful, with lots of handcrafted finishing, the rooms very comfortable and the location very convenient, but it is the attitude and effort of the staff that makes a stay at LMA so memorable. Hope to return again soon and would recommend to anyone without hesitation.",La_Maison_Arabe,Marrakech
 October 2015,5,Extremely good,"I have been fortunate enough to stay at some of the world's best hotels ( Raffles in Singapore, Claridges, The Plaza etc). The service in Maison Arabe is certainly equal to any of these & in some cases better). The hotel ( more like a Moroccan house really ) is extremely comfortable and well furnished. The restaurants are good, with a very high level of service and the food also good quality. It has a very good location in the Medina & the main square is about 10 mins walk away. This was our 2nd stay and will have no hesitation in returning should we return to Marrakech which we probably will. I would give it the highest recommendation.",La_Maison_Arabe,Marrakech
 October 2015,5,"Impeccable service, thoughtful & kind attention","Over the course of our 4-day stay, La Maison Arabe found a place in our hearts. I travelled to Marrakech with my 73-year-old mother and 2-year-old son, and remain completely indebted to the staff at La Maison Arabe for making our stay memorable, stress-free and wonderful. From the moment we arrived at this magnificent property and were greeted by the effortlessly gracious Morat, to the moment we left 4 days later, no request was ever too much, and more often than not, we did not need to make requests as staff had thought of our needs even before we knew we had them. We stayed in the Kamar Junior Suite, which was ideal for us: ground floor, private patio, quiet part of the hotel, generous bathroom and wardrobe, well appointed bedroom. (Note: the dawn chorus of birds in the…",La_Maison_Arabe,Marrakech
 October 2015,5,A wonderfully welcoming hotel in the heart of Marrakech,"My husband and I stayed at La Maison Arabe from the 24th October 2015 for 4 nights. From the moment we walked through the door, we realised we were in for a luxurious experience in a building that was beautiful. We could not find fault in anything this Riad had to offer. Every single member of staff was attentive to our needs, no matter how big or small. This is a fantastic hotel in the heart of Marrakech's Old Town. Our only regret is that we didn't stay longer. We really recommend it.",La_Maison_Arabe,Marrakech
